method,t,ws,w,q,TT3,TT4,ErrX,ErrV,ErrE
clssopt,0.1,30,6,6,1.17353,2.33e+00,1.98525e-06,0.000448155,4.85351e-05
clsqdeim,0.1,30,6,6,1.32253,2.38e+00,2.28694e-05,0.00193927,0.000134473
clssopt,0.1,30,6,7,1.78377,2.44e+00,1.12609e-06,0.000400866,5.54862e-05
clsqdeim,0.1,30,6,7,1.2962,2.38e+00,3.66576e-05,0.00189584,0.000174164
clssopt,0.1,30,6,8,1.2038,2.27e+00,1.0807e-06,0.000283101,5.29653e-05
clsqdeim,0.1,30,6,8,1.39947,2.37e+00,5.27661e-05,0.0023221,0.000254421
clssopt,0.1,30,6,9,1.45547,3.21e+00,4.06271e-06,0.000422799,1.98317e-05
clsqdeim,0.1,30,6,9,1.48767,2.44e+00,4.40905e-05,0.0014821,0.000287699
clssopt,0.1,30,6,10,2.43477,3.07e+00,2.79195e-06,0.00030669,5.23668e-05
clsqdeim,0.1,30,6,10,1.15837,2.37e+00,2.93079e-05,0.000970761,0.000171659
clssopt,0.1,40,5,1,1.02876,2.50e+00,4.16478e-05,0.00745371,0.000445988
clsqdeim,0.1,40,5,1,1.13174,2.10e+00,0.0028693,0.195302,0.066187
clssopt,0.1,40,5,2,1.39159,2.13e+00,2.03499e-05,0.00457427,0.000279122
clsqdeim,0.1,40,5,2,1.34823,2.17e+00,0.0316363,12.8274,1.61771
clssopt,0.1,40,5,3,,9.48e-01,1.05465,3.82779,1.02787
clsqdeim,0.1,40,5,3,1.21515,2.63e+00,0.0131948,2.158,0.187128
clssopt,0.1,40,5,4,2.35525,2.89e+00,0.00101468,0.12464,0.00732785
clsqdeim,0.1,40,5,4,,1.12e+00,45.9467,34.3273,82.1441
clssopt,0.1,40,5,5,1.0864,2.19e+00,0.000939621,0.157117,0.00881092
clsqdeim,0.1,40,5,5,1.12593,2.14e+00,0.00112898,0.198818,0.00620807
clssopt,0.1,40,5,6,1.93301,2.43e+00,0.000543482,0.0779118,0.00434193
clsqdeim,0.1,40,5,6,1.05037,2.07e+00,0.00362065,0.386101,0.0279079
clssopt,0.1,40,5,7,1.23973,2.14e+00,5.2851e-05,0.00787369,0.000443771
clsqdeim,0.1,40,5,7,1.2763,2.30e+00,0.000474538,0.0627747,0.000888912
clssopt,0.1,40,5,8,1.15421,2.13e+00,3.46141e-05,0.00522392,0.000287981
clsqdeim,0.1,40,5,8,1.11789,2.07e+00,0.000961791,0.0359653,0.00335827
clssopt,0.1,40,5,9,1.77133,2.15e+00,1.15434e-05,0.00188116,0.00011996
clsqdeim,0.1,40,5,9,1.42958,2.22e+00,0.00115418,0.0375919,0.00395131
clssopt,0.1,40,5,10,1.13977,2.44e+00,5.26263e-06,0.00083968,6.90209e-05
clsqdeim,0.1,40,5,10,1.54126,2.34e+00,0.000728982,0.0193421,0.00292404
