method,t,ws,w,q,TT3,TT4,ErrX,ErrV,ErrE
clssopt,0.1,20,9,1,2.23471,3.20e+00,0.00886779,0.507582,0.0254763
clsqdeim,0.1,20,9,1,1.50983,3.12e+00,0.00563792,1.57446,0.234092
clssopt,0.1,20,9,2,1.58073,2.69e+00,8.24403e-05,0.00215136,0.000383546
clsqdeim,0.1,20,9,2,2.48601,3.00e+00,0.00196244,0.21225,0.0442419
clssopt,0.1,20,9,3,1.3416,3.66e+00,0.000110264,0.00516348,0.000589335
clsqdeim,0.1,20,9,3,3.23187,3.17e+00,0.00699655,0.692214,0.208066
clssopt,0.1,20,9,4,1.65996,3.51e+00,2.39561e-05,0.00171341,0.000139887
clsqdeim,0.1,20,9,4,2.04782,2.69e+00,0.000546261,0.210847,0.0185553
clssopt,0.1,20,9,5,2.01283,2.50e+00,3.42737e-05,0.00124614,0.000169278
clsqdeim,0.1,20,9,5,2.25612,2.86e+00,0.000316332,0.11066,0.00732166
clssopt,0.1,20,9,6,3.15465,2.61e+00,2.56734e-05,0.000836115,0.000103636
clsqdeim,0.1,20,9,6,2.12682,2.70e+00,0.000113965,0.0294399,0.00159671
clssopt,0.1,20,9,7,2.00709,2.49e+00,2.73702e-05,0.000797387,8.12988e-05
clsqdeim,0.1,20,9,7,1.65398,3.01e+00,0.000225606,0.0327648,0.00135047
clssopt,0.1,20,9,8,2.13094,2.71e+00,4.91068e-05,0.00134755,0.000146967
clsqdeim,0.1,20,9,8,2.1969,2.63e+00,0.000110332,0.0220442,0.000904325
clssopt,0.1,20,9,9,1.49089,2.69e+00,4.88726e-05,0.00124061,0.000134001
clsqdeim,0.1,20,9,9,1.3237,2.62e+00,5.70808e-05,0.00497666,0.000534348
clssopt,0.1,20,9,10,1.81059,2.53e+00,3.82594e-05,0.0010327,0.000113027
clsqdeim,0.1,20,9,10,1.80881,2.64e+00,5.46398e-05,0.00220001,0.000408012
clssopt,0.1,30,6,1,1.594,2.46e+00,0.000175109,0.06065,0.0114811
clsqdeim,0.1,30,6,1,1.43312,2.16e+00,5.53376e-05,0.00405357,0.000311347
clssopt,0.1,30,6,2,1.62695,3.11e+00,2.37943e-05,0.00516418,0.000645114
clsqdeim,0.1,30,6,2,2.43861,2.36e+00,4.81701e-05,0.00318522,0.000245251
clssopt,0.1,30,6,3,1.44988,2.79e+00,1.63358e-05,0.00342242,0.000315499
clsqdeim,0.1,30,6,3,1.60767,4.08e+00,1.78754e-05,0.0020009,0.000169135
clssopt,0.1,30,6,4,1.25156,2.86e+00,3.61133e-06,0.000868199,9.77578e-05
clsqdeim,0.1,30,6,4,1.60035,2.47e+00,5.07225e-06,0.00151705,0.000156264
clssopt,0.1,30,6,5,1.81789,2.26e+00,3.86114e-06,0.00118825,0.000203518
clsqdeim,0.1,30,6,5,2.65419,2.51e+00,8.04864e-06,0.00175001,0.000188518
