1,SOPT,0.01,0,0.9,2,4,5,10,6.192503,0.0339545,0.00151577,0.241848
1,QDEIM,0.01,0,0.9,2,4,5,10,4.482987,0.0243035,0.00170951,0.269064
0.07,clsthSOPT,0.01,0,0.9,2,4,5,10,4.685252,0.0373027,0.00168107,0.263587
0.07,clsthQDEIM,0.01,0,0.9,2,4,5,10,3.285460,0.0325873,0.00159832,0.254886
0.07,thSOPT,0.01,0,0.9,2,4,5,10,6.192503,0.0336898,0.00151577,0.241848
0.07,thQDEIM,0.01,0,0.9,2,4,5,10,4.482987,0.0242502,0.00170951,0.269064
1,SOPT,0.01,0,0.9,2,4,5,15,4.967723,0.0553309,0.00127292,0.207666
1,QDEIM,0.01,0,0.9,2,4,5,15,2.261559,0.0384342,0.00169343,0.267093
0.07,clsthSOPT,0.01,0,0.9,2,4,5,15,11.689720,0.0565127,0.0015263,0.241283
0.07,clsthQDEIM,0.01,0,0.9,2,4,5,15,6.935075,0.0494103,0.00144866,0.235016
0.07,thSOPT,0.01,0,0.9,2,4,5,15,4.967723,0.0554787,0.00127292,0.207666
0.07,thQDEIM,0.01,0,0.9,2,4,5,15,2.261559,0.0384559,0.00169343,0.267093
1,SOPT,0.01,0,0.9,2,4,5,20,9.219907,0.0839128,0.0011699,0.193741
1,QDEIM,0.01,0,0.9,2,4,5,20,1.909135,0.0477625,0.00156775,0.249884
0.07,clsthSOPT,0.01,0,0.9,2,4,5,20,9.299090,0.0724281,0.00144026,0.229013
0.07,clsthQDEIM,0.01,0,0.9,2,4,5,20,2.539654,0.0662717,0.00130233,0.213506
0.07,thSOPT,0.01,0,0.9,2,4,5,20,9.219907,0.0829634,0.0011699,0.193741
0.07,thQDEIM,0.01,0,0.9,2,4,5,20,1.909135,0.0478635,0.00156775,0.249884
1,SOPT,0.01,0,0.9,2,4,5,25,8.083570,0.097148,0.00107016,0.179726
1,QDEIM,0.01,0,0.9,2,4,5,25,1.859151,0.0585498,0.00144348,0.2327
0.07,clsthSOPT,0.01,0,0.9,2,4,5,25,9.654190,0.0787581,0.00138237,0.220663
0.07,clsthQDEIM,0.01,0,0.9,2,4,5,25,1.889768,0.0788418,0.00122384,0.203215
0.07,thSOPT,0.01,0,0.9,2,4,5,25,8.083570,0.0963261,0.00107016,0.179726
0.07,thQDEIM,0.01,0,0.9,2,4,5,25,1.859151,0.0570736,0.00144348,0.2327
1,SOPT,0.01,0,0.9,2,4,5,30,7.323832,0.108901,0.00104582,0.176951
1,QDEIM,0.01,0,0.9,2,4,5,30,2.095228,0.0668559,0.00138518,0.224917
0.07,clsthSOPT,0.01,0,0.9,2,4,5,30,11.699185,0.0938488,0.00132703,0.212852
0.07,clsthQDEIM,0.01,0,0.9,2,4,5,30,2.246136,0.0910036,0.00115883,0.195288
0.07,thSOPT,0.01,0,0.9,2,4,5,30,7.323832,0.108386,0.00104582,0.176951
0.07,thQDEIM,0.01,0,0.9,2,4,5,30,2.095228,0.06632,0.00138518,0.224917
1,SOPT,0.01,0,0.9,2,4,5,35,8.908958,0.120101,0.000939895,0.16206
1,QDEIM,0.01,0,0.9,2,4,5,35,1.774477,0.0735271,0.00135844,0.221293
0.07,clsthSOPT,0.01,0,0.9,2,4,5,35,10.460872,0.108508,0.00123746,0.199597
0.07,clsthQDEIM,0.01,0,0.9,2,4,5,35,2.505018,0.110398,0.00107731,0.185466
0.07,thSOPT,0.01,0,0.9,2,4,5,35,8.908958,0.120326,0.000939895,0.16206
0.07,thQDEIM,0.01,0,0.9,2,4,5,35,1.774477,0.0738222,0.00135844,0.221293
1,SOPT,0.01,0,0.9,2,4,5,40,9.882639,0.132503,0.000897936,0.155973
1,QDEIM,0.01,0,0.9,2,4,5,40,1.913491,0.0803915,0.00130672,0.21398
0.07,clsthSOPT,0.01,0,0.9,2,4,5,40,9.361803,0.119423,0.00104654,0.172581
0.07,clsthQDEIM,0.01,0,0.9,2,4,5,40,2.064100,0.121381,0.00102826,0.179397
0.07,thSOPT,0.01,0,0.9,2,4,5,40,9.882639,0.132645,0.000897936,0.155973
