method,n,energy_frac,rwdim,rrdim,nldim,nsr,time,error
SOPT,0,0.9,4,6,6,26,0.526849609,0.01776475815402264
clsSOPT,0,0.9,4,6,6,26,0.519213151,0.0182159703882934
QDEIM,0,0.9,4,6,6,26,0.5332064249999999,0.01742539801274641
clsQDEIM,0,0.9,4,6,6,26,0.541922996,0.01708722754715625
SOPT,0,0.9,4,6,6,27,0.536397965,0.01776475815402264
clsSOPT,0,0.9,4,6,6,27,0.5382515290000001,0.01821597038829341
QDEIM,0,0.9,4,6,6,27,0.5576452200000001,0.01742185510994556
clsQDEIM,0,0.9,4,6,6,27,0.556255278,0.01710702970018488
SOPT,0,0.9,4,6,6,28,0.5471621330000001,0.01776475815402263
clsSOPT,0,0.9,4,6,6,28,0.554713885,0.01821597038829341
QDEIM,0,0.9,4,6,6,28,0.567964601,0.01741884207689486
clsQDEIM,0,0.9,4,6,6,28,0.586884005,0.01711267717174731
SOPT,0,0.9,4,6,6,29,0.568624887,0.01776475815402262
clsSOPT,0,0.9,4,6,6,29,0.5709816210000001,0.01821597038829341
QDEIM,0,0.9,4,6,6,29,0.594719116,0.01741624831794393
clsQDEIM,0,0.9,4,6,6,29,0.580636937,0.01709436883873622
SOPT,0,0.9,4,6,6,30,0.582176501,0.01776475815402265
clsSOPT,0,0.9,4,6,6,30,0.591654825,0.01821597038829341
QDEIM,0,0.9,4,6,6,30,0.603478297,0.01741399201298576
clsQDEIM,0,0.9,4,6,6,30,0.5958201230000001,0.01709331631237557
SOPT,0,0.9,4,6,6,31,0.597646034,0.01776475815402265
clsSOPT,0,0.9,4,6,6,31,0.617369776,0.01821597038829341
QDEIM,0,0.9,4,6,6,31,0.6214996159999999,0.01741910886350433
clsQDEIM,0,0.9,4,6,6,31,0.6219779710000001,0.01704879068757318
SOPT,1,0.99,9,11,11,12,0.374035462,0.002692429096927006
clsSOPT,1,0.99,9,11,11,12,0.361124628,0.002779114186828623
QDEIM,1,0.99,9,11,11,12,0.376093792,0.003116316203293569
clsQDEIM,1,0.99,9,11,11,12,0.371295151,0.003162728820695403
SOPT,1,0.99,9,11,11,13,0.410800088,0.002673406746490264
clsSOPT,1,0.99,9,11,11,13,0.394337027,0.002782811030409052
QDEIM,1,0.99,9,11,11,13,0.386690631,0.003090890737025847
clsQDEIM,1,0.99,9,11,11,13,0.394169451,0.003191152528654429
SOPT,1,0.99,9,11,11,14,0.413087018,0.002676767588298085
clsSOPT,1,0.99,9,11,11,14,0.409530764,0.002780064380181543
QDEIM,1,0.99,9,11,11,14,0.417526909,0.003098737419490257
clsQDEIM,1,0.99,9,11,11,14,0.417807458,0.003185894769445349
SOPT,1,0.99,9,11,11,15,0.429978852,0.002689786152266965
clsSOPT,1,0.99,9,11,11,15,0.444299074,0.002848044654257343
QDEIM,1,0.99,9,11,11,15,0.4863300469999999,0.003096481950312843
clsQDEIM,1,0.99,9,11,11,15,0.468748896,0.003180701201558332
SOPT,1,0.99,9,11,11,16,0.474465666,0.002687243139360768
clsSOPT,1,0.99,9,11,11,16,0.454024342,0.002848044654257307
QDEIM,1,0.99,9,11,11,16,0.44594743,0.003096133527567406
clsQDEIM,1,0.99,9,11,11,16,0.447505846,0.003166171762954877
SOPT,1,0.99,9,11,11,17,0.4697387049999999,0.00267660700104627
clsSOPT,1,0.99,9,11,11,17,0.453286455,0.002848044654257319
QDEIM,1,0.99,9,11,11,17,0.458167353,0.003075892046386857
clsQDEIM,1,0.99,9,11,11,17,0.452919489,0.003119876044793219
SOPT,1,0.99,9,11,11,18,0.466624281,0.002679382901083806
clsSOPT,1,0.99,9,11,11,18,0.470370102,0.002848044654257313
QDEIM,1,0.99,9,11,11,18,0.477891932,0.00307246630178043
clsQDEIM,1,0.99,9,11,11,18,0.4707125129999999,0.0030762016866715
SOPT,1,0.99,9,11,11,19,0.483207706,0.00268103951719931
clsSOPT,1,0.99,9,11,11,19,0.4883132929999999,0.002848044654257339
QDEIM,1,0.99,9,11,11,19,0.524826672,0.003067002441939121
clsQDEIM,1,0.99,9,11,11,19,0.492485458,0.003092053714527365
SOPT,1,0.99,9,11,11,20,0.5114728660000001,0.002692075078955908
clsSOPT,1,0.99,9,11,11,20,0.503491009,0.002848044654257341
QDEIM,1,0.99,9,11,11,20,0.513753106,0.003059983286334612
clsQDEIM,1,0.99,9,11,11,20,0.518789028,0.003069400596503512
SOPT,1,0.99,9,11,11,21,0.524972185,0.002688242437895773
clsSOPT,1,0.99,9,11,11,21,0.529822485,0.002848044654257337
QDEIM,1,0.99,9,11,11,21,0.5393195639999999,0.003054194744130396
clsQDEIM,1,0.99,9,11,11,21,0.528494536,0.003072292559547908
SOPT,1,0.99,9,11,11,22,0.5387266399999999,0.002755884419018151
clsSOPT,1,0.99,9,11,11,22,0.54872814,0.002848044654257306
QDEIM,1,0.99,9,11,11,22,0.549082205,0.003027844335077356
clsQDEIM,1,0.99,9,11,11,22,0.5518081920000001,0.00284247866236569
SOPT,1,0.99,9,11,11,23,0.5466789950000001,0.002763062140414063
clsSOPT,1,0.99,9,11,11,23,0.5637069379999999,0.002848044654257343
QDEIM,1,0.99,9,11,11,23,0.56630468,0.003028161340526966
clsQDEIM,1,0.99,9,11,11,23,0.5642469880000001,0.002837418766237986
SOPT,1,0.99,9,11,11,24,0.5923944299999999,0.002780919646883504
clsSOPT,1,0.99,9,11,11,24,0.5764115590000001,0.002848044654257337
QDEIM,1,0.99,9,11,11,24,0.5927554150000001,0.003022231025561812
clsQDEIM,1,0.99,9,11,11,24,0.574054931,0.002870699948539764
SOPT,1,0.99,9,11,11,25,0.5754868049999999,0.002781830655245582
clsSOPT,1,0.99,9,11,11,25,0.579309734,0.002848044654257309
QDEIM,1,0.99,9,11,11,25,0.609062609,0.003020825371317535
clsQDEIM,1,0.99,9,11,11,25,0.593784332,0.002871141826295602
SOPT,1,0.99,9,11,11,26,0.592949645,0.002769155171983159
clsSOPT,1,0.99,9,11,11,26,0.6065727,0.002848044654257336
QDEIM,1,0.99,9,11,11,26,0.623819672,0.003019943732769048
clsQDEIM,1,0.99,9,11,11,26,0.620207274,0.002856802801906175
SOPT,1,0.99,9,11,11,27,0.606958954,0.002769606432073226
clsSOPT,1,0.99,9,11,11,27,0.603453802,0.002848044654257334
QDEIM,1,0.99,9,11,11,27,0.646473069,0.003016450856950913
clsQDEIM,1,0.99,9,11,11,27,0.629033825,0.002854963844110845
SOPT,1,0.99,9,11,11,28,0.620593355,0.002767301541169855
clsSOPT,1,0.99,9,11,11,28,0.621343691,0.00284804465425735
QDEIM,1,0.99,9,11,11,28,0.688571687,0.00301452801995456
clsQDEIM,1,0.99,9,11,11,28,0.6490673549999999,0.00289417568945501
SOPT,1,0.99,9,11,11,29,0.6376038989999999,0.002767634130439
clsSOPT,1,0.99,9,11,11,29,0.6392940469999999,0.002848044654257338
QDEIM,1,0.99,9,11,11,29,0.709626442,0.003014212390775951
clsQDEIM,1,0.99,9,11,11,29,0.664692501,0.002891020534736878
SOPT,1,0.99,9,11,11,30,0.651941758,0.002767868314747392
clsSOPT,1,0.99,9,11,11,30,0.6656106239999999,0.00284804465425734
QDEIM,1,0.99,9,11,11,30,0.6906583890000001,0.003013939121575405
clsQDEIM,1,0.99,9,11,11,30,0.6968993880000001,0.002902658292558528
SOPT,1,0.99,9,11,11,31,0.689706505,0.002770663345522681
clsSOPT,1,0.99,9,11,11,31,0.685204119,0.00284804465425734
