method,t,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
qdeim,0.1,6,4,3,110,3.094203,3.341026,0.448929,5.42008e-05,0.0233212,0.00119679
gnat,0.1,6,4,3,110,2.298931,2.281621,0.772213,2.2072e-05,0.0138303,0.00164056
clssopt,0.1,6,4,3,120,1.000000,2.453925,2.14543,0.000178014,0.187046,0.00386371
clsqdeim,0.1,6,4,3,120,1.253451,11.785568,0.616098,nan,nan,nan
clsgnat,0.1,6,4,3,120,41468765.151389,63429.524956,0.446305,nan,nan,nan
sopt,0.1,6,4,3,120,4.062086,2039.008406,2.27285,0.000982395,4.59341,0.430051
qdeim,0.1,6,4,3,120,5.815175,2.904243,0.358651,5.50849e-05,0.0234369,0.00120984
gnat,0.1,6,4,3,120,2.260905,2.717204,0.768989,2.03899e-05,0.0117584,0.00158123
clssopt,0.1,6,4,3,130,1.000000,2.660873,2.28712,0.000178013,0.187047,0.0038637
clsqdeim,0.1,6,4,3,130,1.137844,3.028204,0.574398,nan,nan,nan
clsgnat,0.1,6,4,3,130,44910328.689070,63636.354999,0.449775,nan,nan,nan
sopt,0.1,6,4,3,130,3.785537,3.433320,2.55504,0.0010055,4.80957,0.494824
qdeim,0.1,6,4,3,130,2.673400,3.145515,0.350232,5.58798e-05,0.023549,0.00122169
gnat,0.1,6,4,3,130,2.392532,2.340349,0.791412,1.87972e-05,0.0104249,0.00151111
clssopt,0.1,6,4,3,140,1.000000,2.800749,2.48009,0.000178013,0.187047,0.0038637
clsqdeim,0.1,6,4,3,140,1.115307,4.675297,0.628101,nan,nan,nan
clsgnat,0.1,6,4,3,140,48166403.937309,66859.754624,0.575536,nan,nan,nan
sopt,0.1,6,4,3,140,3.812922,3.402985,2.72217,0.00102241,4.96559,0.549053
qdeim,0.1,6,4,3,140,2.699306,2.882402,0.357736,5.66046e-05,0.0235689,0.00123147
gnat,0.1,6,4,3,140,2.791621,2.438181,0.815073,1.78489e-05,0.00960384,0.00147044
clssopt,0.1,6,4,3,150,1.000000,2.455490,2.78556,0.000178014,0.187046,0.00386365
clsqdeim,0.1,6,4,3,150,1.322965,2.495516,0.65918,nan,nan,nan
clsgnat,0.1,6,4,3,150,47761597.760674,65448.150760,0.491166,nan,nan,nan
sopt,0.1,6,4,3,150,3.824691,3.075760,2.758,0.00100689,4.81733,0.499314
qdeim,0.1,6,4,3,150,4.435029,3.060180,0.371464,5.78911e-05,0.0236035,0.00125155
gnat,0.1,6,4,3,150,2.203093,2.383929,0.817155,1.79735e-05,0.00958485,0.00147552
clssopt,0.1,6,4,3,160,1.000000,2.557876,3.04283,0.000178014,0.187046,0.00386365
clsqdeim,0.1,6,4,3,160,1.057961,4.826478,0.72954,nan,nan,nan
clsgnat,0.1,6,4,3,160,47322578.107701,66313.732710,0.507551,nan,nan,nan
sopt,0.1,6,4,3,160,3.883643,3.043552,2.97422,0.00101142,4.85792,0.514032
qdeim,0.1,6,4,3,160,2.703479,2.921848,0.352526,5.91395e-05,0.0236875,0.00127519
gnat,0.1,6,4,3,160,2.343057,3.243655,0.853846,1.81377e-05,0.00968074,0.00148228
clssopt,0.1,6,4,3,170,1.000000,2.520137,3.2622,0.000178016,0.187042,0.00386357
clsqdeim,0.1,6,4,3,170,1.108045,2.626140,0.642051,nan,nan,nan
clsgnat,0.1,6,4,3,170,52179240.233659,64452.819750,0.521796,nan,nan,nan
sopt,0.1,6,4,3,170,3.964829,2.931633,2.86259,0.00101928,4.92966,0.539762
qdeim,0.1,6,4,3,170,2.614305,2.972726,0.333609,7.52535e-05,0.0265709,0.00200468
gnat,0.1,6,4,3,170,2.759275,2.398602,0.847154,1.82902e-05,0.00978258,0.00148877
clssopt,0.1,6,4,3,180,1.000000,2.569506,3.50931,0.000178016,0.187042,0.00386357
clsqdeim,0.1,6,4,3,180,1.459844,4.647431,0.631869,nan,nan,nan
clsgnat,0.1,6,4,3,180,52343721.223378,73020.908951,0.542205,nan,nan,nan
sopt,0.1,6,4,3,180,4.012075,5.188037,2.88975,0.00101376,4.87568,0.521723
qdeim,0.1,6,4,3,180,4.697327,2.734851,0.325832,7.56384e-05,0.0264031,0.00203091
gnat,0.1,6,4,3,180,2.361304,2.695816,0.967567,1.84182e-05,0.00991914,0.00149456
clssopt,0.1,6,4,3,190,1.000000,2.648897,3.77126,0.000178016,0.187042,0.00386357
clsqdeim,0.1,6,4,3,190,1.128870,2.798348,0.673322,nan,nan,nan
clsgnat,0.1,6,4,3,190,53639927.372690,64578.935468,0.541958,nan,nan,nan
sopt,0.1,6,4,3,190,4.288709,3.425664,3.04781,0.00102128,4.94482,0.546966
qdeim,0.1,6,4,3,190,2.845899,2.948005,0.317623,7.57618e-05,0.0261072,0.00203326
gnat,0.1,6,4,3,190,2.288107,2.479003,0.907132,1.85835e-05,0.0100343,0.00150045
clssopt,0.1,6,4,3,200,1.000000,2.719637,3.94327,0.000178016,0.187042,0.00386357
clsqdeim,0.1,6,4,3,200,1.161754,4.526460,0.659777,nan,nan,nan
clsgnat,0.1,6,4,3,200,56738610.930318,68092.486907,0.571373,nan,nan,nan
sopt,0.1,6,4,3,200,2.837161,7.153083,3.23322,0.00101622,4.89787,0.530451
qdeim,0.1,6,4,3,200,2.896165,2.962778,0.427391,7.57946e-05,0.0258267,0.00203586
gnat,0.1,6,4,3,200,2.654029,2.662744,0.894271,1.87482e-05,0.010148,0.00150613
clssopt,0.1,6,6,5,10,2.067313,3.577104,0.288076,0.00127634,,
clsqdeim,0.1,6,6,5,10,6.249770,4.387599,0.721048,0.00204489,6.11774,0.678862
clsgnat,0.1,6,6,5,10,209471809.845211,48945.321510,0.158533,0.00127634,,
sopt,0.1,6,6,5,10,5.739289,6.149829,0.277114,2.08273e-05,0.00748563,0.00173371
qdeim,0.1,6,6,5,10,41.814148,3.189760,0.195864,2.28177e-05,0.0143382,0.00166424
gnat,0.1,6,6,5,10,7.647307,3.604855,0.245391,2.10855e-05,0.0129396,0.00188973
clssopt,0.1,6,6,5,20,2.939706,1.946436,0.353031,0.00127634,,
clsqdeim,0.1,6,6,5,20,6.450327,4.561787,0.330242,0.00127634,,
clsgnat,0.1,6,6,5,20,171701616.630735,67548.935668,0.137654,0.00127634,,
sopt,0.1,6,6,5,20,4.253383,5.272181,0.409786,2.06184e-05,0.00791204,0.00178889
qdeim,0.1,6,6,5,20,4987.022437,4.170414,0.23666,2.28376e-05,0.0144,0.00166558
gnat,0.1,6,6,5,20,9.056004,3.877510,0.344451,2.10614e-05,0.012981,0.00188706
clssopt,0.1,6,6,5,30,1.801276,8.841217,0.369184,0.00127634,,
clsqdeim,0.1,6,6,5,30,2.423499,183.856602,0.380859,0.00127634,,
clsgnat,0.1,6,6,5,30,116588807.712128,35349.107374,0.150469,0.00127634,,
sopt,0.1,6,6,5,30,5.758364,5.099330,0.455691,2.10425e-05,0.00872253,0.0018305
qdeim,0.1,6,6,5,30,5087.262244,2877.240190,0.264246,2.27798e-05,0.014371,0.00166667
gnat,0.1,6,6,5,30,7.412651,6.782219,0.341723,2.10374e-05,0.0130552,0.00188363
clssopt,0.1,6,6,5,40,1.488094,1.819999,0.426022,0.00127634,,
clsqdeim,0.1,6,6,5,40,2.513006,72.654622,0.409415,0.00127634,,
clsgnat,0.1,6,6,5,40,8741563.035880,95362.851557,0.174341,0.00127634,,
sopt,0.1,6,6,5,40,1499.281959,3.118348,0.523112,2.0915e-05,0.00879497,0.00185355
qdeim,0.1,6,6,5,40,15.577687,7.600410,0.275805,2.26734e-05,0.0143065,0.00166632
gnat,0.1,6,6,5,40,5.473177,3.552938,0.392525,2.1014e-05,0.0132811,0.0018766
clssopt,0.1,6,6,5,50,1.560691,1.499402,0.426081,0.00127634,,
clsqdeim,0.1,6,6,5,50,2.373634,62.454120,0.450829,0.00127634,,
clsgnat,0.1,6,6,5,50,2082873.428809,35813.054555,0.187345,0.00127634,,
sopt,0.1,6,6,5,50,9.691548,3.253758,0.572433,2.09471e-05,0.00870816,0.00186525
qdeim,0.1,6,6,5,50,6700.721609,10.147108,0.265628,2.26674e-05,0.0143066,0.00166622
gnat,0.1,6,6,5,50,4.086570,2.780067,0.457833,2.09281e-05,0.0135569,0.00185985
clssopt,0.1,6,6,5,60,1.652256,2.672098,0.397095,0.00127634,,
clsqdeim,0.1,6,6,5,60,2.342746,102490.001195,0.40396,0.00127634,,
clsgnat,0.1,6,6,5,60,1667575.859842,41219.857559,0.232651,0.00127634,,
sopt,0.1,6,6,5,60,7.366862,7.444967,0.648513,2.08461e-05,0.00851658,0.00185865
qdeim,0.1,6,6,5,60,12.611809,9176.493496,0.276225,2.26648e-05,0.014307,0.00166617
gnat,0.1,6,6,5,60,3.739676,3.023599,0.490206,2.08279e-05,0.0136283,0.00185157
clssopt,0.1,6,6,5,70,1.822153,1.406331,0.498404,0.00127634,,
clsqdeim,0.1,6,6,5,70,1.895247,57.621905,0.429543,0.00127634,,
clsgnat,0.1,6,6,5,70,1322364.701372,93325.424317,0.266782,0.00127634,,
sopt,0.1,6,6,5,70,3.951294,3.435014,0.648394,2.05143e-05,0.00821873,0.00181981
qdeim,0.1,6,6,5,70,9.649748,1610.076832,0.289553,1.94086e-05,0.0125892,0.0017266
gnat,0.1,6,6,5,70,3.501956,2.701703,0.579658,2.07884e-05,0.0135884,0.00185156
clssopt,0.1,6,6,5,80,1.767296,1.500412,0.535121,0.00127634,,
clsqdeim,0.1,6,6,5,80,2.181282,1707.314281,0.435303,0.00127634,,
clsgnat,0.1,6,6,5,80,2474776.283791,75582.061821,0.275153,0.00127634,,
sopt,0.1,6,6,5,80,3.223355,3.021243,0.694544,1.99669e-05,0.00776649,0.00175204
qdeim,0.1,6,6,5,80,11.280801,974.426697,0.354108,1.87751e-05,0.0132208,0.00172224
gnat,0.1,6,6,5,80,3.187624,3.102484,0.592433,2.07236e-05,0.0135347,0.00185193
clssopt,0.1,6,6,5,90,1.496000,2.529693,0.569655,0.00127634,,
clsqdeim,0.1,6,6,5,90,2.099416,801.642446,0.510049,0.00127634,,
clsgnat,0.1,6,6,5,90,1445618.914088,108638.055268,0.237162,0.00127634,,
sopt,0.1,6,6,5,90,3.249432,4.692862,0.645202,1.98572e-05,0.00762486,0.00173787
qdeim,0.1,6,6,5,90,10.444168,655.555448,0.380808,1.87665e-05,0.0138106,0.00170699
gnat,0.1,6,6,5,90,3.293726,3.463198,0.64441,2.06731e-05,0.0134752,0.00185212
clssopt,0.1,6,6,5,100,1.832563,1.586918,0.631828,0.00127634,,
clsqdeim,0.1,6,6,5,100,2.411713,8.555854,0.629863,0.00127634,,
clsgnat,0.1,6,6,5,100,85090174.222148,86116.172986,0.249006,0.00127634,,
sopt,0.1,6,6,5,100,3.589930,2.463050,0.640236,1.86215e-05,0.0070441,0.00161616
qdeim,0.1,6,6,5,100,9.335925,10.879365,0.513641,1.90973e-05,0.0146869,0.00177486
gnat,0.1,6,6,5,100,3.579623,2.413497,1.03622,2.06373e-05,0.0133784,0.00185267
clssopt,0.1,6,6,5,110,1.664212,1.580316,0.687533,0.00127634,,
clsqdeim,0.1,6,6,5,110,2.599778,7.124360,0.660709,0.00127634,,
clsgnat,0.1,6,6,5,110,9974380.465790,86334.521314,0.262738,0.00127634,,
sopt,0.1,6,6,5,110,3.119168,2.956487,0.642465,1.85259e-05,0.00692266,0.00160315
qdeim,0.1,6,6,5,110,8.401581,8.353043,0.458281,1.95149e-05,0.0134233,0.00171517
gnat,0.1,6,6,5,110,5.226221,2.448231,0.657413,2.05937e-05,0.0132553,0.00185396
clssopt,0.1,6,6,5,120,1.493252,3.679663,0.693902,0.00127634,,
clsqdeim,0.1,6,6,5,120,1.893049,1631.844853,0.801216,0.00127634,,
clsgnat,0.1,6,6,5,120,7218190.882880,106157.196017,0.283301,0.00127634,,
sopt,0.1,6,6,5,120,2.952112,3.364428,0.657031,1.83117e-05,0.00677561,0.00157653
qdeim,0.1,6,6,5,120,6.384547,666.916739,0.541864,1.94839e-05,0.0117339,0.00178393
gnat,0.1,6,6,5,120,3.831657,2.549057,0.823051,2.0351e-05,0.0118152,0.00183735
clssopt,0.1,6,6,5,130,1.780418,1.329646,0.7892,0.00127634,,
clsqdeim,0.1,6,6,5,130,2.654699,5.359320,0.958764,0.000217794,0.2983,0.0046104
clsgnat,0.1,6,6,5,130,5242961.731539,92496.398953,0.312678,0.00127634,,
sopt,0.1,6,6,5,130,2.756807,2.466064,0.696043,1.868e-05,0.00665783,0.00143147
qdeim,0.1,6,6,5,130,5.501604,6.282704,0.563645,1.97239e-05,0.0109645,0.00180152
gnat,0.1,6,6,5,130,2.647519,2.225618,0.663684,2.06301e-05,0.00967131,0.00185243
clssopt,0.1,6,6,5,140,3.147284,1.550802,0.854539,0.00127634,,
clsqdeim,0.1,6,6,5,140,2.770211,5.291770,0.995739,0.000225672,0.319323,0.00763843
clsgnat,0.1,6,6,5,140,359973.645604,81638.466278,0.395094,0.00127634,,
