method,t,energy_frac,rxdim,rvdim,nldim,q,nqp,time,err_x,err_v
SOPT,1.0,0.999999,14,26,29,300,1008,0.274589,0.000107959,0.0281995
gappy-POD,1.0,0.999999,14,26,29,300,756,0.208746,0.000415262,0.0839594
QDEIM,1.0,0.999999,14,26,29,300,747,0.206166,0.000415262,0.0839594
SOPT,1.0,0.999999,14,26,29,320,1035,0.284838,8.17069e-05,0.0255374
gappy-POD,1.0,0.999999,14,26,29,320,801,0.222128,0.000353804,0.0863131
QDEIM,1.0,0.999999,14,26,29,320,747,0.20662,0.000353804,0.0863131
SOPT,1.0,0.999999,14,26,29,340,1071,0.289237,4.80139e-05,0.0159077
gappy-POD,1.0,0.999999,14,26,29,340,855,0.236109,0.000300492,0.0840687
QDEIM,1.0,0.999999,14,26,29,340,774,0.21441,0.000300492,0.0840687
SOPT,1.0,0.999999,14,26,29,360,1071,0.291132,4.80174e-05,0.0159131
gappy-POD,1.0,0.999999,14,26,29,360,882,0.24298,0.000264435,0.0735994
QDEIM,1.0,0.999999,14,26,29,360,783,0.214576,0.000264435,0.0735994
SOPT,1.0,0.999999,14,26,29,380,1089,0.295919,4.13302e-05,0.0126552
gappy-POD,1.0,0.999999,14,26,29,380,900,0.247476,0.000253456,0.072515
QDEIM,1.0,0.999999,14,26,29,380,801,0.221939,0.000253456,0.072515
SOPT,1.0,0.999999,14,26,29,400,1098,0.299968,3.99515e-05,0.0129471
gappy-POD,1.0,0.999999,14,26,29,400,909,0.252352,0.000233351,0.0642187
QDEIM,1.0,0.999999,14,26,29,400,801,0.221614,0.000233351,0.0642187
EQP,1.0,0.9999999,21,30,1520,3030,,0.362763,2.32894e-07,0.00382753
SOPT,1.0,0.9999999,21,30,32,40,288,0.0832625,0.00122563,0.320203
gappy-POD,1.0,0.9999999,21,30,32,40,234,0.0696563,0.00141812,0.404267
QDEIM,1.0,0.9999999,21,30,32,40,279,0.0814569,0.00141812,0.404267
SOPT,1.0,0.9999999,21,30,32,60,351,0.0993116,0.00109103,0.301245
gappy-POD,1.0,0.9999999,21,30,32,60,288,0.0830231,0.00129601,0.357785
QDEIM,1.0,0.9999999,21,30,32,60,387,0.108907,0.00129601,0.357785
SOPT,1.0,0.9999999,21,30,32,80,405,0.115147,0.000971259,0.276122
gappy-POD,1.0,0.9999999,21,30,32,80,333,0.0957723,0.0012298,0.345815
QDEIM,1.0,0.9999999,21,30,32,80,405,0.11389,0.0012298,0.345815
SOPT,1.0,0.9999999,21,30,32,100,495,0.139169,0.000705733,0.221957
gappy-POD,1.0,0.9999999,21,30,32,100,369,0.10628,0.00117154,0.314964
QDEIM,1.0,0.9999999,21,30,32,100,405,0.115037,0.00117154,0.314964
SOPT,1.0,0.9999999,21,30,32,120,558,0.157268,0.000632748,0.172264
gappy-POD,1.0,0.9999999,21,30,32,120,387,0.112408,0.001105,0.303397
QDEIM,1.0,0.9999999,21,30,32,120,423,0.119182,0.001105,0.303397
SOPT,1.0,0.9999999,21,30,32,140,603,0.170029,0.000547899,0.145926
gappy-POD,1.0,0.9999999,21,30,32,140,423,0.121329,0.00105761,0.287312
QDEIM,1.0,0.9999999,21,30,32,140,459,0.128436,0.00105761,0.287312
SOPT,1.0,0.9999999,21,30,32,160,657,0.184521,0.000482215,0.127474
gappy-POD,1.0,0.9999999,21,30,32,160,477,0.134371,0.000850496,0.259124
QDEIM,1.0,0.9999999,21,30,32,160,477,0.135091,0.000850496,0.259124
SOPT,1.0,0.9999999,21,30,32,180,729,0.201233,0.000420636,0.11511
gappy-POD,1.0,0.9999999,21,30,32,180,513,0.145059,0.000815641,0.253615
QDEIM,1.0,0.9999999,21,30,32,180,486,0.139057,0.000815641,0.253615
SOPT,1.0,0.9999999,21,30,32,200,765,0.217381,0.00039134,0.103282
gappy-POD,1.0,0.9999999,21,30,32,200,549,0.15579,0.000753987,0.253732
QDEIM,1.0,0.9999999,21,30,32,200,504,0.143436,0.000753987,0.253732
SOPT,1.0,0.9999999,21,30,32,220,801,0.225892,0.000335456,0.0958425
gappy-POD,1.0,0.9999999,21,30,32,220,549,0.155992,0.000779324,0.218887
QDEIM,1.0,0.9999999,21,30,32,220,585,0.165427,0.000779324,0.218887
SOPT,1.0,0.9999999,21,30,32,240,837,0.232323,0.000298174,0.0904292
gappy-POD,1.0,0.9999999,21,30,32,240,594,0.167583,0.000716145,0.229194
QDEIM,1.0,0.9999999,21,30,32,240,585,0.168896,0.000716145,0.229194
SOPT,1.0,0.9999999,21,30,32,260,909,0.255826,0.000238166,0.0685985
gappy-POD,1.0,0.9999999,21,30,32,260,657,0.184777,0.00060635,0.176963
QDEIM,1.0,0.9999999,21,30,32,260,621,0.175579,0.00060635,0.176963
SOPT,1.0,0.9999999,21,30,32,280,936,0.259401,0.000180104,0.0522178
gappy-POD,1.0,0.9999999,21,30,32,280,702,0.198403,0.000480204,0.134353
QDEIM,1.0,0.9999999,21,30,32,280,666,0.185497,0.000480204,0.134353
SOPT,1.0,0.9999999,21,30,32,300,990,0.275249,0.000136197,0.0369865
gappy-POD,1.0,0.9999999,21,30,32,300,738,0.206407,0.000429029,0.130905
QDEIM,1.0,0.9999999,21,30,32,300,684,0.194848,0.000429029,0.130905
SOPT,1.0,0.9999999,21,30,32,320,1017,0.281974,9.74805e-05,0.0293931
gappy-POD,1.0,0.9999999,21,30,32,320,774,0.218444,0.000371249,0.122865
QDEIM,1.0,0.9999999,21,30,32,320,720,0.203598,0.000371249,0.122865
SOPT,1.0,0.9999999,21,30,32,340,1026,0.281661,9.07264e-05,0.0284649
gappy-POD,1.0,0.9999999,21,30,32,340,810,0.229528,0.000346948,0.133575
QDEIM,1.0,0.9999999,21,30,32,340,747,0.211695,0.000346948,0.133575
SOPT,1.0,0.9999999,21,30,32,360,1071,0.295207,5.60259e-05,0.0183607
gappy-POD,1.0,0.9999999,21,30,32,360,846,0.23821,0.000298539,0.110714
QDEIM,1.0,0.9999999,21,30,32,360,792,0.225189,0.000298539,0.110714
SOPT,1.0,0.9999999,21,30,32,380,1089,0.301905,5.2675e-05,0.017042
gappy-POD,1.0,0.9999999,21,30,32,380,900,0.248945,0.000239654,0.090091
QDEIM,1.0,0.9999999,21,30,32,380,846,0.235652,0.000239654,0.090091
SOPT,1.0,0.9999999,21,30,32,400,1098,0.301394,4.16737e-05,0.0172041
gappy-POD,1.0,0.9999999,21,30,32,400,909,0.255528,0.000239072,0.0917167
QDEIM,1.0,0.9999999,21,30,32,400,891,0.247233,0.000239072,0.0917167
