method,t,energy_frac,rxdim,rvdim,nldim,q,nqp,time,err_x,err_v
SOPT,1.0,0.99,2,4,6,160,828,0.225412,0.000244913,0.0352496
gappy-POD,1.0,0.99,2,4,6,160,720,0.193488,0.000934893,0.155121
QDEIM,1.0,0.99,2,4,6,160,891,0.237605,0.000934893,0.155121
SOPT,1.0,0.99,2,4,6,180,891,0.236883,0.000208668,0.0332221
gappy-POD,1.0,0.99,2,4,6,180,792,0.211876,0.000809831,0.137002
QDEIM,1.0,0.99,2,4,6,180,909,0.241003,0.000809831,0.137002
SOPT,1.0,0.99,2,4,6,200,981,0.260771,0.000129416,0.0311217
gappy-POD,1.0,0.99,2,4,6,200,828,0.221357,0.000713266,0.11413
QDEIM,1.0,0.99,2,4,6,200,972,0.260895,0.000713266,0.11413
SOPT,1.0,0.99,2,4,6,220,981,0.260288,0.000129417,0.0311067
gappy-POD,1.0,0.99,2,4,6,220,900,0.24157,0.000580196,0.0996348
QDEIM,1.0,0.99,2,4,6,220,1008,0.269818,0.000580196,0.0996348
SOPT,1.0,0.99,2,4,6,240,1017,0.27181,0.000106262,0.0203061
gappy-POD,1.0,0.99,2,4,6,240,954,0.256973,0.000407511,0.0819165
QDEIM,1.0,0.99,2,4,6,240,1026,0.273221,0.000407511,0.0819165
SOPT,1.0,0.99,2,4,6,260,1062,0.288127,7.44933e-05,0.0145401
gappy-POD,1.0,0.99,2,4,6,260,981,0.262857,0.00032591,0.070226
QDEIM,1.0,0.99,2,4,6,260,1026,0.279049,0.00032591,0.070226
SOPT,1.0,0.99,2,4,6,280,1098,0.29551,3.43619e-05,0.010544
gappy-POD,1.0,0.99,2,4,6,280,1026,0.27478,0.000217816,0.043605
QDEIM,1.0,0.99,2,4,6,280,1026,0.277742,0.000217816,0.043605
SOPT,1.0,0.99,2,4,6,300,1125,0.301071,1.89631e-05,0.00967949
gappy-POD,1.0,0.99,2,4,6,300,1071,0.28576,0.000130972,0.0245517
QDEIM,1.0,0.99,2,4,6,300,1026,0.277073,0.000130972,0.0245517
SOPT,1.0,0.99,2,4,6,320,1143,0.307582,9.75407e-06,0.00965637
gappy-POD,1.0,0.99,2,4,6,320,1089,0.293393,0.000108731,0.0229658
QDEIM,1.0,0.99,2,4,6,320,1026,0.276353,0.000108731,0.0229658
SOPT,1.0,0.99,2,4,6,340,1152,0.306458,7.89159e-06,0.0086721
gappy-POD,1.0,0.99,2,4,6,340,1116,0.297831,6.82868e-05,0.0119799
QDEIM,1.0,0.99,2,4,6,340,1026,0.2729,6.82868e-05,0.0119799
SOPT,1.0,0.99,2,4,6,360,1152,0.305829,7.89611e-06,0.00866882
gappy-POD,1.0,0.99,2,4,6,360,1134,0.299738,2.44885e-05,0.0036351
QDEIM,1.0,0.99,2,4,6,360,1026,0.279528,2.44885e-05,0.0036351
SOPT,1.0,0.99,2,4,6,380,1152,0.305965,7.89887e-06,0.00869168
gappy-POD,1.0,0.99,2,4,6,380,1152,0.304593,7.88731e-06,0.00846577
QDEIM,1.0,0.99,2,4,6,380,1044,0.278131,7.88731e-06,0.00846577
SOPT,1.0,0.99,2,4,6,400,1152,0.303866,7.89241e-06,0.00868057
gappy-POD,1.0,0.99,2,4,6,400,1152,0.306879,7.88734e-06,0.00846666
QDEIM,1.0,0.99,2,4,6,400,1062,0.286856,7.88734e-06,0.00846666
EQP,1.0,0.999,4,8,653,808,,0.086654,2.0997e-05,0.0948746
SOPT,1.0,0.999,4,8,13,40,378,0.107,0.00115536,0.13741
gappy-POD,1.0,0.999,4,8,13,40,234,0.0685412,0.00153033,0.223348
QDEIM,1.0,0.999,4,8,13,40,252,0.0728911,0.00153033,0.223348
SOPT,1.0,0.999,4,8,13,60,459,0.127229,0.000954069,0.105014
gappy-POD,1.0,0.999,4,8,13,60,288,0.0822934,0.00148685,0.212799
QDEIM,1.0,0.999,4,8,13,60,270,0.0773608,0.00148685,0.212799
SOPT,1.0,0.999,4,8,13,80,558,0.152752,0.000751239,0.0892656
gappy-POD,1.0,0.999,4,8,13,80,378,0.105852,0.00136764,0.187556
QDEIM,1.0,0.999,4,8,13,80,297,0.084296,0.00136764,0.187556
SOPT,1.0,0.999,4,8,13,100,756,0.209418,0.000402555,0.0576511
gappy-POD,1.0,0.999,4,8,13,100,405,0.113078,0.00135881,0.186529
QDEIM,1.0,0.999,4,8,13,100,324,0.0907543,0.00135881,0.186529
SOPT,1.0,0.999,4,8,13,120,855,0.230206,0.000332734,0.0479916
gappy-POD,1.0,0.999,4,8,13,120,459,0.127705,0.00121926,0.170493
QDEIM,1.0,0.999,4,8,13,120,387,0.107636,0.00121926,0.170493
SOPT,1.0,0.999,4,8,13,140,909,0.247567,0.00027085,0.0364975
gappy-POD,1.0,0.999,4,8,13,140,504,0.140121,0.00111266,0.157242
QDEIM,1.0,0.999,4,8,13,140,387,0.107929,0.00111266,0.157242
SOPT,1.0,0.999,4,8,13,160,981,0.264658,0.000244832,0.0399341
gappy-POD,1.0,0.999,4,8,13,160,576,0.157119,0.00101309,0.142267
QDEIM,1.0,0.999,4,8,13,160,423,0.117414,0.00101309,0.142267
SOPT,1.0,0.999,4,8,13,180,990,0.263727,0.000224351,0.034235
