method,t,energy_frac,rxdim,rvdim,nldim,nqp,time,err_x,err_v
gappy-POD,1.0,0.99999,8,22,25,650,1152,0.316761,7.76511e-09,4.40932e-05
QDEIM,1.0,0.99999,8,22,25,650,1143,0.312424,7.76511e-09,4.40932e-05
SOPT,1.0,0.99999,8,22,25,700,1152,0.31295,7.76158e-09,4.47131e-05
gappy-POD,1.0,0.99999,8,22,25,700,1152,0.313365,7.7645e-09,4.40743e-05
QDEIM,1.0,0.99999,8,22,25,700,1152,0.312926,7.7645e-09,4.40743e-05
SOPT,1.0,0.99999,8,22,25,750,1152,0.311197,7.76254e-09,4.47072e-05
gappy-POD,1.0,0.99999,8,22,25,750,1152,0.315631,7.76464e-09,4.40492e-05
QDEIM,1.0,0.99999,8,22,25,750,1152,0.316957,7.76464e-09,4.40492e-05
SOPT,1.0,0.99999,8,22,25,800,1152,0.314146,7.76235e-09,4.46661e-05
gappy-POD,1.0,0.99999,8,22,25,800,1152,0.315101,7.76464e-09,4.40343e-05
QDEIM,1.0,0.99999,8,22,25,800,1152,0.318574,7.76464e-09,4.40343e-05
SOPT,1.0,0.99999,8,22,25,850,1152,0.316339,7.76115e-09,4.46736e-05
gappy-POD,1.0,0.99999,8,22,25,850,1152,0.31397,7.76527e-09,4.40029e-05
QDEIM,1.0,0.99999,8,22,25,850,1152,0.315816,7.76527e-09,4.40029e-05
SOPT,1.0,0.99999,8,22,25,900,1152,0.314135,7.76319e-09,4.47502e-05
gappy-POD,1.0,0.99999,8,22,25,900,1152,0.315921,7.76523e-09,4.4e-05
QDEIM,1.0,0.99999,8,22,25,900,1152,0.321102,7.76523e-09,4.4e-05
SOPT,1.0,0.99999,8,22,25,950,1152,0.312995,7.76351e-09,4.46126e-05
gappy-POD,1.0,0.99999,8,22,25,950,1152,0.320144,7.7652e-09,4.39879e-05
QDEIM,1.0,0.99999,8,22,25,950,1152,0.317545,7.7652e-09,4.39879e-05
SOPT,1.0,0.99999,8,22,25,1000,1152,0.315804,7.75312e-09,4.4732e-05
gappy-POD,1.0,0.99999,8,22,25,1000,1152,0.320494,7.76532e-09,4.39811e-05
QDEIM,1.0,0.99999,8,22,25,1000,1152,0.32546,7.76532e-09,4.39811e-05
SOPT,1.0,0.99999,8,22,25,1050,1152,0.315734,7.75413e-09,4.47145e-05
gappy-POD,1.0,0.99999,8,22,25,1050,1152,0.320441,7.76547e-09,4.39815e-05
QDEIM,1.0,0.99999,8,22,25,1050,1152,0.316825,7.76547e-09,4.39815e-05
SOPT,1.0,0.99999,8,22,25,1100,1152,0.316562,7.7659e-09,4.4176e-05
gappy-POD,1.0,0.99999,8,22,25,1100,1152,0.324364,7.76552e-09,4.39813e-05
QDEIM,1.0,0.99999,8,22,25,1100,1152,0.322092,7.76552e-09,4.39813e-05
SOPT,1.0,0.99999,8,22,25,1150,1152,0.31684,7.76687e-09,4.3953e-05
gappy-POD,1.0,0.99999,8,22,25,1150,1152,0.321417,7.76555e-09,4.39814e-05
QDEIM,1.0,0.99999,8,22,25,1150,1152,0.326398,7.76555e-09,4.39814e-05
EQP,1.0,0.999999,14,26,1239,2626,,0.257136,9.09022e-07,0.0239165
SOPT,1.0,0.999999,14,26,29,50,306,0.0892959,0.00122488,0.249058
gappy-POD,1.0,0.999999,14,26,29,50,252,0.0754253,0.0014024,0.2714
QDEIM,1.0,0.999999,14,26,29,50,351,0.102198,0.0014024,0.2714
SOPT,1.0,0.999999,14,26,29,100,477,0.134886,0.000733436,0.123066
gappy-POD,1.0,0.999999,14,26,29,100,351,0.101779,0.00123747,0.213723
QDEIM,1.0,0.999999,14,26,29,100,441,0.12404,0.00123747,0.213723
SOPT,1.0,0.999999,14,26,29,150,675,0.186498,0.000430845,0.0739478
gappy-POD,1.0,0.999999,14,26,29,150,477,0.136594,0.000912516,0.155676
QDEIM,1.0,0.999999,14,26,29,150,477,0.134182,0.000912516,0.155676
SOPT,1.0,0.999999,14,26,29,200,864,0.23885,0.000232501,0.0373088
gappy-POD,1.0,0.999999,14,26,29,200,540,0.151886,0.000816895,0.127622
QDEIM,1.0,0.999999,14,26,29,200,684,0.185764,0.000816895,0.127622
SOPT,1.0,0.999999,14,26,29,250,963,0.263847,0.000147589,0.0235545
gappy-POD,1.0,0.999999,14,26,29,250,657,0.181379,0.000572772,0.0902324
QDEIM,1.0,0.999999,14,26,29,250,711,0.198579,0.000572772,0.0902324
SOPT,1.0,0.999999,14,26,29,300,1008,0.275664,0.000107959,0.0281995
gappy-POD,1.0,0.999999,14,26,29,300,756,0.211479,0.000415262,0.0839594
QDEIM,1.0,0.999999,14,26,29,300,747,0.206859,0.000415262,0.0839594
SOPT,1.0,0.999999,14,26,29,350,1071,0.293409,4.80118e-05,0.0159089
gappy-POD,1.0,0.999999,14,26,29,350,882,0.245844,0.000264422,0.0736071
QDEIM,1.0,0.999999,14,26,29,350,783,0.218047,0.000264422,0.0736071
SOPT,1.0,0.999999,14,26,29,400,1098,0.299347,3.99515e-05,0.0129471
gappy-POD,1.0,0.999999,14,26,29,400,909,0.25171,0.000233351,0.0642187
QDEIM,1.0,0.999999,14,26,29,400,801,0.221766,0.000233351,0.0642187
SOPT,1.0,0.999999,14,26,29,450,1134,0.310868,1.70785e-05,0.00746188
gappy-POD,1.0,0.999999,14,26,29,450,981,0.269517,0.000180003,0.0647558
QDEIM,1.0,0.999999,14,26,29,450,927,0.257403,0.000180003,0.0647558
SOPT,1.0,0.999999,14,26,29,500,1152,0.316147,6.13554e-10,6.20076e-06
gappy-POD,1.0,0.999999,14,26,29,500,1026,0.28671,0.00010309,0.0314423
QDEIM,1.0,0.999999,14,26,29,500,972,0.269803,0.00010309,0.0314423
SOPT,1.0,0.999999,14,26,29,550,1152,0.317514,6.1373e-10,6.20024e-06
gappy-POD,1.0,0.999999,14,26,29,550,1116,0.308025,1.79157e-05,0.00917969
QDEIM,1.0,0.999999,14,26,29,550,1053,0.294029,1.79157e-05,0.00917969
SOPT,1.0,0.999999,14,26,29,600,1152,0.328209,6.13733e-10,6.20026e-06
gappy-POD,1.0,0.999999,14,26,29,600,1143,0.318408,4.46533e-06,0.00216863
QDEIM,1.0,0.999999,14,26,29,600,1098,0.306609,4.46533e-06,0.00216863
SOPT,1.0,0.999999,14,26,29,650,1152,0.316292,6.14309e-10,6.20021e-06
gappy-POD,1.0,0.999999,14,26,29,650,1152,0.319578,6.1637e-10,6.20472e-06
QDEIM,1.0,0.999999,14,26,29,650,1152,0.317031,6.1637e-10,6.20472e-06
SOPT,1.0,0.999999,14,26,29,700,1152,0.317698,6.15811e-10,6.19769e-06
gappy-POD,1.0,0.999999,14,26,29,700,1152,0.319701,6.16571e-10,6.20409e-06
QDEIM,1.0,0.999999,14,26,29,700,1152,0.324869,6.16571e-10,6.20409e-06
SOPT,1.0,0.999999,14,26,29,750,1152,0.32048,6.16247e-10,6.197e-06
gappy-POD,1.0,0.999999,14,26,29,750,1152,0.323235,6.1486e-10,6.20485e-06
QDEIM,1.0,0.999999,14,26,29,750,1152,0.322837,6.1486e-10,6.20485e-06
SOPT,1.0,0.999999,14,26,29,800,1152,0.320849,6.15378e-10,6.19837e-06
gappy-POD,1.0,0.999999,14,26,29,800,1152,0.324013,6.14524e-10,6.20409e-06
QDEIM,1.0,0.999999,14,26,29,800,1152,0.320652,6.14524e-10,6.20409e-06
SOPT,1.0,0.999999,14,26,29,850,1152,0.319739,6.14699e-10,6.19964e-06
gappy-POD,1.0,0.999999,14,26,29,850,1152,0.323079,6.13486e-10,6.20271e-06
QDEIM,1.0,0.999999,14,26,29,850,1152,0.321602,6.13486e-10,6.20271e-06
SOPT,1.0,0.999999,14,26,29,900,1152,0.322502,6.15189e-10,6.20145e-06
gappy-POD,1.0,0.999999,14,26,29,900,1152,0.322503,6.13411e-10,6.20309e-06
QDEIM,1.0,0.999999,14,26,29,900,1152,0.330225,6.13411e-10,6.20309e-06
SOPT,1.0,0.999999,14,26,29,950,1152,0.322864,6.14309e-10,6.19796e-06
gappy-POD,1.0,0.999999,14,26,29,950,1152,0.325651,6.13464e-10,6.20247e-06
QDEIM,1.0,0.999999,14,26,29,950,1152,0.320513,6.13464e-10,6.20247e-06
SOPT,1.0,0.999999,14,26,29,1000,1152,0.323931,6.15094e-10,6.19928e-06
gappy-POD,1.0,0.999999,14,26,29,1000,1152,0.324965,6.133e-10,6.20152e-06
QDEIM,1.0,0.999999,14,26,29,1000,1152,0.322085,6.133e-10,6.20152e-06
SOPT,1.0,0.999999,14,26,29,1050,1152,0.322859,6.14722e-10,6.19187e-06
gappy-POD,1.0,0.999999,14,26,29,1050,1152,0.324222,6.1296e-10,6.20164e-06
QDEIM,1.0,0.999999,14,26,29,1050,1152,0.322883,6.1296e-10,6.20164e-06
SOPT,1.0,0.999999,14,26,29,1100,1152,0.322181,6.13419e-10,6.20123e-06
gappy-POD,1.0,0.999999,14,26,29,1100,1152,0.32507,6.12933e-10,6.20174e-06
QDEIM,1.0,0.999999,14,26,29,1100,1152,0.332339,6.12933e-10,6.20174e-06
SOPT,1.0,0.999999,14,26,29,1150,1152,0.322565,6.13544e-10,6.20127e-06
gappy-POD,1.0,0.999999,14,26,29,1150,1152,0.324751,6.12937e-10,6.20174e-06
QDEIM,1.0,0.999999,14,26,29,1150,1152,0.327632,6.12937e-10,6.20174e-06
EQP,1.0,0.9999999,21,30,1520,3030,,0.452559,2.32894e-07,0.00382753
SOPT,1.0,0.9999999,21,30,32,50,324,0.0946176,0.00113797,0.291054
gappy-POD,1.0,0.9999999,21,30,32,50,261,0.0771298,0.00135213,0.354111
QDEIM,1.0,0.9999999,21,30,32,50,378,0.108474,0.00135213,0.354111
SOPT,1.0,0.9999999,21,30,32,100,495,0.138716,0.000705733,0.221957
gappy-POD,1.0,0.9999999,21,30,32,100,369,0.106092,0.00117154,0.314964
QDEIM,1.0,0.9999999,21,30,32,100,405,0.116431,0.00117154,0.314964
SOPT,1.0,0.9999999,21,30,32,150,639,0.180814,0.000514066,0.13221
gappy-POD,1.0,0.9999999,21,30,32,150,459,0.131833,0.000908159,0.286351
QDEIM,1.0,0.9999999,21,30,32,150,459,0.130995,0.000908159,0.286351
SOPT,1.0,0.9999999,21,30,32,200,765,0.218914,0.00039134,0.103282
gappy-POD,1.0,0.9999999,21,30,32,200,549,0.156702,0.000753987,0.253732
QDEIM,1.0,0.9999999,21,30,32,200,504,0.14442,0.000753987,0.253732
SOPT,1.0,0.9999999,21,30,32,250,891,0.24764,0.000265365,0.0817923
gappy-POD,1.0,0.9999999,21,30,32,250,621,0.176485,0.000656558,0.205512
QDEIM,1.0,0.9999999,21,30,32,250,603,0.171713,0.000656558,0.205512
SOPT,1.0,0.9999999,21,30,32,300,990,0.274592,0.000136197,0.0369865
gappy-POD,1.0,0.9999999,21,30,32,300,738,0.206053,0.000429029,0.130905
QDEIM,1.0,0.9999999,21,30,32,300,684,0.194309,0.000429029,0.130905
SOPT,1.0,0.9999999,21,30,32,350,1062,0.291537,5.96663e-05,0.020203
gappy-POD,1.0,0.9999999,21,30,32,350,837,0.236683,0.000301145,0.113588
QDEIM,1.0,0.9999999,21,30,32,350,792,0.222018,0.000301145,0.113588
SOPT,1.0,0.9999999,21,30,32,400,1098,0.301218,4.16737e-05,0.0172041
gappy-POD,1.0,0.9999999,21,30,32,400,909,0.255028,0.000239072,0.0917167
QDEIM,1.0,0.9999999,21,30,32,400,891,0.246747,0.000239072,0.0917167
SOPT,1.0,0.9999999,21,30,32,450,1134,0.314598,6.62759e-06,0.00318966
gappy-POD,1.0,0.9999999,21,30,32,450,981,0.272674,0.000155602,0.0621211
QDEIM,1.0,0.9999999,21,30,32,450,963,0.27519,0.000155602,0.0621211
SOPT,1.0,0.9999999,21,30,32,500,1152,0.319368,6.44525e-11,1.8404e-06
gappy-POD,1.0,0.9999999,21,30,32,500,1044,0.289015,9.97065e-05,0.0400589
QDEIM,1.0,0.9999999,21,30,32,500,1026,0.288312,9.97065e-05,0.0400589
SOPT,1.0,0.9999999,21,30,32,550,1152,0.318611,6.43899e-11,1.84028e-06
gappy-POD,1.0,0.9999999,21,30,32,550,1089,0.300268,3.96679e-05,0.0124698
QDEIM,1.0,0.9999999,21,30,32,550,1035,0.289393,3.96679e-05,0.0124698
SOPT,1.0,0.9999999,21,30,32,600,1152,0.326253,6.43913e-11,1.8403e-06
gappy-POD,1.0,0.9999999,21,30,32,600,1143,0.322757,4.29762e-06,0.00243332
QDEIM,1.0,0.9999999,21,30,32,600,1116,0.309916,4.29762e-06,0.00243332
SOPT,1.0,0.9999999,21,30,32,650,1152,0.327725,6.4376e-11,1.84077e-06
gappy-POD,1.0,0.9999999,21,30,32,650,1152,0.322179,6.18629e-11,1.82686e-06
QDEIM,1.0,0.9999999,21,30,32,650,1143,0.317239,6.18629e-11,1.82686e-06
SOPT,1.0,0.9999999,21,30,32,700,1152,0.317647,6.42221e-11,1.83892e-06
gappy-POD,1.0,0.9999999,21,30,32,700,1152,0.318996,6.17268e-11,1.82565e-06
QDEIM,1.0,0.9999999,21,30,32,700,1152,0.321086,6.17268e-11,1.82565e-06
SOPT,1.0,0.9999999,21,30,32,750,1152,0.320512,6.425e-11,1.83744e-06
gappy-POD,1.0,0.9999999,21,30,32,750,1152,0.328366,6.15237e-11,1.82414e-06
QDEIM,1.0,0.9999999,21,30,32,750,1152,0.320272,6.15237e-11,1.82414e-06
SOPT,1.0,0.9999999,21,30,32,800,1152,0.324483,6.49471e-11,1.83919e-06
gappy-POD,1.0,0.9999999,21,30,32,800,1152,0.32053,6.15594e-11,1.82252e-06
QDEIM,1.0,0.9999999,21,30,32,800,1152,0.322,6.15594e-11,1.82252e-06
SOPT,1.0,0.9999999,21,30,32,850,1152,0.325645,6.5042e-11,1.83791e-06
gappy-POD,1.0,0.9999999,21,30,32,850,1152,0.32418,6.16222e-11,1.82228e-06
QDEIM,1.0,0.9999999,21,30,32,850,1152,0.324896,6.16222e-11,1.82228e-06
SOPT,1.0,0.9999999,21,30,32,900,1152,0.32533,6.44849e-11,1.83469e-06
gappy-POD,1.0,0.9999999,21,30,32,900,1152,0.325722,6.16412e-11,1.82172e-06
QDEIM,1.0,0.9999999,21,30,32,900,1152,0.322059,6.16412e-11,1.82172e-06
SOPT,1.0,0.9999999,21,30,32,950,1152,0.32904,6.45737e-11,1.83469e-06
gappy-POD,1.0,0.9999999,21,30,32,950,1152,0.331552,6.16297e-11,1.82169e-06
QDEIM,1.0,0.9999999,21,30,32,950,1152,0.329191,6.16297e-11,1.82169e-06
SOPT,1.0,0.9999999,21,30,32,1000,1152,0.327835,6.25321e-11,1.83607e-06
gappy-POD,1.0,0.9999999,21,30,32,1000,1152,0.329375,6.1602e-11,1.82105e-06
QDEIM,1.0,0.9999999,21,30,32,1000,1152,0.335017,6.1602e-11,1.82105e-06
SOPT,1.0,0.9999999,21,30,32,1050,1152,0.33162,6.39346e-11,1.84169e-06
gappy-POD,1.0,0.9999999,21,30,32,1050,1152,0.330612,6.15688e-11,1.82085e-06
QDEIM,1.0,0.9999999,21,30,32,1050,1152,0.33373,6.15688e-11,1.82085e-06
SOPT,1.0,0.9999999,21,30,32,1100,1152,0.343575,6.14331e-11,1.82225e-06
gappy-POD,1.0,0.9999999,21,30,32,1100,1152,0.338818,6.15714e-11,1.82088e-06
QDEIM,1.0,0.9999999,21,30,32,1100,1152,0.34162,6.15714e-11,1.82088e-06
SOPT,1.0,0.9999999,21,30,32,1150,1152,0.34386,6.15183e-11,1.82162e-06
gappy-POD,1.0,0.9999999,21,30,32,1150,1152,0.34765,6.1573e-11,1.82089e-06
QDEIM,1.0,0.9999999,21,30,32,1150,1152,0.348084,6.1573e-11,1.82089e-06
