method,t,energy_frac,rxdim,rvdim,nldim,nqp,time,err_x,err_v
QDEIM,1.0,0.99,2,4,6,50,342,0.0955117,0.00170815,0.250525
SOPT,1.0,0.99,2,4,6,100,702,0.192164,0.000330058,0.0540253
gappy-POD,1.0,0.99,2,4,6,100,495,0.135191,0.00135385,0.225312
QDEIM,1.0,0.99,2,4,6,100,594,0.161218,0.00135385,0.225312
SOPT,1.0,0.99,2,4,6,150,828,0.221804,0.000244913,0.0352496
gappy-POD,1.0,0.99,2,4,6,150,693,0.185086,0.000990117,0.16328
QDEIM,1.0,0.99,2,4,6,150,891,0.24053,0.000990117,0.16328
SOPT,1.0,0.99,2,4,6,200,981,0.261576,0.000129416,0.0311217
gappy-POD,1.0,0.99,2,4,6,200,828,0.219085,0.000713266,0.11413
QDEIM,1.0,0.99,2,4,6,200,972,0.260783,0.000713266,0.11413
SOPT,1.0,0.99,2,4,6,250,1044,0.277281,8.58504e-05,0.0151637
gappy-POD,1.0,0.99,2,4,6,250,972,0.260342,0.000349032,0.0772876
QDEIM,1.0,0.99,2,4,6,250,1026,0.273197,0.000349032,0.0772876
SOPT,1.0,0.99,2,4,6,300,1125,0.298652,1.89631e-05,0.00967949
gappy-POD,1.0,0.99,2,4,6,300,1071,0.283843,0.000130972,0.0245517
QDEIM,1.0,0.99,2,4,6,300,1026,0.276141,0.000130972,0.0245517
SOPT,1.0,0.99,2,4,6,350,1152,0.307279,7.88834e-06,0.00867229
gappy-POD,1.0,0.99,2,4,6,350,1116,0.295093,6.82869e-05,0.0119765
QDEIM,1.0,0.99,2,4,6,350,1026,0.272698,6.82869e-05,0.0119765
SOPT,1.0,0.99,2,4,6,400,1152,0.3042,7.89241e-06,0.00868057
gappy-POD,1.0,0.99,2,4,6,400,1152,0.305956,7.88734e-06,0.00846666
QDEIM,1.0,0.99,2,4,6,400,1062,0.285441,7.88734e-06,0.00846666
SOPT,1.0,0.99,2,4,6,450,1152,0.305534,7.89985e-06,0.00860927
gappy-POD,1.0,0.99,2,4,6,450,1152,0.30578,7.88703e-06,0.00846562
QDEIM,1.0,0.99,2,4,6,450,1152,0.308366,7.88703e-06,0.00846562
SOPT,1.0,0.99,2,4,6,500,1152,0.306423,7.89734e-06,0.00857777
gappy-POD,1.0,0.99,2,4,6,500,1152,0.309909,7.88684e-06,0.00846987
QDEIM,1.0,0.99,2,4,6,500,1152,0.309582,7.88684e-06,0.00846987
SOPT,1.0,0.99,2,4,6,550,1152,0.305773,7.88787e-06,0.00864059
gappy-POD,1.0,0.99,2,4,6,550,1152,0.307933,7.88673e-06,0.00847588
QDEIM,1.0,0.99,2,4,6,550,1152,0.309756,7.88673e-06,0.00847588
SOPT,1.0,0.99,2,4,6,600,1152,0.304389,7.88972e-06,0.00851518
gappy-POD,1.0,0.99,2,4,6,600,1152,0.30414,7.88686e-06,0.00847126
QDEIM,1.0,0.99,2,4,6,600,1152,0.308547,7.88686e-06,0.00847126
SOPT,1.0,0.99,2,4,6,650,1152,0.308584,7.89443e-06,0.00853802
gappy-POD,1.0,0.99,2,4,6,650,1152,0.308989,7.8874e-06,0.00846391
QDEIM,1.0,0.99,2,4,6,650,1152,0.315414,7.8874e-06,0.00846391
SOPT,1.0,0.99,2,4,6,700,1152,0.309095,7.8884e-06,0.00856688
gappy-POD,1.0,0.99,2,4,6,700,1152,0.303366,7.88711e-06,0.00846504
QDEIM,1.0,0.99,2,4,6,700,1152,0.306512,7.88711e-06,0.00846504
SOPT,1.0,0.99,2,4,6,750,1152,0.303978,7.89234e-06,0.00852453
gappy-POD,1.0,0.99,2,4,6,750,1152,0.307053,7.88708e-06,0.0084683
QDEIM,1.0,0.99,2,4,6,750,1152,0.313651,7.88708e-06,0.0084683
SOPT,1.0,0.99,2,4,6,800,1152,0.306037,7.89108e-06,0.00853832
gappy-POD,1.0,0.99,2,4,6,800,1152,0.308164,7.88713e-06,0.00847131
QDEIM,1.0,0.99,2,4,6,800,1152,0.315458,7.88713e-06,0.00847131
SOPT,1.0,0.99,2,4,6,850,1152,0.304866,7.89055e-06,0.00851116
gappy-POD,1.0,0.99,2,4,6,850,1152,0.311364,7.88727e-06,0.00846887
QDEIM,1.0,0.99,2,4,6,850,1152,0.310453,7.88727e-06,0.00846887
SOPT,1.0,0.99,2,4,6,900,1152,0.303827,7.89183e-06,0.0084707
gappy-POD,1.0,0.99,2,4,6,900,1152,0.306884,7.88762e-06,0.00846841
