window,w,t,q,qV,qE,ErrX,ErrV,ErrE,TT1,TT2,TT3
10,97,0.1,8.92102e-06,0.000681297,0.000940046,254.392,5.53378,2.11884e+01
15,61,0.1,7.77837e-06,0.00101612,0.00044755,167.04,4.2284,1.30598e+01
20,49,0.1,3.56498e-06,0.00142639,0.000469142,133.667,4.1464,1.30587e+01
25,38,0.1,0.0112617,0.000801526,0.000405616,114.918,3.78514,1.23242e+01
30,33,0.1,0.00117461,0.0448498,0.00142653,94.5585,4.00613,9.47222e+00
35,27,0.1,8.99904e-06,0.00213155,0.000357677,80.0087,4.25661,9.81496e+00
40,25,0.1,1.02626e-05,0.00212302,0.00056345,78.1124,4.4503,1.18588e+01
45,21,0.1,4.80297e-06,0.00183953,0.000180151,67.2694,4.10979,9.26167e+00
50,20,0.1,3.0163e-06,0.000567637,0.000207118,62.8682,4.19412,7.89105e+00
55,18,0.1,6.58243e-06,0.00072008,0.000880493,58.1938,4.17764,7.67224e+00
60,17,0.1,2.53764e-06,0.000571344,0.00019309,56.4766,4.3327,7.10683e+00
65,15,0.1,4.02858e-06,0.00115431,0.000377869,51.2108,4.29767,9.58375e+00
70,14,0.1,1.15249e-05,0.00279724,0.00051423,49.1096,4.51462,8.27610e+00
75,13,0.1,3.86632e-06,0.0016953,0.000384882,47.3062,5.93327,2.56757e+01
80,13,0.1
