sopt,0.1,5,,4.40402,9.57e+00,8.17879e-06,0.000874309,0.000125461
qdeim,0.1,5,,3.62779,8.92e+00,9.11095e-06,0.00118158,0.000591828
gnat,0.1,5,,5.45186,9.41e+00,1.00921e-05,0.000968594,0.000321644
sopt,0.1,10,,3.89554,9.50e+00,1.69723e-05,0.00123368,0.000700619
qdeim,0.1,10,,3.08277,7.16e+00,1.03398e-05,0.00102049,0.000191928
gnat,0.1,10,,2.81587,7.13e+00,1.28884e-05,0.00255558,0.000640256
sopt,0.1,15,,2.69107,6.21e+00,3.05591e-05,0.0031189,0.000521127
qdeim,0.1,15,,2.12093,5.68e+00,7.3977e-06,0.00108108,0.000307898
gnat,0.1,15,,2.46401,1.12e+01,4.14529e-06,0.00164518,0.000266618
sopt,0.1,20,,2.33758,6.25e+00,1.02838e-05,0.000718135,0.00070957
qdeim,0.1,20,,2.32606,6.23e+00,1.05616e-05,0.00105897,0.000597814
gnat,0.1,20,,2.33509,6.00e+00,1.18591e-05,0.00157362,0.000947561
sopt,0.1,25,,2.1529,5.28e+00,7.85874e-06,0.00124546,0.000260279
qdeim,0.1,25,,2.29377,5.13e+00,7.20384e-06,0.00120134,0.000121819
gnat,0.1,25,,2.03771,5.49e+00,7.46761e-06,0.000917483,0.000136314
sopt,0.1,30,,1.93506,6.72e+00,1.17486e-05,0.0010407,0.00123746
qdeim,0.1,30,,2.22838,5.00e+00,7.60536e-06,0.000761538,8.36682e-05
gnat,0.1,30,,2.12928,5.05e+00,9.87594e-06,0.00214878,0.000945638
sopt,0.1,35,,2.13699,4.97e+00,3.34212e-06,0.00107089,0.000202385
qdeim,0.1,35,,2.47637,4.81e+00,1.00643e-05,0.00227066,0.000692012
gnat,0.1,35,,2.03773,4.69e+00,7.31704e-06,0.00118676,0.000354164
sopt,0.1,40,,2.06737,5.13e+00,8.1323e-06,0.00130892,0.00017513
qdeim,0.1,40,,2.34663,4.60e+00,8.94793e-06,0.00088118,0.000327951
gnat,0.1,40,,2.2537,5.34e+00,3.18119e-05,0.00277403,0.000453982
sopt,0.1,45,,1.97796,4.46e+00,7.26091e-06,0.0021175,0.000834556
qdeim,0.1,45,,2.26608,4.34e+00,1.06886e-05,0.003557,0.000211556
gnat,0.1,45,,1.8324,4.43e+00,1.14424e-05,0.00150756,0.00120855
sopt,0.1,50,,2.00113,5.77e+00,2.78508e-05,0.00448405,0.00125241
qdeim,0.1,50,,2.25328,4.21e+00,7.48975e-06,0.000736814,0.000454379
gnat,0.1,50,,1.98042,5.10e+00,1.27005e-05,0.00173953,0.00101489
sopt,0.1,55,,2.07067,4.90e+00,8.00391e-06,0.000741341,0.000256146
qdeim,0.1,55,,2.40184,4.22e+00,8.06961e-06,0.00176096,0.000251077
gnat,0.1,55,,1.97725,4.07e+00,7.78295e-06,0.00192555,0.000379832
sopt,0.1,60,,2.20894,5.02e+00,7.60818e-06,0.000828442,0.00042727
qdeim,0.1,60,,2.28893,4.14e+00,8.99117e-06,0.000453745,0.000414805
gnat,0.1,60,,1.93102,4.32e+00,3.37482e-05,0.0034692,0.00050677
sopt,0.1,65,,2.08826,4.27e+00,1.17792e-05,0.0011183,0.000176432
qdeim,0.1,65,,2.38336,4.69e+00,1.20528e-05,0.00128894,0.00042563
gnat,0.1,65,,1.95882,4.90e+00,7.3458e-06,0.00283531,0.000380118
sopt,0.1,70,,2.15149,4.48e+00,9.44927e-06,0.0010899,0.000364971
qdeim,0.1,70,,2.92497,4.08e+00,2.72265e-05,0.00437424,0.000438418
gnat,0.1,70,,1.96069,3.94e+00,9.48232e-06,0.00149489,0.000401672
sopt,0.1,75,,1.95563,4.57e+00,7.868e-06,0.000692442,0.000230251
qdeim,0.1,75,,2.70286,3.83e+00,1.45329e-05,0.00255462,0.000568117
gnat,0.1,75,,1.9546,4.05e+00,1.1508e-05,0.00284462,0.000137276
