method,t,n,ef,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
clssopt,0.1,2,0.999,4,7,18,20,4.231927,2.223187,3.88894,0.00510699,0.166363,8.00074e-05
sopt,0.1,2,0.999,4,7,18,25,4.057387,2.582599,3.74244,0.005106,0.166346,8.12995e-05
clssopt,0.1,2,0.999,4,7,18,25,3.842757,2.565090,4.33646,0.00510682,0.166362,8.02824e-05
sopt,0.1,2,0.999,4,7,18,30,3.850502,1.932930,4.22052,0.00510615,0.166349,8.1292e-05
clssopt,0.1,2,0.999,4,7,18,30,3.623833,2.335231,4.70603,0.00510717,0.166365,8.02878e-05
sopt,0.1,2,0.999,4,7,18,35,3.826053,2.441833,4.72994,0.00510627,0.166347,8.13099e-05
clssopt,0.1,2,0.999,4,7,18,35,4.351747,1.929831,5.39841,0.00510711,0.166361,8.0282e-05
sopt,0.1,2,0.999,4,7,18,40,3.154783,2.456804,5.03298,0.00510621,0.166347,8.1314e-05
clssopt,0.1,2,0.999,4,7,18,40,3.930997,1.900369,5.37973,0.00510701,0.166356,8.02822e-05
sopt,0.1,2,0.999,4,7,18,45,3.301043,2.400710,5.50101,0.00510614,0.166348,8.13077e-05
clssopt,0.1,2,0.999,4,7,18,45,2.888864,2.175198,5.58732,0.00510706,0.166354,8.02823e-05
sopt,0.1,2,0.999,4,7,18,50,3.036751,2.046688,5.82926,0.00510611,0.166353,8.13214e-05
clssopt,0.1,2,0.999,4,7,18,50,2.919427,2.001755,5.9584,0.00510711,0.166357,8.02835e-05
sopt,0.1,2,0.999,4,7,18,55,2.975267,2.406443,6.19074,0.00510629,0.166352,8.13254e-05
clssopt,0.1,2,0.999,4,7,18,55,3.114871,2.346639,6.41779,0.00510691,0.166357,8.02923e-05
sopt,0.1,2,0.999,4,7,18,60,3.284565,1.986684,6.48674,0.00510627,0.166356,8.13232e-05
clssopt,0.1,2,0.999,4,7,18,60,2.716098,2.018770,6.85898,0.00510688,0.166355,8.02957e-05
sopt,0.1,2,0.999,4,7,18,65,2.959796,2.106139,6.78791,0.00510626,0.166355,8.13139e-05
clssopt,0.1,2,0.999,4,7,18,65,2.760854,1.912192,6.89138,0.0051067,0.166353,8.02982e-05
sopt,0.1,2,0.999,4,7,18,70,2.914034,2.035392,7.00351,0.00510632,0.166354,8.1318e-05
clssopt,0.1,2,0.999,4,7,18,70,2.891527,2.434535,7.13815,0.00510693,0.166357,8.03027e-05
sopt,0.1,2,0.999,4,7,18,75,2.509063,2.027796,7.12492,0.00510646,0.166355,8.13226e-05
clssopt,0.1,2,0.999,4,7,18,75,2.876621,2.036780,7.78679,0.00510657,0.166356,8.03053e-05
sopt,0.1,2,0.999,4,7,18,80,2.572917,2.050446,7.30653,0.00510644,0.166356,8.13215e-05
clssopt,0.1,2,0.999,4,7,18,80,2.937396,2.035874,7.51165,0.00510656,0.166355,8.03056e-05
sopt,0.1,2,0.999,4,7,18,85,2.693143,1.961599,7.73909,0.00510639,0.166358,8.1337e-05
clssopt,0.1,2,0.999,4,7,18,85,2.518567,1.949744,7.96073,0.00510657,0.166354,8.03091e-05
sopt,0.1,2,0.999,4,7,18,90,2.516482,1.759124,7.93359,0.00510636,0.166358,8.13535e-05
clssopt,0.1,2,0.999,4,7,18,90,2.630202,1.901692,8.23987,0.00510637,0.166353,8.04697e-05
sopt,0.1,2,0.999,4,7,18,95,2.683880,1.898992,8.27431,0.00510626,0.166358,8.13565e-05
clssopt,0.1,2,0.999,4,7,18,95,2.330659,1.805194,8.41898,0.00510629,0.166354,8.04378e-05
sopt,0.1,2,0.999,4,7,18,100,2.406094,1.878262,8.47786,0.00510636,0.166356,8.13766e-05
clssopt,0.1,2,0.999,4,7,18,100,2.385779,1.783082,8.62854,0.00510632,0.166357,8.03616e-05
sopt,0.1,2,0.999,4,7,18,105,2.615374,1.885723,8.79224,0.00510627,0.166356,8.13445e-05
clssopt,0.1,2,0.999,4,7,18,105,2.437660,1.702151,9.08349,0.00510629,0.166357,8.03451e-05
sopt,0.1,2,0.999,4,7,18,110,2.690122,1.824757,9.00206,0.00510622,0.166357,8.13444e-05
clssopt,0.1,2,0.999,4,7,18,110,2.312503,2.096559,9.36373,0.00510619,0.166357,8.0343e-05
sopt,0.1,2,0.999,4,7,18,115,2.363746,1.716296,9.1193,0.00510627,0.166357,8.13554e-05
clssopt,0.1,2,0.999,4,7,18,115,2.783745,1.857394,9.57797,0.00510612,0.166358,8.03459e-05
sopt,0.1,2,0.999,4,7,18,120,2.531177,1.733036,9.5259,0.00510599,0.166357,8.13548e-05
clssopt,0.1,2,0.999,4,7,18,120,2.434883,1.833801,10.084,0.00510604,0.166358,8.04411e-05
sopt,0.1,3,0.9999,4,14,25,5,15.848378,8.404159,2.91386,0.00510511,0.166343,8.15285e-05
clssopt,0.1,3,0.9999,4,14,25,5,15.837413,8.969706,3.29994,0.00510635,0.166373,8.10982e-05
sopt,0.1,3,0.9999,4,14,25,10,10.648829,5.033027,3.36089,0.00510564,0.166351,8.15842e-05
clssopt,0.1,3,0.9999,4,14,25,10,12.573716,7.848748,3.63421,0.00510686,0.166368,8.11706e-05
sopt,0.1,3,0.9999,4,14,25,15,10.347186,3.586259,3.79654,0.00510553,0.166349,8.15681e-05
clssopt,0.1,3,0.9999,4,14,25,15,8.062251,5.387368,3.91943,0.00510641,0.166368,8.12156e-05
sopt,0.1,3,0.9999,4,14,25,20,5.527386,3.885983,4.12096,0.00510557,0.166349,8.14369e-05
clssopt,0.1,3,0.9999,4,14,25,20,5.897955,3.863803,4.57349,0.00510614,0.166359,8.12249e-05
sopt,0.1,3,0.9999,4,14,25,25,5.291266,2.946776,4.50473,0.0051058,0.166344,8.14134e-05
clssopt,0.1,3,0.9999,4,14,25,25,4.619950,3.477429,4.84502,0.00510626,0.166355,8.12551e-05
sopt,0.1,3,0.9999,4,14,25,30,5.206361,3.348940,4.98676,0.00510569,0.166346,8.15134e-05
clssopt,0.1,3,0.9999,4,14,25,30,5.248708,3.405596,5.18882,0.00510598,0.166353,8.12684e-05
sopt,0.1,3,0.9999,4,14,25,35,4.682518,3.063958,5.41369,0.00510584,0.166345,8.15377e-05
clssopt,0.1,3,0.9999,4,14,25,35,5.429617,3.539103,5.55956,0.00510608,0.166353,8.12799e-05
sopt,0.1,3,0.9999,4,14,25,40,5.379593,2.849745,5.91632,0.00510593,0.166347,8.15161e-05
clssopt,0.1,3,0.9999,4,14,25,40,4.757580,3.222505,5.78331,0.00510617,0.166353,8.15246e-05
sopt,0.1,3,0.9999,4,14,25,45,5.750119,3.120942,6.15277,0.0051058,0.166349,8.1677e-05
clssopt,0.1,3,0.9999,4,14,25,45,4.375409,2.779001,7.80414,0.00510619,0.166351,8.14682e-05
sopt,0.1,3,0.9999,4,14,25,50,4.664045,2.939412,6.53231,0.00510593,0.16635,8.16874e-05
clssopt,0.1,3,0.9999,4,14,25,50,3.361266,2.913612,6.73024,0.0051063,0.166353,8.14812e-05
sopt,0.1,3,0.9999,4,14,25,55,4.214328,2.716203,6.90509,0.00510584,0.166349,8.16863e-05
clssopt,0.1,3,0.9999,4,14,25,55,3.910870,3.229313,6.74267,0.00510631,0.166353,8.15094e-05
sopt,0.1,3,0.9999,4,14,25,60,4.253812,2.213713,7.46986,0.00510596,0.166349,8.16693e-05
clssopt,0.1,3,0.9999,4,14,25,60,3.335717,2.811238,7.15663,0.00510646,0.166353,8.14694e-05
sopt,0.1,3,0.9999,4,14,25,65,4.555473,2.642680,7.47285,0.00510599,0.166349,8.16821e-05
clssopt,0.1,3,0.9999,4,14,25,65,3.742841,2.374302,7.55199,0.00510638,0.166353,8.14837e-05
sopt,0.1,3,0.9999,4,14,25,70,4.518408,2.906282,7.9041,0.00510597,0.166349,8.16801e-05
clssopt,0.1,3,0.9999,4,14,25,70,3.159594,2.481442,7.78524,0.00510626,0.166352,8.14929e-05
sopt,0.1,3,0.9999,4,14,25,75,4.077033,2.848173,8.1407,0.00510587,0.16635,8.16844e-05
clssopt,0.1,3,0.9999,4,14,25,75,3.365205,2.523807,8.13537,0.00510629,0.166353,8.15019e-05
sopt,0.1,3,0.9999,4,14,25,80,3.815838,2.925373,8.65547,0.00510581,0.166351,8.16789e-05
clssopt,0.1,3,0.9999,4,14,25,80,3.052112,2.660093,8.41413,0.00510631,0.166353,8.15096e-05
sopt,0.1,3,0.9999,4,14,25,85,3.741000,2.825700,8.7923,0.00510572,0.16635,8.18269e-05
clssopt,0.1,3,0.9999,4,14,25,85,2.896651,2.664146,8.65805,0.00510637,0.166352,8.15074e-05
