method,t,n,ef,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
clsqdeim,0.1,0,4,1,2,5,1.579146,1.000000,1.32494,3.30698e-05,0.00249642,1.63483e-05
clsgnat,0.1,0,4,1,2,5,1.639785,1.000000,1.19173,0.000713419,0.0303701,0.000552696
qdeim,0.1,0,4,1,2,5,1.290630,1.000000,1.17297,3.90057e-05,0.00181874,1.48993e-05
gnat,0.1,0,4,1,2,5,1.178775,1.000000,1.11693,4.27085e-05,0.0032464,4.83966e-05
clsqdeim,0.1,0,4,1,2,10,1.530065,1.000000,1.45606,3.43215e-05,0.00152674,3.24444e-05
clsgnat,0.1,0,4,1,2,10,1.295608,1.000000,1.31359,0.000524622,0.014346,0.000298195
qdeim,0.1,0,4,1,2,10,1.254885,1.000000,1.70068,3.23575e-05,0.00124817,1.01148e-05
gnat,0.1,0,4,1,2,10,1.001133,1.000000,1.25975,4.08934e-05,0.00291068,3.19645e-05
clsqdeim,0.1,0,4,1,2,15,1.534333,1.000000,1.65771,3.59981e-05,0.00149265,3.54483e-05
clsgnat,0.1,0,4,1,2,15,1.237768,1.000000,1.50409,0.000323413,0.00279066,9.39521e-05
qdeim,0.1,0,4,1,2,15,1.483087,1.000000,1.89092,3.63688e-05,0.00112981,1.18635e-05
gnat,0.1,0,4,1,2,15,2.484082,1.000000,1.62908,4.18131e-05,0.00314381,2.05268e-05
clsqdeim,0.1,0,4,1,2,20,1.367396,1.000000,1.7287,3.56597e-05,0.00137488,4.05293e-05
clsgnat,0.1,0,4,1,2,20,1.066316,1.000000,1.70883,0.000131884,0.0103819,2.22414e-05
qdeim,0.1,0,4,1,2,20,1.683108,1.000000,2.21509,4.05331e-05,0.00108299,2.31516e-05
gnat,0.1,0,4,1,2,20,1.180439,1.000000,1.77737,4.63983e-05,0.00394899,3.75498e-05
clsqdeim,0.1,0,4,1,2,25,1.039744,1.000000,2.04832,4.08696e-05,0.0021905,3.79204e-05
clsgnat,0.1,0,4,1,2,25,1.044727,1.000000,2.05059,8.70649e-05,0.0110487,3.80727e-05
