window,t,ws,w,q,TT3,TT4,ErrX,ErrV,ErrE
sopt,0.2,5,216,1,32.6053,2.23e+01,3.47158e-09,5.18777e-07,2.12609e-08
clssopt,0.2,5,216,1,35.9134,2.13e+01,0.000391615,0.000521534,1.12923e-07
qdeim,0.2,5,216,1,33.3249,2.21e+01,5.63023e-09,7.12489e-07,4.48052e-08
clsqdeim,0.2,5,216,1,36.6083,2.27e+01,8.40199e-06,0.00666374,0.00257527
sopt,0.2,5,216,2,30.2838,2.01e+01,0.000391615,0.000521355,1.12582e-07
clssopt,0.2,5,216,2,30.5741,2.03e+01,0.000391615,0.000521563,1.12704e-07
qdeim,0.2,5,216,2,33.8973,2.16e+01,4.72174e-09,7.07571e-07,4.06513e-08
clsqdeim,0.2,5,216,2,36.4726,2.18e+01,8.87612e-06,0.00651132,0.00261394
sopt,0.2,5,216,3,44.5409,2.19e+01,0.000391615,0.000521385,1.12798e-07
clssopt,0.2,5,216,3,32.7676,1.97e+01,0.000391615,0.000521561,1.1275e-07
qdeim,0.2,5,216,3,28.0693,2.05e+01,4.10458e-09,7.08375e-07,3.85323e-08
clsqdeim,0.2,5,216,3,35.1958,2.23e+01,3.97945e-06,0.0072016,0.00260984
sopt,0.2,5,216,4,29.386,1.95e+01,2.58423e-09,3.158e-07,1.99522e-08
clssopt,0.2,5,216,4,39.5932,2.16e+01,3.27079e-09,2.13203e-07,1.21041e-08
qdeim,0.2,5,216,4,33.5527,2.31e+01,3.4616e-09,7.28055e-07,3.88621e-08
clsqdeim,0.2,5,216,4,36.282,2.19e+01,9.57654e-06,0.00708318,0.00258396
sopt,0.2,5,216,5,38.2538,2.21e+01,0.000391614,0.000521461,1.12938e-07
clssopt,0.2,5,216,5,39.6668,2.17e+01,3.31097e-09,2.18897e-07,1.24228e-08
qdeim,0.2,5,216,5,32.8104,2.17e+01,3.74479e-09,6.78622e-07,3.85429e-08
clsqdeim,0.2,5,216,5,37.336,2.18e+01,7.66696e-06,0.00697267,0.00266556
