window,t,ws,w,q,TT3,TT4,ErrX,ErrV,ErrE
sopt,0.1,20,27,1,3.68432,4.73e+00,4.72951e-08,5.09316e-06,5.87669e-08
clssopt,0.1,20,27,1,4.47649,4.69e+00,5.12539e-07,8.5974e-05,1.80874e-06
qdeim,0.1,20,27,1,9.20364,8.33e+00,2.73483e-08,2.0115e-05,9.25804e-08
clsqdeim,0.1,20,27,1,5.0961,6.87e+00,0.000226473,0.0143245,0.00305
sopt,0.1,20,27,2,6.18116,1.08e+01,4.41376e-08,4.30007e-06,5.39953e-08
clssopt,0.1,20,27,2,6.84578,4.94e+00,6.15239e-07,0.000110684,2.09493e-06
qdeim,0.1,20,27,2,4.6496,7.75e+00,3.01147e-08,1.93466e-05,7.7998e-08
clsqdeim,0.1,20,27,2,5.47885,5.11e+00,0.000231102,0.014499,0.00302007
sopt,0.1,20,27,3,12.0138,1.88e+01,3.81586e-08,3.59926e-06,4.66419e-08
clssopt,0.1,20,27,3,5.13019,4.89e+00,7.28446e-07,0.000122066,2.73206e-06
qdeim,0.1,20,27,3,5.07554,5.04e+00,3.15117e-08,2.06941e-05,6.4255e-08
clsqdeim,0.1,20,27,3,6.1392,5.15e+00,0.000230817,0.0144401,0.00303389
sopt,0.1,20,27,4,5.12187,4.95e+00,3.68665e-08,3.33462e-06,4.43469e-08
clssopt,0.1,20,27,4,5.59588,6.06e+00,5.68126e-07,0.000102652,2.19683e-06
qdeim,0.1,20,27,4,4.89851,5.22e+00,2.83062e-08,2.11394e-05,6.78848e-08
clsqdeim,0.1,20,27,4,8.27246,4.77e+00,0.000226894,0.014314,0.00304009
sopt,0.1,20,27,5,4.51356,4.84e+00,2.89788e-08,4.80678e-06,5.24456e-08
clssopt,0.1,20,27,5,5.70034,4.72e+00,6.89288e-07,0.000124115,2.74085e-06
qdeim,0.1,20,27,5,4.95787,4.99e+00,2.42468e-08,2.28095e-05,8.01247e-08
clsqdeim,0.1,20,27,5,6.33089,4.77e+00,0.000227381,0.0144596,0.00303466
sopt,0.1,20,27,6,5.33974,8.46e+00,2.60864e-08,4.30694e-06,5.54119e-08
clssopt,0.1,20,27,6,5.90925,4.79e+00,5.59776e-07,8.44999e-05,2.06313e-06
qdeim,0.1,20,27,6,9.77054,5.02e+00,1.9968e-08,2.33691e-05,8.92785e-08
clsqdeim,0.1,20,27,6,5.46821,4.84e+00,0.00022998,0.0145367,0.00303309
sopt,0.1,20,27,7,5.69393,4.47e+00,3.01977e-08,4.33213e-06,5.84379e-08
clssopt,0.1,20,27,7,7.86439,4.94e+00,5.721e-07,8.71197e-05,2.08152e-06
qdeim,0.1,20,27,7,4.93405,6.27e+00,2.12524e-08,2.32909e-05,9.02984e-08
clsqdeim,0.1,20,27,7,5.32535,4.53e+00,0.00022826,0.014575,0.00303968
sopt,0.1,20,27,8,8.01478,4.78e+00,3.10783e-08,4.23042e-06,6.10646e-08
clssopt,0.1,20,27,8,10.8371,5.07e+00,5.8892e-07,9.55757e-05,2.11802e-06
qdeim,0.1,20,27,8,5.54508,4.83e+00,2.18244e-08,2.28228e-05,7.67537e-08
clsqdeim,0.1,20,27,8,5.45299,4.93e+00,0.000227225,0.0144902,0.00303429
sopt,0.1,20,27,9,6.20398,4.95e+00,3.22394e-08,4.17504e-06,6.23125e-08
clssopt,0.1,20,27,9,6.29686,4.97e+00,5.68053e-07,8.95557e-05,2.025e-06
qdeim,0.1,20,27,9,10.2096,4.84e+00,1.56289e-08,2.21939e-05,9.18305e-08
clsqdeim,0.1,20,27,9,7.19768,5.03e+00,0.000226013,0.0144663,0.0030468
sopt,0.1,20,27,10,6.59346,4.82e+00,3.26387e-08,4.11171e-06,6.0079e-08
clssopt,0.1,20,27,10,7.55999,4.85e+00,5.6964e-07,8.91256e-05,2.04492e-06
qdeim,0.1,20,27,10,6.81291,4.99e+00,1.37985e-08,2.17185e-05,9.33219e-08
clsqdeim,0.1,20,27,10,5.92359,4.74e+00,0.000226262,0.0145227,0.00304343
sopt,0.1,30,18,1,3.05985,4.15e+00,1.3815e-07,1.43594e-05,6.27365e-07
clssopt,0.1,30,18,1,3.24429,4.27e+00,1.8891e-06,0.000441969,1.33589e-05
qdeim,0.1,30,18,1,3.08825,4.17e+00,9.5649e-08,3.43207e-05,3.04814e-07
clsqdeim,0.1,30,18,1,3.56683,4.43e+00,0.00044853,0.0030577,0.00707388
sopt,0.1,30,18,2,3.67824,4.23e+00,1.20624e-07,1.06992e-05,5.35206e-07
clssopt,0.1,30,18,2,3.59584,4.60e+00,2.17775e-06,0.000483084,1.59734e-05
qdeim,0.1,30,18,2,3.33631,6.87e+00,9.28515e-08,3.4712e-05,2.85345e-07
clsqdeim,0.1,30,18,2,3.25694,4.74e+00,0.00045132,0.00306744,0.00707805
sopt,0.1,30,18,3,3.37539,4.18e+00,1.33701e-07,1.31626e-05,6.1372e-07
clssopt,0.1,30,18,3,3.52797,4.11e+00,3.42774e-06,0.000904797,3.14252e-05
qdeim,0.1,30,18,3,3.14856,3.91e+00,1.01209e-07,3.48539e-05,2.91352e-07
clsqdeim,0.1,30,18,3,3.64362,3.98e+00,0.000447397,0.0030522,0.00706741
sopt,0.1,30,18,4,5.07943,4.06e+00,9.94744e-08,1.47105e-05,4.50807e-07
clssopt,0.1,30,18,4,3.84544,4.05e+00,1.5589e-06,0.00036085,1.22949e-05
qdeim,0.1,30,18,4,7.18403,4.18e+00,9.18986e-08,3.31213e-05,2.47236e-07
clsqdeim,0.1,30,18,4,3.43345,4.20e+00,0.000451041,0.00304742,0.00706225
sopt,0.1,30,18,5,4.09504,5.08e+00,1.0346e-07,1.50394e-05,4.59331e-07
clssopt,0.1,30,18,5,4.09038,4.34e+00,1.5089e-06,0.000382751,1.30482e-05
qdeim,0.1,30,18,5,4.19232,4.06e+00,9.17706e-08,3.25158e-05,2.44213e-07
clsqdeim,0.1,30,18,5,3.56194,4.65e+00,0.000449893,0.00304417,0.00706696
sopt,0.1,30,18,6,4.15626,4.87e+00,9.62367e-08,1.60828e-05,4.1258e-07
clssopt,0.1,30,18,6,4.18585,4.06e+00,1.28235e-06,0.000331275,1.12213e-05
qdeim,0.1,30,18,6,3.06277,3.95e+00,8.57254e-08,3.24494e-05,2.31211e-07
clsqdeim,0.1,30,18,6,3.67823,4.24e+00,0.00044823,0.00304367,0.0070595
sopt,0.1,30,18,7,3.97819,4.38e+00,8.79588e-08,1.68391e-05,3.8607e-07
clssopt,0.1,30,18,7,5.16226,4.30e+00,1.22242e-06,0.000322361,1.08269e-05
qdeim,0.1,30,18,7,4.32654,4.23e+00,8.39457e-08,3.26477e-05,2.1991e-07
clsqdeim,0.1,30,18,7,8.72534,5.00e+00,0.00044683,0.00303507,0.00705784
sopt,0.1,30,18,8,4.09936,4.15e+00,8.49e-08,1.64773e-05,3.65171e-07
