method,t,n,ef,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
clssopt,0.1,2,0.999,10,22,52,90,6.141244,3.594022,1.39267,3.56689e-05,0.0128757,0.00174853
clssopt,0.1,2,0.999,10,22,52,95,5.484626,3.265214,1.46523,6.42762e-05,0.0217908,0.00274247
clssopt,0.1,2,0.999,10,22,52,100,5.987670,3.866586,1.99332,6.66158e-05,0.0226404,0.00274367
clsqdeim,0.1,2,0.999,10,22,52,5,60.884948,18.220573,,0.0481849,3.79739,0.645355
clsqdeim,0.1,2,0.999,10,22,52,10,44.174450,16.020254,,0.0467934,4.0811,0.441876
clsqdeim,0.1,2,0.999,10,22,52,15,31.511905,15.860664,,0.0528348,2.43636,0.272059
clsqdeim,0.1,2,0.999,10,22,52,20,28.135043,12.194228,,0.0421118,2.03356,0.166534
clsqdeim,0.1,2,0.999,10,22,52,25,30.513855,12.456380,,0.0352495,6.60732,2.36524
clsqdeim,0.1,2,0.999,10,22,52,30,27.337821,13.320571,,0.0337534,2.97511,0.252678
clsqdeim,0.1,2,0.999,10,22,52,35,29.153732,7.179678,,0.0185563,2.60586,0.21005
clsqdeim,0.1,2,0.999,10,22,52,40,23.624551,6.858151,,0.0252098,2.3145,0.176131
clsqdeim,0.1,2,0.999,10,22,52,45,20.404713,5.712988,,0.0242204,2.01648,0.140519
clsqdeim,0.1,2,0.999,10,22,52,50,21.515477,5.455526,,0.0217389,1.96533,0.124176
clsqdeim,0.1,2,0.999,10,22,52,55,20.695123,6.801465,,0.024172,2.31876,0.194293
clsqdeim,0.1,2,0.999,10,22,52,60,20.418010,4.568643,,0.0205868,2.16804,0.180263
clsqdeim,0.1,2,0.999,10,22,52,65,26.854103,4.740230,,0.0198559,2.48258,0.558521
clsqdeim,0.1,2,0.999,10,22,52,70,19.265986,4.421267,,0.0136349,3.08888,0.749571
clsqdeim,0.1,2,0.999,10,22,52,75,18.003914,4.393518,,0.0144879,2.81235,0.593611
clsqdeim,0.1,2,0.999,10,22,52,80,19.059403,4.275887,,0.00909896,3.14195,0.639197
clsqdeim,0.1,2,0.999,10,22,52,85,16.320182,3.610407,,0.00804702,32.394,1.10059
clsqdeim,0.1,2,0.999,10,22,52,90,17.357062,3.290125,,0.0135404,2.91227,0.515628
clsqdeim,0.1,2,0.999,10,22,52,95,17.040445,3.792032,,0.00925133,2.42886,0.334097
clsqdeim,0.1,2,0.999,10,22,52,100,15.999913,3.329861,,0.00512554,1.27585,0.103511
clssopt,0.1,3,0.9999,10,32,72,5,43.684508,21.013609,,0.0611997,3.15768,0.503339
clssopt,0.1,3,0.9999,10,32,72,10,36.643651,26.645479,,0.0553802,1.95498,0.179003
clssopt,0.1,3,0.9999,10,32,72,15,20.869343,10.444834,,0.0458421,2.58292,0.40427
clssopt,0.1,3,0.9999,10,32,72,20,17.056939,12.541595,,0.0220742,0.791002,0.0831834
clssopt,0.1,3,0.9999,10,32,72,25,12.821139,8.892396,,0.0161956,3.12732,0.45529
clssopt,0.1,3,0.9999,10,32,72,30,12.151248,9.942016,4.21555,0.00165147,0.576013,0.0528924
