clssopt,0.05,14,18,6,10,1.549330,5.612430,1.17719,0.0111522,0.951831,1.07607
clsqdeim,0.05,14,18,6,10,4.759411,10.610564,1.50866,0.00018996,0.0944459,0.0020757
clssopt,0.05,14,18,6,20,2.152590,554.972331,1.81083,0.0111522,0.951831,1.07607
clsqdeim,0.05,14,18,6,20,3.520187,6.338331,1.82758,0.000366139,0.0507461,0.0108775
clssopt,0.05,14,18,6,30,1.235642,3.695448,2.33894,0.0111522,0.951831,1.07607
clsqdeim,0.05,14,18,6,30,2.971388,6.930947,1.94647,0.000236749,0.0521057,0.00481781
clssopt,0.05,14,18,6,40,1.682403,8.649979,3.41801,0.0111522,0.951831,1.07607
clsqdeim,0.05,14,18,6,40,1.804449,3.596689,9.66564,0.00832628,1.58382,0.931276
clssopt,0.05,14,18,6,50,3.150323,307.969254,4.35473,0.0111522,0.951831,1.07607
clsqdeim,0.05,14,18,6,50,1.931435,3.414842,2.31883,0.00304083,0.735767,0.127439
clssopt,0.05,14,18,6,60,1.000000,2.825169,4.9604,0.0111522,0.951831,1.07607
clsqdeim,0.05,14,18,6,60,2.830143,3.957298,2.84122,0.00303598,0.726108,0.126166
clssopt,0.05,14,18,6,70,1.000000,2.892882,5.71227,0.0111522,0.951831,1.07607
clsqdeim,0.05,14,18,6,70,1.730416,2.691037,3.37568,0.000749173,0.547715,0.027853
clssopt,0.05,14,18,6,80,1.000000,4.093978,6.63744,0.0111522,0.951831,1.07607
clsqdeim,0.05,14,18,6,80,1.772728,2.254092,2.87645,0.000439886,0.0838532,0.0157127
clssopt,0.05,14,18,6,90,1.000000,4.154774,7.63057,0.0111522,0.951831,1.07607
clsqdeim,0.05,14,18,6,90,2.472376,6.538973,2.97738,0.00031344,0.0611241,0.0109206
clssopt,0.05,14,18,6,100,1.000000,3.576526,8.93975,0.0111522,0.951831,1.07607
clsqdeim,0.05,14,18,6,100,1.433873,2.311105,3.40963,0.00026493,0.0624364,0.00849596
clssopt,0.05,14,34,10,10,7.522317,13.468152,2.0684,0.0113487,0.0905192,0.0436288
clsqdeim,0.05,14,34,10,10,4.817533,9.007111,1.59388,0.000303257,0.0817675,0.00891625
clssopt,0.05,14,34,10,20,4.766482,6.736087,2.08995,0.0113579,0.0567822,0.0226079
clsqdeim,0.05,14,34,10,20,4.286119,7.305767,2.02823,0.000209913,0.376079,0.00803261
clssopt,0.05,14,34,10,30,3.385189,6.106135,5.1649,0.0113725,1.00189,1.48694
clsqdeim,0.05,14,34,10,30,2.707319,7.271271,2.02355,4.17928e-05,0.0167265,0.000585424
clssopt,0.05,14,34,10,40,1.963893,86.239877,3.87801,0.011358,0.0557626,0.0222838
clsqdeim,0.05,14,34,10,40,2.582951,6.106460,2.61247,0.000129394,0.0486978,0.00219416
clssopt,0.05,14,34,10,50,2.550374,5.036388,4.81748,0.011358,0.0557454,0.0222841
clsqdeim,0.05,14,34,10,50,3.224747,5.156671,2.76046,5.63672e-05,0.0241084,0.00191674
clssopt,0.05,14,34,10,60,1.838429,4.228747,6.09993,0.011358,0.0557454,0.0222841
clsqdeim,0.05,14,34,10,60,3.456801,5.058488,3.51827,0.000427412,1.0176,0.0285615
clssopt,0.05,14,34,10,70,1.345720,3.326203,7.51667,0.011358,0.0557454,0.0222841
clsqdeim,0.05,14,34,10,70,2.811944,4.670389,8.74578,0.000962594,2.22711,0.114015
clssopt,0.05,14,34,10,80,1.393408,6.516741,8.66379,0.011358,0.0557454,0.0222841
clsqdeim,0.05,14,34,10,80,2.506793,4.808491,4.58624,0.000456284,0.811276,0.0285534
clssopt,0.05,14,34,10,90,1.710129,44.256797,9.57546,0.011358,0.0557753,0.0222842
clsqdeim,0.05,14,34,10,90,2.626910,4.104887,4.2493,0.000272975,0.323339,0.0154356
clssopt,0.05,14,34,10,100,2.656721,7561.178253,11.3087,0.011358,0.0557753,0.0222842
clsqdeim,0.05,14,34,10,100,2.439126,5.491708,4.37022,0.000228709,0.0612048,0.0125971
clssopt,0.05,14,53,17,10,6.605953,17.253784,1.50985,2.42129e-05,0.00475233,0.00101118
clsqdeim,0.05,14,53,17,10,6.232034,16.062471,1.92228,0.00022375,0.0206937,0.00451943
clssopt,0.05,14,53,17,20,4.353150,17.036467,2.21118,1.85243e-05,0.00198119,0.00127255
clsqdeim,0.05,14,53,17,20,4.618464,13.040642,3.13283,0.000285081,0.0265702,0.00573128
clssopt,0.05,14,53,17,30,4.482362,8.579531,2.24661,2.35517e-05,0.00298185,0.000948568
