method,t,ef,ws,w,q,nqp,TT3,ErrX,ErrV,ErrE
sopt,0.1,0.9999,20,49,2,832,1344,1344,1216,1344,1536,1408,1344,1920,1280,1280,1088,1344,1216,832,1088,1152,832,1024,1216,1024,1216,704,576,1152,832,896,960,704,704,832,768,640,704,896,896,704,832,832,768,640,1088,1024,768,896,768,576,576,384,8.70545,0.00178665,0.0285048,0.00342699
qdeim,0.1,0.9999,20,49,2,832,2112,1216,1216,1152,1152,1280,1152,1536,1728,960,1152,1088,1920,768,1280,896,640,768,640,1088,960,960,832,1216,832,768,832,832,640,960,576,832,704,832,1280,1024,640,704,1024,704,1152,960,768,832,704,768,768,512,4.93821,0.00192829,0.0345209,0.00359801
gnat,0.1,0.9999,20,49,2,576,1408,1280,1280,1408,1152,1344,1152,1216,960,1152,896,1280,896,960,960,1024,896,768,832,960,896,640,640,640,832,768,896,768,768,640,640,704,640,640,704,832,640,704,704,576,832,896,832,768,512,832,640,384,6.17771,0.00217151,0.0312126,0.0023379
sopt,0.1,0.9999,20,49,3,832,1536,1536,1792,1600,1600,1408,1408,3008,1472,1472,1408,2240,1280,1024,1344,1216,1088,1792,1472,1152,1600,832,1024,1792,896,1216,960,896,832,1088,768,832,960,1152,1216,768,960,1024,896,832,1344,1152,896,1024,768,704,576,448,5.58386,0.00104018,0.024004,0.00272926
qdeim,0.1,0.9999,20,49,3,1344,2240,1344,1344,1856,1344,1344,1216,1728,2176,1152,1472,1088,2112,1472,1344,896,704,1408,768,1216,1088,960,1408,1472,832,896,832,1216,640,1216,576,960,768,960,1280,1280,640,1024,1152,896,1344,1024,1088,896,704,768,832,512,6.64231,0.00131371,0.0315095,0.00349876
gnat,0.1,0.9999,20,49,3,832,1536,1600,1472,1664,1472,1472,1280,1280,1088,1344,896,1472,1024,1088,1088,1216,1024,832,1024,1088,1024,704,768,704,896,896,1088,896,896,832,704,832,640,640,832,1024,704,832,768,640,1024,960,896,832,640,896,704,448,4.45662,0.00145664,0.025874,0.00252787
sopt,0.1,0.9999,20,49,4,832,1536,1728,1984,1600,1664,1408,1536,3136,1600,1600,1536,2368,1472,1280,1344,1408,1152,2112,1728,1408,1920,1152,1280,1856,960,1536,960,1088,1024,1344,768,1024,1152,1280,1408,768,1472,1152,1024,832,1344,1280,1088,1088,896,896,640,448,4.90642,0.00074628,0.0213422,0.00203257
qdeim,0.1,0.9999,20,49,4,1472,2304,1344,1344,2048,1408,1472,1216,1792,2176,1280,1984,1280,2112,1472,1408,1216,768,1536,1152,1216,1344,960,1664,1472,1472,896,896,1600,640,1280,576,1408,768,1280,1472,1280,640,1216,1152,1088,1408,1024,1088,1088,704,832,832,512,4.58118,0.00105915,0.0283526,0.00289961
gnat,0.1,0.9999,20,49,4,1024,1728,1792,1536,1536,1536,1536,1344,1600,1344,1728,1216,1472,1216,1152,1600,1344,1088,832,1216,1472,1280,960,704,832,960,832,1152,1024,960,896,832,960,896,768,960,1216,960,960,1344,768,1280,1088,1024,896,768,704,704,448,5.5118,0.000940841,0.0193798,0.00247576
sopt,0.1,0.9999,20,49,5,832,1600,1856,2112,2176,1664,1792,1536,3136,1600,1600,1664,2368,1472,1536,1344,1472,1344,2240,1792,1536,2176,1152,1536,1856,1472,1856,1280,1472,1088,1536,768,1280,1216,1344,1472,768,1600,1344,1408,1152,1344,1280,1280,1088,1024,960,1088,512,5.10196,0.00054083,0.0152769,0.00143676
qdeim,0.1,0.9999,20,49,5,1792,2304,1792,1408,2112,1856,1600,1216,1792,2176,1280,2432,1728,2240,1472,1536,1280,1024,1792,1152,1216,1344,1280,1664,1472,1536,896,896,2112,640,1280,1280,1472,832,1408,1472,1600,640,1472,1152,1088,1408,1088,1088,1088,768,1024,832,512,4.83054,0.000807958,0.0247366,0.00217059
gnat,0.1,0.9999,20,49,5,1216,1792,1920,1600,1664,1600,1600,1408,1856,1536,1792,1408,1472,1280,1280,1536,1472,1280,960,1472,1280,1472,1024,768,1024,1024,960,1216,1088,1152,960,1408,1088,960,896,1024,1344,1024,1152,1344,832,1472,1088,832,960,832,1024,704,448,4.09346,0.000778205,0.0123949,0.00212301
sopt,0.1,0.9999,20,49,6,896,1792,1984,2112,2496,1792,1920,1728,3136,1600,1728,1664,2432,1536,1664,1472,1536,1536,2432,1984,1536,2368,1152,1728,1856,1472,1856,1536,1664,1280,1600,768,1536,1216,1408,1920,896,1664,1472,1408,1472,1344,1408,1408,1088,1088,1024,1088,704,5.09187,0.000401575,0.0117878,0.00111005
qdeim,0.1,0.9999,20,49,6,2304,2304,2304,1408,2240,1920,1984,1216,1856,2240,1280,2496,1856,2944,1472,1792,1472,1088,1856,1152,1216,1344,1664,1728,1728,1792,896,896,2304,640,1408,1280,1472,1088,1408,1472,1728,768,1664,1216,1088,1408,1088,1280,1088,896,1088,1088,512,11.6767,0.00068846,0.0217813,0.001853
gnat,0.1,0.9999,20,49,6,1408,1856,2048,1664,1856,1472,1664,1472,2240,1664,1856,1472,2048,1280,1664,1856,1984,1536,1088,1600,1664,1600,1088,832,1344,1088,1088,1280,1216,1280,1024,1472,1216,1024,1152,1088,1408,1088,1088,1280,896,1472,1088,960,1024,1088,1088,704,448,4.7514,0.000643014,0.0113166,0.00167973
sopt,0.1,0.9999,20,49,7,1152,2176,1984,2176,2496,1856,2240,2112,3136,1664,2304,1664,2496,1984,1792,2496,1792,1728,2496,2176,1536,2432,1152,1792,1856,1472,2496,1536,1984,1408,1856,1280,1536,1280,1408,1920,1088,1664,1536,1472,1536,1344,1472,1600,1280,1088,1088,1280,704,10.1414,0.000252582,0.00858879,0.000689642
