sopt,0.1,0.9999,40,25,2,832,1600,1408,1408,1728,1664,1472,1472,1088,832,1024,832,1472,960,960,704,640,1088,704,1024,832,1344,832,832,576,4.27493,0.00120093,0.0223073,0.00360803
qdeim,0.1,0.9999,40,25,2,832,1280,1728,1856,3200,1152,2816,1856,1216,1344,960,896,1088,832,704,704,640,1024,832,704,1024,1344,1152,768,896,4.47896,0.0011873,0.0196277,0.00393608
gnat,0.1,0.9999,40,25,2,576,1664,1536,1280,1344,1344,1216,1152,1216,832,960,832,1088,896,896,768,768,832,960,768,768,1216,896,768,576,7.04481,0.00129363,0.0339498,0.00579847
sopt,0.1,0.9999,40,25,3,832,1664,1472,1600,1984,1856,1600,1536,1280,1024,1216,1152,1856,1344,1088,768,640,1344,768,1216,960,1536,1024,896,640,3.9891,0.000884515,0.0176735,0.0028123
qdeim,0.1,0.9999,40,25,3,1344,2176,1920,1920,3392,2240,2816,2560,1280,1984,960,1024,1280,832,1280,704,640,1152,896,832,1088,1472,1152,768,896,4.29661,0.000753523,0.010633,0.00283588
gnat,0.1,0.9999,40,25,3,832,1856,1664,1408,1472,1472,1280,1280,1472,896,1088,896,1280,896,896,896,896,896,1216,832,832,1280,960,832,640,5.4941,0.00092371,0.0229004,0.00266228
sopt,0.1,0.9999,40,25,4,832,1856,2240,1728,2304,1920,1600,1536,1472,1216,1408,1408,2176,1600,1216,1024,832,1408,896,1408,1152,1536,1088,896,704,4.15469,0.000538645,0.0118223,0.0017464
qdeim,0.1,0.9999,40,25,4,1472,2816,1920,2304,3456,2560,3008,2688,1280,2240,1088,1216,1408,1024,1280,768,896,1408,960,896,1280,1536,1152,768,1088,4.5165,0.000345432,0.00637114,0.00171878
gnat,0.1,0.9999,40,25,4,1024,1792,1792,1536,1536,1536,1472,1216,1600,1088,1216,960,1408,960,960,960,1024,960,896,960,960,1280,1088,960,704,3.77666,0.000691494,0.0122571,0.00278152
sopt,0.1,0.9999,40,25,5,832,1920,2304,1984,2496,2048,2624,1728,1600,1344,1472,1856,2304,1856,1472,1280,1088,1472,1088,1536,1408,1664,1088,960,1088,4.28226,0.000357595,0.00886373,0.000778815
qdeim,0.1,0.9999,40,25,5,1792,3072,1920,2624,3712,2560,3200,2752,1280,2688,1216,1216,1408,1408,1280,768,896,1728,1216,1152,1344,1792,1280,768,1088,4.47611,0.000248859,0.00496471,0.00133091
gnat,0.1,0.9999,40,25,5,1216,2240,1920,1600,1920,1600,1536,1344,1664,1344,1600,1216,1536,1088,1024,1024,1152,1472,960,1024,1152,1408,1024,1024,704,5.12286,0.00043951,0.0106189,0.00186162
sopt,0.1,0.9999,40,25,6,896,2240,2496,2624,2624,2048,2624,2048,1664,1664,1536,2048,2432,1856,1472,1408,1152,1664,1216,1728,1472,1664,1280,1088,1088,4.54425,0.000139407,0.00437335,0.000461828
qdeim,0.1,0.9999,40,25,6,2304,3648,1920,2816,3776,2560,3392,2752,1536,2816,1280,1408,1536,1472,1280,768,896,2048,1344,1152,1472,1856,1472,768,1088,4.99322,0.000240004,0.00500803,0.00107484
gnat,0.1,0.9999,40,25,6,1408,2240,2048,1664,2048,1856,1664,1472,1856,1472,1280,1408,1664,1088,1216,1280,1088,1472,1088,1344,1280,1472,1088,1088,704,3.7759,0.000344709,0.00975619,0.0013439
sopt,0.1,0.9999,40,25,7,1152,2368,2496,2688,2688,2176,2624,2432,1984,2112,1664,2048,2624,1856,1664,1408,1280,1856,1472,1728,1792,1664,1472,1280,1088,4.74763,9.78439e-05,0.00250875,0.000337147
qdeim,0.1,0.9999,40,25,7,2368,3648,1920,3008,3904,2752,3648,2752,1600,2816,1344,1536,1856,1472,1280,768,1024,2112,1344,1152,1664,1856,1472,768,1088,41.9502,0.000183978,0.00328883,0.000862614
gnat,0.1,0.9999,40,25,7,1664,2240,2048,1984,2176,1728,1792,1664,1920,1536,1536,1472,1664,1408,1344,1408,1152,1536,1216,1728,1600,1472,1152,1088,704,4.07287,0.000246672,0.00816435,0.000962518
sopt,0.1,0.9999,40,25,8,1216,2496,2496,2752,2816,2432,3328,2432,2176,2176,1856,2240,2624,2048,1728,1600,1280,2240,1920,2304,1856,2048,1472,1280,1280,5.06895,6.076e-05,0.00167056,0.000263654
qdeim,0.1,0.9999,40,25,8,2688,3648,2240,3584,3904,2816,3776,2752,1664,3072,1856,1536,1856,2176,1408,1152,1088,2176,1472,1152,1728,1856,1472,832,1088,5.38272,0.000142925,0.0031551,0.00049087
gnat,0.1,0.9999,40,25,8,1984,2240,1920,2112,2048,1920,1920,1728,1984,1600,1664,1408,1664,1536,1408,1408,1216,1792,1344,1792,1664,1472,1152,1088,704,4.25937,0.000276931,0.00947831,0.000874458
sopt,0.1,0.9999,40,25,9,1216,2560,2496,2816,3136,3200,4352,3072,2240,2368,2112,2304,2752,2304,1728,1600,2816,3008,2432,2880,1920,2240,1536,1280,1472,5.72117,4.04007e-05,0.000613579,0.000184255
qdeim,0.1,0.9999,40,25,9,2880,3648,2432,3904,3904,2880,3840,2752,1664,3072,1984,1536,1856,2624,1408,1152,1600,2304,1664,1152,1856,1856,1472,1088,1088,5.21656,0.000131956,0.00327102,0.000378764
gnat,0.1,0.9999,40,25,9,2176,2240,2048,2240,2240,2240,2048,2048,2240,1664,1664,1664,1664,1856,1664,1472,1408,1856,1472,1856,1600,1472,1408,1088,704,4.83849,0.000209601,0.00679097,0.000541726
