method,pv,pe,t,n,ef,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
qdeim,1,1,0.1,4,0.99999,10,54,90,30,34.273330,15.627439,,0.0266454,3.94477,0.693503
sopt,1,1,0.1,4,0.99999,10,54,90,30,19.620942,13.496090,1.72846,0.00153104,0.584822,0.0716134
clsqdeim,0.25,0.1,0.1,4,0.99999,10,54,90,30,58.925765,31.471445,,0.0616742,4.34929,1.21681
clssopt,0.25,0.1,0.1,4,0.99999,10,54,90,30,22.329972,11.366026,1.72664,0.00153573,0.837303,0.0902846
thqdeim,0.25,0.1,0.1,4,0.99999,10,54,90,30,29.014637,18.931775,,0.0414202,1.92384,0.238004
thsopt,0.25,0.1,0.1,4,0.99999,10,54,90,30,21.853323,12.096574,1.7111,0.00165676,0.630646,0.0765611
qdeim,1,1,0.1,4,0.99999,10,54,90,35,24.079325,12.359945,,0.0285167,4.39399,0.949123
sopt,1,1,0.1,4,0.99999,10,54,90,35,23.074645,8.489197,1.53208,0.000233501,0.0512011,0.00765522
clsqdeim,0.25,0.1,0.1,4,0.99999,10,54,90,35,39.918054,28.806919,,0.064029,3.07467,0.517406
clssopt,0.25,0.1,0.1,4,0.99999,10,54,90,35,16.109392,9.508270,,0.0250989,0.92518,0.109369
thqdeim,0.25,0.1,0.1,4,0.99999,10,54,90,35,22.347162,17.077862,,0.0324512,3.36975,0.314457
thsopt,0.25,0.1,0.1,4,0.99999,10,54,90,35,19.783619,9.831120,1.55377,0.000238462,0.0508766,0.00759559
qdeim,1,1,0.1,4,0.99999,10,54,90,40,18.705924,14.345115,,0.0347066,3.04885,0.286992
sopt,1,1,0.1,4,0.99999,10,54,90,40,12.422098,7.570951,1.65131,0.000291152,0.0580726,0.0081247
clsqdeim,0.25,0.1,0.1,4,0.99999,10,54,90,40,35.677834,23.796046,,0.0583272,4.79193,1.19881
clssopt,0.25,0.1,0.1,4,0.99999,10,54,90,40,14.112069,7.982863,,0.0197498,1.09362,0.145004
thqdeim,0.25,0.1,0.1,4,0.99999,10,54,90,40,25.239747,15.402016,,0.0278447,6.50701,1.4596
thsopt,0.25,0.1,0.1,4,0.99999,10,54,90,40,16.426123,8.416860,1.6259,0.000307163,0.0626223,0.00840754
qdeim,1,1,0.1,4,0.99999,10,54,90,45,21.498572,16.259343,,0.0069204,2.29427,0.231722
sopt,1,1,0.1,4,0.99999,10,54,90,45,13.176681,9.276794,1.75836,0.000339509,0.0944695,0.0105789
clsqdeim,0.25,0.1,0.1,4,0.99999,10,54,90,45,81.976503,28.658655,,0.0541463,3.47847,0.647454
clssopt,0.25,0.1,0.1,4,0.99999,10,54,90,45,14.510657,9.757955,,0.0113194,2.05425,0.259006
thqdeim,0.25,0.1,0.1,4,0.99999,10,54,90,45,32.446089,17.283409,,0.025145,5.8289,1.17765
thsopt,0.25,0.1,0.1,4,0.99999,10,54,90,45,14.450978,9.590439,1.57968,0.000347417,0.0978518,0.0110882
qdeim,1,1,0.1,4,0.99999,10,54,90,50,19.390255,11.354441,,0.00765342,1.96984,0.231977
sopt,1,1,0.1,4,0.99999,10,54,90,50,12.264064,7.213859,1.75931,6.64632e-05,0.00918571,0.00136971
clsqdeim,0.25,0.1,0.1,4,0.99999,10,54,90,50,37.657994,21.091266,,0.0608011,2.99024,0.65418
clssopt,0.25,0.1,0.1,4,0.99999,10,54,90,50,12.483927,6.715583,,0.00663935,2.30285,0.345795
thqdeim,0.25,0.1,0.1,4,0.99999,10,54,90,50,20.145073,12.683570,1.6675,0.000282019,0.140325,0.0151367
thsopt,0.25,0.1,0.1,4,0.99999,10,54,90,50,11.677449,6.774254,1.58864,6.82344e-05,0.00938872,0.00139138
qdeim,1,1,0.1,5,0.999999,10,73,110,5,112.087753,41.880121,,0.0598111,24.8642,27.1668
sopt,1,1,0.1,5,0.999999,10,73,110,5,79.527169,55.093725,,0.0711254,2.35895,0.225106
clsqdeim,0.25,0.1,0.1,5,0.999999,10,73,110,5,108.600041,72.061890,,0.0759943,6.44807,3.24013
clssopt,0.25,0.1,0.1,5,0.999999,10,73,110,5,65.865762,51.753970,,0.0633538,2.84967,0.575982
thqdeim,0.25,0.1,0.1,5,0.999999,10,73,110,5,73.372672,67.463402,,0.0598344,20.872,19.828
thsopt,0.25,0.1,0.1,5,0.999999,10,73,110,5,79.327768,48.981456,,0.0711731,2.35972,0.22111
qdeim,1,1,0.1,5,0.999999,10,73,110,10,43.891235,22.329854,,0.0480578,12.3364,2.01397
sopt,1,1,0.1,5,0.999999,10,73,110,10,44.095124,27.340810,,0.042568,4.76756,0.644468
clsqdeim,0.25,0.1,0.1,5,0.999999,10,73,110,10,69.431768,58.593125,,0.0727191,3.24816,0.468484
clssopt,0.25,0.1,0.1,5,0.999999,10,73,110,10,44.104329,26.016700,,0.0523573,2.05879,0.297051
thqdeim,0.25,0.1,0.1,5,0.999999,10,73,110,10,53.102705,30.340463,,0.0481987,9.12853,1.67257
thsopt,0.25,0.1,0.1,5,0.999999,10,73,110,10,48.915097,28.041045,,0.0426864,4.14761,0.571964
qdeim,1,1,0.1,5,0.999999,10,73,110,15,41.654213,29.338669,,0.0427672,2.50747,0.336866
sopt,1,1,0.1,5,0.999999,10,73,110,15,37.793717,20.828139,,0.0355804,1.61049,0.169132
clsqdeim,0.25,0.1,0.1,5,0.999999,10,73,110,15,89.096200,55.940091,,0.0653804,118.561,295.163
clssopt,0.25,0.1,0.1,5,0.999999,10,73,110,15,32.582035,22.206342,,0.0472041,6.26807,0.801547
thqdeim,0.25,0.1,0.1,5,0.999999,10,73,110,15,38.696180,25.013658,,0.0425218,2.79336,0.409933
thsopt,0.25,0.1,0.1,5,0.999999,10,73,110,15,47.481084,20.370465,,0.0354603,1.66204,0.174326
qdeim,1,1,0.1,5,0.999999,10,73,110,20,34.902741,18.488623,,0.0364547,2.89933,0.261334
sopt,1,1,0.1,5,0.999999,10,73,110,20,38.508073,16.310619,,0.0369851,1.94375,0.121886
clsqdeim,0.25,0.1,0.1,5,0.999999,10,73,110,20,69.561385,47.051777,,0.0716835,53.5132,185.287
clssopt,0.25,0.1,0.1,5,0.999999,10,73,110,20,31.909451,16.436378,,0.0483254,1.53526,0.216792
thqdeim,0.25,0.1,0.1,5,0.999999,10,73,110,20,46.381602,20.574256,,0.033354,8.56676,3.92792
thsopt,0.25,0.1,0.1,5,0.999999,10,73,110,20,24.389794,16.996270,,0.0369929,2.05546,0.122464
qdeim,1,1,0.1,5,0.999999,10,73,110,25,21.821198,23.588308,,0.035831,2.0542,0.226297
sopt,1,1,0.1,5,0.999999,10,73,110,25,23.979397,14.183896,,0.039585,5.35756,0.281895
clsqdeim,0.25,0.1,0.1,5,0.999999,10,73,110,25,61.058120,45.873321,,0.066199,6.2741,2.31119
clssopt,0.25,0.1,0.1,5,0.999999,10,73,110,25,20.581204,13.594143,,0.0188619,3.93345,3.08804
thqdeim,0.25,0.1,0.1,5,0.999999,10,73,110,25,33.577840,18.097153,,0.0271712,2.76609,0.500246
thsopt,0.25,0.1,0.1,5,0.999999,10,73,110,25,24.242807,14.327257,,0.0393373,4.3017,0.309298
qdeim,1,1,0.1,5,0.999999,10,73,110,30,26.855512,16.932326,,0.0392935,3.25034,12.1745
sopt,1,1,0.1,5,0.999999,10,73,110,30,20.784517,14.500180,,0.0219654,5.83512,1.14883
clsqdeim,0.25,0.1,0.1,5,0.999999,10,73,110,30,82.339529,36.422118,,0.0639113,3.18983,0.588927
clssopt,0.25,0.1,0.1,5,0.999999,10,73,110,30,16.262840,12.512215,,0.0264228,2.0838,0.221624
thqdeim,0.25,0.1,0.1,5,0.999999,10,73,110,30,33.508561,16.387958,,0.0259861,5.46533,1.14052
thsopt,0.25,0.1,0.1,5,0.999999,10,73,110,30,21.779895,11.847516,,0.0220524,5.49222,1.08758
qdeim,1,1,0.1,5,0.999999,10,73,110,35,21.026945,17.372266,,0.0363948,3.02723,0.357769
sopt,1,1,0.1,5,0.999999,10,73,110,35,18.423628,11.264218,,0.0239542,3.31071,0.12331
clsqdeim,0.25,0.1,0.1,5,0.999999,10,73,110,35,45.688735,32.599792,,0.0577743,2.88333,0.524011
clssopt,0.25,0.1,0.1,5,0.999999,10,73,110,35,18.068591,10.929404,,0.0313083,5.85681,7.45188
thqdeim,0.25,0.1,0.1,5,0.999999,10,73,110,35,32.572527,15.753652,,0.0127614,5.22521,0.19696
thsopt,0.25,0.1,0.1,5,0.999999,10,73,110,35,16.954692,12.980233,,0.0232337,6.59904,1.54316
qdeim,1,1,0.1,5,0.999999,10,73,110,40,27.503018,12.890325,,0.0234727,4.84213,0.970659
sopt,1,1,0.1,5,0.999999,10,73,110,40,18.326977,10.292481,,0.0092493,4.54707,0.496534
clsqdeim,0.25,0.1,0.1,5,0.999999,10,73,110,40,44.989786,35.386324,,0.0584865,3.04739,0.545222
clssopt,0.25,0.1,0.1,5,0.999999,10,73,110,40,16.189669,10.476883,,0.0353551,1.77526,0.243843
thqdeim,0.25,0.1,0.1,5,0.999999,10,73,110,40,20.685790,12.726473,,0.0166123,2.79724,0.321433
thsopt,0.25,0.1,0.1,5,0.999999,10,73,110,40,16.985036,8.954707,,0.00931862,4.36019,0.506353
qdeim,1,1,0.1,5,0.999999,10,73,110,45,21.376419,12.380229,,0.0193116,4.44254,0.753373
sopt,1,1,0.1,5,0.999999,10,73,110,45,15.816982,9.661918,,0.00308443,1.28618,0.108765
clsqdeim,0.25,0.1,0.1,5,0.999999,10,73,110,45,42.028252,33.812911,,0.0458863,4.08269,1.18075
clssopt,0.25,0.1,0.1,5,0.999999,10,73,110,45,15.479892,10.532297,,0.00967862,2.67857,0.352837
thqdeim,0.25,0.1,0.1,5,0.999999,10,73,110,45,25.275062,13.138340,,0.0239605,1.07313,0.0915531
thsopt,0.25,0.1,0.1,5,0.999999,10,73,110,45,16.883345,9.830639,,0.00330373,1.29439,0.107787
qdeim,1,1,0.1,5,0.999999,10,73,110,50,21.754212,13.025531,,0.00907735,2.54924,0.249244
sopt,1,1,0.1,5,0.999999,10,73,110,50,13.764918,8.544771,2.23051,0.00140914,0.327227,0.0514888
clsqdeim,0.25,0.1,0.1,5,0.999999,10,73,110,50,43.549344,35.284582,,0.0499964,4.74039,1.69995
clssopt,0.25,0.1,0.1,5,0.999999,10,73,110,50,13.856555,8.692733,2.53607,0.00041426,0.124579,0.0193751
thqdeim,0.25,0.1,0.1,5,0.999999,10,73,110,50,24.641734,11.498570,,0.0280718,3.7531,0.193499
thsopt,0.25,0.1,0.1,5,0.999999,10,73,110,50,14.219267,8.669713,2.04577,0.00149294,0.357162,0.0554037
