method,t,ws,w,q,TT3,TT4,ErrX,ErrV,ErrE
clssopt,0.1,40,13,2,2.59263,4.46e+00,9.50984e-06,0.000965896,0.000147725
clsqdeim,0.1,40,13,2,2.67443,4.63e+00,5.71443e-06,0.00284256,0.000256628
clssopt,0.1,40,13,4,2.48583,4.58e+00,9.08911e-06,0.00215627,0.000249763
clsqdeim,0.1,40,13,4,2.43444,4.47e+00,5.70252e-06,0.00126399,0.000669268
clssopt,0.1,40,13,6,2.45054,4.58e+00,8.31964e-06,0.0010753,0.000308616
clsqdeim,0.1,40,13,6,2.57018,4.45e+00,7.14011e-06,0.000794877,0.000511265
clssopt,0.1,40,13,8,2.92785,8.07e+00,7.02809e-06,0.000528378,0.00031401
clsqdeim,0.1,40,13,8,2.78544,4.62e+00,2.20281e-05,0.00334078,0.000777076
clssopt,0.1,40,13,10,2.50586,4.77e+00,1.20854e-05,0.00141385,0.000216369
clsqdeim,0.1,40,13,10,2.77315,4.84e+00,5.42848e-06,0.0010951,0.000763141
clssopt,0.1,40,13,12,2.76238,4.50e+00,1.21289e-05,0.00115988,0.000191554
clsqdeim,0.1,40,13,12,3.12048,4.52e+00,2.31057e-05,0.00320087,0.00107022
clssopt,0.1,40,13,14,2.88796,4.93e+00,1.24225e-05,0.00117777,0.000187022
clsqdeim,0.1,40,13,14,3.01721,4.57e+00,9.07837e-06,0.00212378,0.00124359
clssopt,0.1,40,13,16,3.07695,4.92e+00,6.21964e-06,0.000813972,0.000321986
clsqdeim,0.1,40,13,16,3.25507,4.61e+00,8.58514e-06,0.00102278,0.000706826
clssopt,0.1,40,13,18,3.0996,4.59e+00,6.43299e-06,0.000696952,0.000313155
clsqdeim,0.1,40,13,18,3.14402,5.18e+00,9.22345e-06,0.00112359,0.000707613
clssopt,0.1,40,13,20,3.26063,6.69e+00,1.24271e-05,0.00102211,0.000208539
clsqdeim,0.1,40,13,20,3.09687,4.56e+00,7.03946e-06,0.00102081,0.000696833
