method,pv,t,n,ef,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
thqdeim,0.13,0.0,0.1,1,0.99,4,3,11,30,6.484264,1.437816,3.54376,5.06799e-06,0.00291265,6.93129e-05
thsopt,0.13,0.0,0.1,1,0.99,4,3,11,30,4.254523,13.211736,4.43135,1.86711e-05,0.00741712,0.000277618
clsqdeim,0.13,0.1,0.1,1,0.99,4,3,11,35,5.178916,1.747177,4.56022,1.59772e-05,0.00161338,3.06376e-05
clssopt,0.13,0.1,0.1,1,0.99,4,3,11,35,10.197546,1.625813,4.76014,3.07015e-05,0.0062476,0.000157882
thqdeim,0.13,0.1,0.1,1,0.99,4,3,11,35,5.870336,1.500484,3.78446,5.52692e-06,0.0026199,5.76316e-05
thsopt,0.13,0.1,0.1,1,0.99,4,3,11,35,3.487808,2.760786,4.8757,2.66364e-05,0.00779323,0.000297035
clsqdeim,0.13,0.0,0.1,1,0.99,4,3,11,35,5.178916,1.723247,4.577,8.92091e-06,0.00266955,9.967e-05
clssopt,0.13,0.0,0.1,1,0.99,4,3,11,35,10.197546,238.282675,4.98728,0.000369721,0.0950658,0.000690069
thqdeim,0.13,0.0,0.1,1,0.99,4,3,11,35,5.870336,1.239734,3.54898,5.35074e-06,0.00261414,5.47505e-05
thsopt,0.13,0.0,0.1,1,0.99,4,3,11,35,3.487808,11.066071,4.97213,3.15902e-05,0.00959792,0.000416138
clsqdeim,0.13,0.1,0.1,1,0.99,4,3,11,40,4.097740,1.906855,4.72428,1.18872e-05,0.00134144,3.07244e-05
clssopt,0.13,0.1,0.1,1,0.99,4,3,11,40,10.021932,1.000000,5.31949,3.07276e-05,0.00704169,0.000175622
thqdeim,0.13,0.1,0.1,1,0.99,4,3,11,40,4.180679,1.610314,3.60887,5.70376e-06,0.00197235,3.10623e-05
thsopt,0.13,0.1,0.1,1,0.99,4,3,11,40,3.478316,2.755920,4.87485,2.17134e-05,0.00593049,0.000212482
clsqdeim,0.13,0.0,0.1,1,0.99,4,3,11,40,4.097740,2.172037,4.92558,1.24948e-05,0.00366505,0.000163514
clssopt,0.13,0.0,0.1,1,0.99,4,3,11,40,10.021932,220.796963,5.09966,0.000382804,0.090318,0.000398496
thqdeim,0.13,0.0,0.1,1,0.99,4,3,11,40,4.180679,1.527778,4.11596,5.40835e-06,0.00196934,3.00464e-05
thsopt,0.13,0.0,0.1,1,0.99,4,3,11,40,3.478316,8.517433,5.71797,3.29024e-05,0.00844548,0.000367096
clsqdeim,0.13,0.1,0.1,1,0.99,4,3,11,45,3.570474,1.828036,5.35308,9.3053e-06,0.00134411,3.40263e-05
clssopt,0.13,0.1,0.1,1,0.99,4,3,11,45,10.414465,1.000000,4.9611,2.60956e-05,0.00663116,0.00016701
thqdeim,0.13,0.1,0.1,1,0.99,4,3,11,45,3.832538,1.844033,4.1502,7.44964e-06,0.00205947,3.13264e-05
thsopt,0.13,0.1,0.1,1,0.99,4,3,11,45,3.113469,1.000000,5.43439,2.5912e-05,0.00683325,0.000241438
clsqdeim,0.13,0.0,0.1,1,0.99,4,3,11,45,3.570474,1.707087,5.14316,6.07998e-06,0.0011829,9.08245e-05
clssopt,0.13,0.0,0.1,1,0.99,4,3,11,45,10.414465,269.755920,5.61162,0.000295831,0.0889092,0.000808885
thqdeim,0.13,0.0,0.1,1,0.99,4,3,11,45,3.832538,1.814354,4.38321,6.45105e-06,0.00185741,3.24499e-05
thsopt,0.13,0.0,0.1,1,0.99,4,3,11,45,3.113469,7.342679,5.94598,4.07452e-05,0.0101957,0.000443923
clsqdeim,0.13,0.1,0.1,1,0.99,4,3,11,50,4.533554,1.696405,5.77753,7.98822e-06,0.00104723,2.49491e-05
clssopt,0.13,0.1,0.1,1,0.99,4,3,11,50,10.210817,1.000000,4.8443,2.3481e-05,0.00645602,0.000164294
thqdeim,0.13,0.1,0.1,1,0.99,4,3,11,50,4.508602,1.722520,4.46046,6.25278e-05,0.0154307,0.000299722
thsopt,0.13,0.1,0.1,1,0.99,4,3,11,50,3.264625,1.000000,5.37279,2.38249e-05,0.00681804,0.000236779
clsqdeim,0.13,0.0,0.1,1,0.99,4,3,11,50,4.533554,1.751433,4.92536,6.89111e-06,0.00133852,0.000101608
clssopt,0.13,0.0,0.1,1,0.99,4,3,11,50,10.210817,179.415358,5.64341,0.00023646,0.0907284,0.00130457
thqdeim,0.13,0.0,0.1,1,0.99,4,3,11,50,4.508602,1.839474,4.44897,2.9436e-05,0.00646326,7.93415e-05
thsopt,0.13,0.0,0.1,1,0.99,4,3,11,50,3.264625,6.930702,6.25643,4.05757e-05,0.0108683,0.000487341
clsqdeim,0.13,0.1,0.1,1,0.99,4,3,11,55,8.076123,1.766909,5.69598,8.97183e-06,0.000840368,1.38348e-05
clssopt,0.13,0.1,0.1,1,0.99,4,3,11,55,11.908054,1.000000,5.35219,2.11914e-05,0.00575634,0.000149227
thqdeim,0.13,0.1,0.1,1,0.99,4,3,11,55,7.274641,1.430674,4.63903,1.03535e-05,0.00178637,6.93122e-05
thsopt,0.13,0.1,0.1,1,0.99,4,3,11,55,3.784082,1.000000,5.64892,2.1405e-05,0.00646323,0.000220742
clsqdeim,0.13,0.0,0.1,1,0.99,4,3,11,55,8.076123,2.015506,5.25809,4.95307e-06,0.00112978,7.60368e-05
clssopt,0.13,0.0,0.1,1,0.99,4,3,11,55,11.908054,182.060002,5.72769,0.000261057,0.0893274,0.0010084
thqdeim,0.13,0.0,0.1,1,0.99,4,3,11,55,7.274641,1.471808,4.24073,0.00015031,0.044663,0.0011529
thsopt,0.13,0.0,0.1,1,0.99,4,3,11,55,3.784082,6.741044,6.88004,4.10881e-05,0.0110652,0.000509566
clsqdeim,0.13,0.1,0.1,1,0.99,4,3,11,60,3.943253,1.825504,5.756,1.07266e-05,0.000919178,1.58829e-05
clssopt,0.13,0.1,0.1,1,0.99,4,3,11,60,9.170851,1.000000,5.85156,2.03473e-05,0.00541538,0.000154227
thqdeim,0.13,0.1,0.1,1,0.99,4,3,11,60,4.392989,1.496361,4.49446,5.6483e-06,0.00171535,8.92672e-05
thsopt,0.13,0.1,0.1,1,0.99,4,3,11,60,2.955115,1.000000,5.88849,2.4041e-05,0.00742352,0.000248789
clsqdeim,0.13,0.0,0.1,1,0.99,4,3,11,60,3.943253,1.870871,5.53613,7.99992e-06,0.00175214,0.00011914
clssopt,0.13,0.0,0.1,1,0.99,4,3,11,60,9.170851,170.513906,6.06288,0.000213604,0.0523754,0.000386514
thqdeim,0.13,0.0,0.1,1,0.99,4,3,11,60,4.392989,2.120904,4.80017,4.47602e-06,0.00148183,8.56091e-05
thsopt,0.13,0.0,0.1,1,0.99,4,3,11,60,2.955115,6.839852,7.00515,6.1735e-05,0.0163827,0.000751323
clsqdeim,0.13,0.1,0.1,1,0.99,4,3,11,65,4.578462,1.843298,6.00506,1.29336e-05,0.00111383,2.00472e-05
clssopt,0.13,0.1,0.1,1,0.99,4,3,11,65,9.917828,1.000000,5.40974,2.29476e-05,0.00594309,0.000160812
thqdeim,0.13,0.1,0.1,1,0.99,4,3,11,65,4.511051,1.440545,5.07408,5.88805e-06,0.00190834,9.12301e-05
thsopt,0.13,0.1,0.1,1,0.99,4,3,11,65,2.819181,1.000000,6.54424,2.48518e-05,0.00812233,0.000264929
clsqdeim,0.13,0.0,0.1,1,0.99,4,3,11,65,4.578462,1.705054,5.72999,1.19365e-05,0.00260262,0.000163647
clssopt,0.13,0.0,0.1,1,0.99,4,3,11,65,9.917828,186.072025,6.32622,0.00024651,0.0548597,0.000400554
thqdeim,0.13,0.0,0.1,1,0.99,4,3,11,65,4.511051,1.667616,4.71584,8.04889e-06,0.00142792,0.000115721
thsopt,0.13,0.0,0.1,1,0.99,4,3,11,65,2.819181,6.592203,6.94269,6.25213e-05,0.0179974,0.000804877
clsqdeim,0.13,0.1,0.1,1,0.99,4,3,11,70,3.706744,1.728497,6.48128,1.3074e-05,0.0011532,1.46641e-05
clssopt,0.13,0.1,0.1,1,0.99,4,3,11,70,8.685334,1.000000,5.73824,2.16891e-05,0.00590964,0.0001639
thqdeim,0.13,0.1,0.1,1,0.99,4,3,11,70,3.489464,1.401080,5.08966,7.23264e-06,0.00218798,0.000115433
thsopt,0.13,0.1,0.1,1,0.99,4,3,11,70,3.117933,1.000000,6.41213,2.83751e-05,0.00887309,0.000287884
clsqdeim,0.13,0.0,0.1,1,0.99,4,3,11,70,3.706744,1.862280,5.89481,1.15245e-05,0.00240256,0.000148528
clssopt,0.13,0.0,0.1,1,0.99,4,3,11,70,8.685334,166.869489,6.75153,0.000186432,0.050008,0.000203148
thqdeim,0.13,0.0,0.1,1,0.99,4,3,11,70,3.489464,1.367923,5.67565,7.62525e-06,0.00158692,0.000145896
thsopt,0.13,0.0,0.1,1,0.99,4,3,11,70,3.117933,6.781822,7.36735,7.47826e-05,0.0213054,0.000972287
clsqdeim,0.13,0.1,0.1,1,0.99,4,3,11,75,4.209643,1.703012,6.68951,1.27677e-05,0.00094059,1.4351e-05
clssopt,0.13,0.1,0.1,1,0.99,4,3,11,75,8.687824,1.000000,6.05754,2.12562e-05,0.00574223,0.000162063
thqdeim,0.13,0.1,0.1,1,0.99,4,3,11,75,3.137580,1.353220,5.22447,3.57729e-05,0.0121833,0.000123948
thsopt,0.13,0.1,0.1,1,0.99,4,3,11,75,2.738116,1.000000,7.18169,2.60499e-05,0.00867973,0.000281386
clsqdeim,0.13,0.0,0.1,1,0.99,4,3,11,75,4.209643,1.775193,6.17848,9.68888e-06,0.00174931,0.000110395
clssopt,0.13,0.0,0.1,1,0.99,4,3,11,75,8.687824,160.874504,6.47182,0.000168261,0.0437867,0.000277879
thqdeim,0.13,0.0,0.1,1,0.99,4,3,11,75,3.137580,1.686052,5.59786,8.3746e-06,0.00165508,0.000186968
thsopt,0.13,0.0,0.1,1,0.99,4,3,11,75,2.738116,6.486881,8.13446,6.98524e-05,0.0197535,0.000971416
clsqdeim,0.13,0.1,0.1,1,0.99,4,3,11,80,4.117947,1.757617,7.14749,1.58082e-05,0.00115518,1.66881e-05
clssopt,0.13,0.1,0.1,1,0.99,4,3,11,80,8.815850,1.000000,6.59956,2.34622e-05,0.00600335,0.000175409
thqdeim,0.13,0.1,0.1,1,0.99,4,3,11,80,2.880656,1.190897,5.69634,0.000193171,0.0493227,0.000995835
thsopt,0.13,0.1,0.1,1,0.99,4,3,11,80,2.756701,1.000000,7.57964,2.36202e-05,0.00785619,0.000248656
clsqdeim,0.13,0.0,0.1,1,0.99,4,3,11,80,4.117947,1.898837,6.18918,1.25623e-05,0.00155746,9.69371e-05
clssopt,0.13,0.0,0.1,1,0.99,4,3,11,80,8.815850,169.511708,7.47554,0.000145404,0.0415033,0.000193931
thqdeim,0.13,0.0,0.1,1,0.99,4,3,11,80,2.880656,1.557003,5.47099,8.08587e-06,0.00198828,0.000101635
thsopt,0.13,0.0,0.1,1,0.99,4,3,11,80,2.756701,6.457432,8.18964,5.35841e-05,0.015269,0.000771028
