method,pv,t,n,ef,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
clssopt,0.13,0.1,0.1,3,0.9999,4,14,25,15,13.432343,5.286256,4.46677,1.42023e-05,0.00836842,0.000273291
thqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,15,26.386709,5.554316,4.0053,1.48264e-05,0.00240246,7.58999e-05
thsopt,0.13,0.1,0.1,3,0.9999,4,14,25,15,8.885569,4.536829,4.69524,6.11381e-05,0.0226621,0.000607918
clsqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,20,8.991202,7.350233,5.03842,0.00049918,1.00288,0.0585966
clssopt,0.13,0.1,0.1,3,0.9999,4,14,25,20,14.091924,3.885852,5.33788,1.8107e-05,0.00855713,0.000244567
thqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,20,15.087016,6.437984,4.71419,1.32566e-05,0.00236988,0.000111738
thsopt,0.13,0.1,0.1,3,0.9999,4,14,25,20,8.129397,5.947466,4.88423,6.47927e-05,0.0179173,0.000618452
clsqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,25,10.129812,5.361206,5.01934,0.000905318,3.15333,0.154833
clssopt,0.13,0.1,0.1,3,0.9999,4,14,25,25,16.790562,4.368307,5.95779,1.08774e-05,0.00642916,0.000158457
thqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,25,25.665453,3.173672,4.69423,1.87065e-05,0.00263138,0.000117556
thsopt,0.13,0.1,0.1,3,0.9999,4,14,25,25,9.338715,3.819595,5.34038,3.92228e-05,0.0117232,0.000511005
clsqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,30,9.406154,5.280108,5.56753,0.004298,1.96713,0.0604095
clssopt,0.13,0.1,0.1,3,0.9999,4,14,25,30,13.013909,4.026629,6.04663,1.88714e-05,0.00761314,0.000204519
thqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,30,15.680925,6.133473,5.19189,1.14063e-05,0.00211841,6.60236e-05
thsopt,0.13,0.1,0.1,3,0.9999,4,14,25,30,6.471002,3.452794,5.87901,4.19959e-05,0.00969451,0.000594828
clsqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,35,7.217539,6.992366,6.13206,0.0011089,0.483482,0.0161971
clssopt,0.13,0.1,0.1,3,0.9999,4,14,25,35,15.024676,3.927886,7.15519,1.94525e-05,0.00792848,0.000218955
thqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,35,13.494603,7.723396,5.52207,1.13034e-05,0.00745913,0.000316603
thsopt,0.13,0.1,0.1,3,0.9999,4,14,25,35,7.006087,3.637912,6.5887,6.78353e-05,0.0238239,0.000974067
clsqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,40,7.727136,4.247839,6.44371,0.00137161,0.847858,0.0323021
clssopt,0.13,0.1,0.1,3,0.9999,4,14,25,40,11.800253,3.286395,7.25573,2.28411e-05,0.00856223,0.000311669
thqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,40,11.349400,4.205367,5.78232,9.66199e-06,0.0028978,9.68866e-05
thsopt,0.13,0.1,0.1,3,0.9999,4,14,25,40,5.629500,3.472166,7.23649,6.98459e-05,0.020081,0.000904337
clsqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,45,6.763272,3.572708,6.30809,0.000827414,0.44489,0.0164254
clssopt,0.13,0.1,0.1,3,0.9999,4,14,25,45,8.951624,3.041181,8.08821,1.33443e-05,0.00562316,0.000165114
thqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,45,9.469363,3.003980,6.28376,6.45008e-06,0.00206324,9.34093e-05
thsopt,0.13,0.1,0.1,3,0.9999,4,14,25,45,6.665552,3.275943,7.6594,5.67561e-05,0.0187867,0.000786983
clsqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,50,9.470009,4.089775,6.93364,0.000638879,0.982546,0.0408458
clssopt,0.13,0.1,0.1,3,0.9999,4,14,25,50,89546865.583242,3.282412,7.81014,1.3653e-05,0.00593334,0.000173367
thqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,50,12.071618,3.256452,6.25165,5.48937e-06,0.00137492,7.06713e-05
thsopt,0.13,0.1,0.1,3,0.9999,4,14,25,50,7.058707,3.210709,8.10762,3.40245e-05,0.0142384,0.000683893
clsqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,5,60.058446,23.001374,,0.0210847,30.8899,0.780937
clssopt,0.13,0.1,0.1,4,0.99999,4,21,32,5,25.293763,11.939097,4.8229,0.0014503,0.402689,0.0118565
thqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,5,52.382998,21.112959,,0.0139463,15.814,0.591857
thsopt,0.13,0.1,0.1,4,0.99999,4,21,32,5,20.867747,9.222969,4.25392,0.000961686,0.282929,0.0125228
clsqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,10,31.041665,11.931241,5.79098,0.00788664,6.95836,0.196961
clssopt,0.13,0.1,0.1,4,0.99999,4,21,32,10,19.519598,11.868624,5.13,0.00110514,0.705674,0.0166011
thqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,10,50.756113,14.469259,4.21193,0.000620123,0.182756,0.00571829
thsopt,0.13,0.1,0.1,4,0.99999,4,21,32,10,14.432433,7.303475,4.43054,0.00217621,0.399476,0.0150751
clsqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,15,29.631412,10.781497,,0.0167882,26.2202,0.598312
clssopt,0.13,0.1,0.1,4,0.99999,4,21,32,15,13.870643,8.018911,5.65939,3.0375e-05,0.0119142,0.00038591
thqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,15,32.559025,6.639665,4.81247,0.000763438,0.209769,0.0091706
thsopt,0.13,0.1,0.1,4,0.99999,4,21,32,15,19.231219,9.085184,4.94113,2.11789e-05,0.00349483,0.000206316
clsqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,20,24.179838,7.615127,6.49694,0.00454048,1.54259,0.0425402
clssopt,0.13,0.1,0.1,4,0.99999,4,21,32,20,11.984806,7.143836,5.63744,0.000122687,0.0676046,0.00158133
thqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,20,39.152220,4.850614,4.93111,0.000175535,0.0514897,0.00242265
thsopt,0.13,0.1,0.1,4,0.99999,4,21,32,20,9.770802,5.654120,5.77529,8.27064e-05,0.0157883,0.000613243
clsqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,25,22.140609,7.394387,6.6607,0.000244011,0.150377,0.00533013
clssopt,0.13,0.1,0.1,4,0.99999,4,21,32,25,14.267129,5.785362,6.3837,7.23985e-05,0.0244868,0.000718245
thqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,25,24.490353,4.510606,5.74039,0.000144347,0.0255045,0.00117637
thsopt,0.13,0.1,0.1,4,0.99999,4,21,32,25,8.818985,5.939283,6.39215,5.77678e-06,0.00541817,0.000242576
clsqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,30,23.396432,6.951975,7.63485,0.00013085,0.0863125,0.00203614
clssopt,0.13,0.1,0.1,4,0.99999,4,21,32,30,13.996253,7.387332,7.47605,5.36178e-05,0.0226755,0.000526206
thqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,30,20.209489,4.762236,6.12854,0.000111806,0.0153621,0.000805859
thsopt,0.13,0.1,0.1,4,0.99999,4,21,32,30,8.607996,4.614758,6.78529,9.66403e-06,0.00453529,0.000190237
clsqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,35,16.598866,14.523789,7.62255,0.000110851,0.0700946,0.00161557
clssopt,0.13,0.1,0.1,4,0.99999,4,21,32,35,,,,,
thqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,35,,,,,
thsopt,0.13,0.1,0.1,4,0.99999,4,21,32,35,,,,,
clsqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,40,,,,,
clssopt,0.13,0.1,0.1,4,0.99999,4,21,32,40,,,0.0611299,,
clsqdeim,0.13,0.1,0.1,2,0.999,4,7,18,5,13.082001,6.675674,,,,
thqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,40,22.290134,4.200535,,0.0161598,98.6258,
clssopt,0.13,0.1,0.1,2,0.999,4,7,18,5,10.864070,5.109165,,,,
thqdeim,0.13,0.1,0.1,2,0.999,4,7,18,5,13.088998,4.565154,2.13692,1.30549e-05,0.00215071,8.17495e-05
thsopt,0.13,0.1,0.1,4,0.99999,4,21,32,40,7.636681,5.047349,,0.0611299,,
thsopt,0.13,0.1,0.1,2,0.999,4,7,18,5,9.891293,4.772225,,,,
clsqdeim,0.13,0.1,0.1,2,0.999,4,7,18,10,7.011494,2.712665,3.9806,0.00165706,0.634962,0.0206635
clsqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,45,17.572041,9.888934,,0.0611299,0.165944,
clssopt,0.13,0.1,0.1,2,0.999,4,7,18,10,7.837229,3.652173,3.64906,0.0611299,0.165944,8.24708e-05
thqdeim,0.13,0.1,0.1,2,0.999,4,7,18,10,17.170836,2.291243,2.42271,1.4921e-05,0.00249474,5.94841e-05
clssopt,0.13,0.1,0.1,4,0.99999,4,21,32,45,11.465744,4.820147,,,,
thsopt,0.13,0.1,0.1,2,0.999,4,7,18,10,10.602481,4.411206,3.21932,8.51181e-05,0.0299502,0.00208783
thqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,45,16.223795,4.815211,,,,
clsqdeim,0.13,0.1,0.1,2,0.999,4,7,18,15,,,,,
clssopt,0.13,0.1,0.1,2,0.999,4,7,18,15,11.584910,5.082187,,0.0611299,0.165944,8.24708e-05
thsopt,0.13,0.1,0.1,4,0.99999,4,21,32,45,7.157132,3.964203,,9.34346e-06,0.0150081,
thqdeim,0.13,0.1,0.1,2,0.999,4,7,18,15,12.054538,2.086666,2.7077,9.34346e-06,0.00209021,3.61208e-05
thsopt,0.13,0.1,0.1,2,0.999,4,7,18,15,11.312506,3.321033,3.62169,0.000116128,0.0450741,0.0025327
clsqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,50,15.745049,7.104904,,,,
clsqdeim,0.13,0.1,0.1,2,0.999,4,7,18,20,,,,,
clssopt,0.13,0.1,0.1,2,0.999,4,7,18,20,6.096056,3.018278,,0.0611299,0.165944,8.24708e-05
clssopt,0.13,0.1,0.1,4,0.99999,4,21,32,50,12.052036,5.576699,,0.0538541,0.14614,
thqdeim,0.13,0.1,0.1,2,0.999,4,7,18,20,10.294828,2.093666,2.89632,,,
thqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,50,,,0.0440651,0.120061,
thsopt,0.13,0.1,0.1,2,0.999,4,7,18,20,7.139864,3.270553,4.06726,0.0611299,0.165944,8.24708e-05
clsqdeim,0.13,0.1,0.1,2,0.999,4,7,18,25,4.761375,2.149723,,0.0611299,0.165944,8.24708e-05
thsopt,0.13,0.1,0.1,4,0.99999,4,21,32,50,6.868807,4.319461,,0.0611299,,
clssopt,0.13,0.1,0.1,2,0.999,4,7,18,25,6.940734,3.076288,5.40471,0.00056973,0.218155,0.00539761
thqdeim,0.13,0.1,0.1,2,0.999,4,7,18,25,,,,,
thsopt,0.13,0.1,0.1,2,0.999,4,7,18,25,,,,,
clsqdeim,0.13,0.1,0.1,2,0.999,4,7,18,30,,,,,
clssopt,0.13,0.1,0.1,2,0.999,4,7,18,30,,,,,
thqdeim,0.13,0.1,0.1,2,0.999,4,7,18,30,,,,,
thsopt,0.13,0.1,0.1,2,0.999,4,7,18,30,,,,,
clsqdeim,0.13,0.1,0.1,2,0.999,4,7,18,35,,,,,
clssopt,0.13,0.1,0.1,2,0.999,4,7,18,35,,,,,
thqdeim,0.13,0.1,0.1,2,0.999,4,7,18,35,,,,,
thsopt,0.13,0.1,0.1,2,0.999,4,7,18,35,,,,,
clsqdeim,0.13,0.1,0.1,2,0.999,4,7,18,40,,,,,
clssopt,0.13,0.1,0.1,2,0.999,4,7,18,40,,,,,
thqdeim,0.13,0.1,0.1,2,0.999,4,7,18,40,,,,,
thsopt,0.13,0.1,0.1,2,0.999,4,7,18,40,,,,,
clsqdeim,0.13,0.1,0.1,2,0.999,4,7,18,45,,,,,
clssopt,0.13,0.1,0.1,2,0.999,4,7,18,45,10.542700,3.314759,,0.0067771,2.02315,0.00734586
clsqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,5,47.720220,14.655336,5.19463,,,
thqdeim,0.13,0.1,0.1,2,0.999,4,7,18,45,,,0.0611299,0.165944,8.24708e-05
clssopt,0.13,0.1,0.1,5,0.999999,4,27,39,5,,,0.056364,0.153055,
thsopt,0.13,0.1,0.1,2,0.999,4,7,18,45,3.999725,2.465664,6.39674,0.0611299,0.165944,8.24708e-05
clsqdeim,0.13,0.1,0.1,2,0.999,4,7,18,50,4.309997,1.971040,5.90943,8.76286e-06,0.00167339,4.41353e-05
thqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,5,43.631756,17.662177,,0.0298556,0.0819436,
thsopt,0.13,0.1,0.1,5,0.999999,4,27,39,5,30.985110,19.305731,,0.000509718,1.34237,
clssopt,0.13,0.1,0.1,2,0.999,4,7,18,50,9.646272,3.152257,7.7392,0.000509718,0.133582,0.00353513
thqdeim,0.13,0.1,0.1,2,0.999,4,7,18,50,5.816284,1.678015,4.08106,2.68779e-05,0.00323454,5.39959e-05
clsqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,10,49.254723,16.433044,,,,
thsopt,0.13,0.1,0.1,2,0.999,4,7,18,50,4.314561,2.483328,,0.0611299,0.165944,8.24708e-05
clssopt,0.13,0.1,0.1,5,0.999999,4,27,39,10,37.074808,12.802792,5.46088,9.5714e-06,0.00472331,0.000128192
thqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,10,,,,,
thsopt,0.13,0.1,0.1,5,0.999999,4,27,39,10,,,,,
clsqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,15,,,,,
clssopt,0.13,0.1,0.1,5,0.999999,4,27,39,15,,,,,
thqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,15,,,0.00169661,10.9555,
clsqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,5,25.434327,11.466756,3.74886,0.00169661,1.93359,0.0375067
clssopt,0.13,0.1,0.1,3,0.9999,4,14,25,5,20.569894,13.980794,3.60631,0.000154463,0.043923,0.00200018
thsopt,0.13,0.1,0.1,5,0.999999,4,27,39,15,,,,,
thqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,5,,,0.0611299,,8.24708e-05
clsqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,20,,,8.81643e-05,0.474865,
thsopt,0.13,0.1,0.1,3,0.9999,4,14,25,5,20.732158,9.832765,3.38958,,,
clsqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,10,13.001092,9.543442,4.13473,0.00241566,3.63008,0.211506
clssopt,0.13,0.1,0.1,5,0.999999,4,27,39,20,21.434141,6.738003,,,,
clssopt,0.13,0.1,0.1,3,0.9999,4,14,25,10,15.468207,13.047036,,0.0611299,0.165944,8.24708e-05
thqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,20,22.618718,6.529617,,0.0611299,,
thqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,10,,,,,
thsopt,0.13,0.1,0.1,3,0.9999,4,14,25,10,19.042960,6.334193,,0.0611299,0.165944,8.24708e-05
thsopt,0.13,0.1,0.1,5,0.999999,4,27,39,20,10.606783,8.630182,,0.0611299,,
clsqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,15,8.787800,6.984687,4.66025,0.0611299,,8.24708e-05
clsqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,25,,,0.0174585,0.0497606,
clssopt,0.13,0.1,0.1,3,0.9999,4,14,25,15,13.432343,5.286256,4.52403,,,
thqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,15,26.386709,5.554316,,0.0611299,0.165944,8.24708e-05
clssopt,0.13,0.1,0.1,5,0.999999,4,27,39,25,18.680662,6.566965,,6.11381e-05,0.159217,
thsopt,0.13,0.1,0.1,3,0.9999,4,14,25,15,8.885569,4.536829,4.31253,6.11381e-05,0.0226621,0.000607918
clsqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,20,8.991202,7.350233,4.70633,0.00049918,1.00288,0.0585966
thqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,25,,,,,
clssopt,0.13,0.1,0.1,3,0.9999,4,14,25,20,14.091924,3.885852,,0.0611299,0.165944,8.24708e-05
thsopt,0.13,0.1,0.1,5,0.999999,4,27,39,25,11.813997,7.282570,,0.0611299,,
thqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,20,15.087016,6.437984,4.44158,0.0611299,,8.24708e-05
clsqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,30,,,0.0470765,0.128634,
thsopt,0.13,0.1,0.1,3,0.9999,4,14,25,20,8.129397,5.947466,4.76763,0.0611299,,8.24708e-05
clsqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,25,10.129812,5.361206,,0.0611299,0.165944,8.24708e-05
clssopt,0.13,0.1,0.1,5,0.999999,4,27,39,30,15.507470,6.815256,,0.0528506,0.144046,
clssopt,0.13,0.1,0.1,3,0.9999,4,14,25,25,16.790562,4.368307,5.91243,0.0611299,,8.24708e-05
thqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,30,,,0.0200272,0.0606323,
thqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,25,25.665453,3.173672,4.73912,,,
thsopt,0.13,0.1,0.1,3,0.9999,4,14,25,25,9.338715,3.819595,,0.0611299,0.165944,8.24708e-05
thsopt,0.13,0.1,0.1,5,0.999999,4,27,39,30,10.249980,6.040352,,0.0611299,0.165944,
clsqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,30,9.406154,5.280108,5.40619,0.0611299,,8.24708e-05
clssopt,0.13,0.1,0.1,3,0.9999,4,14,25,30,13.013909,4.026629,,0.000855403,0.67004,0.0018472
clsqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,35,20.082259,10.683141,8.18375,0.0611299,0.165944,
thqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,30,15.680925,6.133473,4.90361,0.0611299,,8.24708e-05
clssopt,0.13,0.1,0.1,5,0.999999,4,27,39,35,,,0.0611299,0.165944,
thsopt,0.13,0.1,0.1,3,0.9999,4,14,25,30,6.471002,3.452794,5.96419,0.0611299,,8.24708e-05
thqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,35,,,0.0611299,0.165944,
clsqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,35,7.217539,6.992366,5.76564,0.0611299,,8.24708e-05
clssopt,0.13,0.1,0.1,3,0.9999,4,14,25,35,15.024676,3.927886,,2.15211e-06,0.000470188,8.25679e-05
thsopt,0.13,0.1,0.1,5,0.999999,4,27,39,35,9.224646,6.389771,7.01998,,,
thqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,35,,,,,
clsqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,40,18.091952,13.032117,,6.78353e-05,0.231698,
thsopt,0.13,0.1,0.1,3,0.9999,4,14,25,35,7.006087,3.637912,6.24398,,,
clsqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,40,7.727136,4.247839,5.86025,0.00137161,0.847858,0.0323021
clssopt,0.13,0.1,0.1,5,0.999999,4,27,39,40,,,0.00137161,13.396,
clssopt,0.13,0.1,0.1,3,0.9999,4,14,25,40,11.800253,3.286395,7.25478,2.28411e-05,0.00856223,0.000311669
thqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,40,17.623613,4.426578,,0.0523491,0.141788,
thqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,40,11.349400,4.205367,5.52537,0.0611299,,8.24708e-05
thsopt,0.13,0.1,0.1,5,0.999999,4,27,39,40,,,0.0611299,,
thsopt,0.13,0.1,0.1,3,0.9999,4,14,25,40,5.629500,3.472166,5.96717,0.0611299,,8.24708e-05
clsqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,45,,,0.0485835,0.131214,
clsqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,45,6.763272,3.572708,6.47483,0.0611299,,8.24708e-05
clssopt,0.13,0.1,0.1,5,0.999999,4,27,39,45,,,0.0583709,0.15862,
clssopt,0.13,0.1,0.1,3,0.9999,4,14,25,45,8.951624,3.041181,7.60256,0.0611299,,8.24708e-05
thqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,45,,,0.023445,0.0687594,
thqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,45,9.469363,3.003980,5.82389,0.0611299,,8.24708e-05
thsopt,0.13,0.1,0.1,5,0.999999,4,27,39,45,,,0.028576,0.0810445,
thsopt,0.13,0.1,0.1,3,0.9999,4,14,25,45,6.665552,3.275943,7.16876,0.0611299,,8.24708e-05
clsqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,50,,,0.0596251,0.161909,
clsqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,50,9.470009,4.089775,6.53792,0.0611299,,8.24708e-05
clssopt,0.13,0.1,0.1,3,0.9999,4,14,25,50,89546865.583242,3.282412,7.8071,1.3653e-05,0.00593334,0.000173367
clssopt,0.13,0.1,0.1,5,0.999999,4,27,39,50,11.447682,5.120476,,,,
thqdeim,0.13,0.1,0.1,3,0.9999,4,14,25,50,12.071618,3.256452,,0.0611299,0.165944,8.24708e-05
thqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,50,17.239712,4.764841,,0.0611299,,
thsopt,0.13,0.1,0.1,3,0.9999,4,14,25,50,7.058707,3.210709,,0.0611299,0.165944,8.24708e-05
thsopt,0.13,0.1,0.1,5,0.999999,4,27,39,50,6.849205,4.596027,9.00154,2.39003e-06,0.000439075,2.19527e-05
clsqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,5,60.058446,23.001374,,0.0210847,30.8899,0.780937
clssopt,0.13,0.1,0.1,4,0.99999,4,21,32,5,25.293763,11.939097,4.38118,0.0014503,0.402689,0.0118565
thqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,5,52.382998,21.112959,,0.0139463,15.814,0.591857
thsopt,0.13,0.1,0.1,4,0.99999,4,21,32,5,20.867747,9.222969,3.97832,0.000961686,0.282929,0.0125228
clsqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,10,31.041665,11.931241,5.48216,0.00788664,6.95836,0.196961
clssopt,0.13,0.1,0.1,4,0.99999,4,21,32,10,19.519598,11.868624,4.79996,0.00110514,0.705674,0.0166011
thqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,10,50.756113,14.469259,3.96251,0.000620123,0.182756,0.00571829
thsopt,0.13,0.1,0.1,4,0.99999,4,21,32,10,14.432433,7.303475,4.30147,0.00217621,0.399476,0.0150751
clsqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,15,29.631412,10.781497,,0.0167882,26.2202,0.598312
clssopt,0.13,0.1,0.1,4,0.99999,4,21,32,15,13.870643,8.018911,5.3629,3.0375e-05,0.0119142,0.00038591
thqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,15,32.559025,6.639665,4.44705,0.000763438,0.209769,0.0091706
thsopt,0.13,0.1,0.1,4,0.99999,4,21,32,15,19.231219,9.085184,4.92457,2.11789e-05,0.00349483,0.000206316
clsqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,20,24.179838,7.615127,6.19166,0.00454048,1.54259,0.0425402
clssopt,0.13,0.1,0.1,4,0.99999,4,21,32,20,11.984806,7.143836,5.66873,0.000122687,0.0676046,0.00158133
thqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,20,39.152220,4.850614,4.82259,0.000175535,0.0514897,0.00242265
thsopt,0.13,0.1,0.1,4,0.99999,4,21,32,20,9.770802,5.654120,5.41608,8.27064e-05,0.0157883,0.000613243
clsqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,25,22.140609,7.394387,6.3962,0.000244011,0.150377,0.00533013
clssopt,0.13,0.1,0.1,4,0.99999,4,21,32,25,14.267129,5.785362,6.01603,7.23985e-05,0.0244868,0.000718245
thqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,25,24.490353,4.510606,5.33217,0.000144347,0.0255045,0.00117637
thsopt,0.13,0.1,0.1,4,0.99999,4,21,32,25,8.818985,5.939283,5.80036,5.77678e-06,0.00541817,0.000242576
clsqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,30,23.396432,6.951975,7.14655,0.00013085,0.0863125,0.00203614
clssopt,0.13,0.1,0.1,4,0.99999,4,21,32,30,13.996253,7.387332,6.97122,5.36178e-05,0.0226755,0.000526206
thqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,30,20.209489,4.762236,5.66367,0.000111806,0.0153621,0.000805859
thsopt,0.13,0.1,0.1,4,0.99999,4,21,32,30,8.607996,4.614758,6.44099,9.66403e-06,0.00453529,0.000190237
clsqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,35,16.598866,14.523789,7.53342,0.000110851,0.0700946,0.00161557
clssopt,0.13,0.1,0.1,4,0.99999,4,21,32,35,13.463886,5.650094,7.02247,6.31865e-05,0.0284341,0.000703237
thqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,35,19.948024,5.864801,6.16294,8.38188e-05,0.0135244,0.000505852
thsopt,0.13,0.1,0.1,4,0.99999,4,21,32,35,7.361481,4.562643,6.75138,1.62322e-05,0.00392587,0.000157052
clsqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,40,28.883847,7.172725,7.74081,0.000123825,0.0789384,0.00219614
clssopt,0.13,0.1,0.1,4,0.99999,4,21,32,40,11.058678,5.951201,7.44732,6.87281e-05,0.0330443,0.000771592
thqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,40,22.290134,4.200535,6.69281,0.000140581,0.0261777,0.000834725
thsopt,0.13,0.1,0.1,4,0.99999,4,21,32,40,7.636681,5.047349,7.18476,1.91238e-05,0.00639558,0.000225952
clsqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,45,17.572041,9.888934,8.04901,6.53834e-05,0.0551471,0.00158188
clssopt,0.13,0.1,0.1,4,0.99999,4,21,32,45,11.465744,4.820147,7.60703,0.000112309,0.0541392,0.00125601
thqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,45,16.223795,4.815211,7.02292,0.000352477,0.0601234,0.00195314
thsopt,0.13,0.1,0.1,4,0.99999,4,21,32,45,7.157132,3.964203,7.60954,2.55633e-05,0.00845142,0.000332224
clsqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,50,15.745049,7.104904,8.30942,3.58724e-05,0.0295661,0.000792291
clssopt,0.13,0.1,0.1,4,0.99999,4,21,32,50,12.052036,5.576699,8.18305,0.000101201,0.0470901,0.00110201
thqdeim,0.13,0.1,0.1,4,0.99999,4,21,32,50,16.462800,4.173843,7.36639,0.000138963,0.0204405,0.000533863
thsopt,0.13,0.1,0.1,4,0.99999,4,21,32,50,6.868807,4.319461,8.03431,3.11729e-05,0.0103483,0.000355979
clsqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,5,47.720220,14.655336,5.23232,0.0067771,2.75093,0.107969
clssopt,0.13,0.1,0.1,5,0.999999,4,27,39,5,25.550487,12.406213,4.97937,3.09004e-05,0.00592531,0.000214157
thqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,5,43.631756,17.662177,4.17045,0.000249379,0.130385,0.00334358
thsopt,0.13,0.1,0.1,5,0.999999,4,27,39,5,30.985110,19.305731,4.40291,0.00127465,0.42466,0.0154727
clsqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,10,49.254723,16.433044,,0.0211459,7.22438,0.280958
clssopt,0.13,0.1,0.1,5,0.999999,4,27,39,10,37.074808,12.802792,5.07641,9.5714e-06,0.00472331,0.000128192
thqdeim,0.13,0.1,0.1,5,0.999999,4,27,39,10,29.418878,12.451855,4.61485,0.000307806,0.0726758,0.00431521
