method,t,ws,w,q,TT3,TT4,ErrX,ErrV,ErrE
clssopt,0.1,20,27,1,4.47894,6.66e+00,4.09373e-07,0.000159366,2.87997e-06
clsqdeim,0.1,20,27,1,3.5452,7.00e+00,0.00107707,0.00292329,nan
clssopt,0.1,20,27,2,4.92757,7.15e+00,6.20857e-07,0.000392046,6.53391e-06
clsqdeim,0.1,20,27,2,5.26361,5.79e+00,0.00107707,0.00292329,nan
clssopt,0.1,20,27,3,6.35088,5.35e+00,1.39791e-06,0.000441482,9.68353e-06
clsqdeim,0.1,20,27,3,4.50358,4.46e+00,0.00107707,0.00292329,nan
clssopt,0.1,20,27,4,7.07982,5.33e+00,3.32082e-06,0.000580994,1.94399e-05
clsqdeim,0.1,20,27,4,5.0204,5.80e+00,0.00107707,0.00292329,nan
clssopt,0.1,20,27,5,6.25627,5.19e+00,3.29523e-06,0.000582817,1.86727e-05
clsqdeim,0.1,20,27,5,5.68417,5.01e+00,0.00107707,0.00292329,nan
clssopt,0.1,20,27,6,6.19497,9.59e+00,3.58448e-06,0.000630441,1.91573e-05
clsqdeim,0.1,20,27,6,6.51265,6.67e+00,0.00107707,0.00292329,nan
clssopt,0.1,20,27,7,12.4929,7.26e+00,3.10047e-06,0.000591789,1.73255e-05
clsqdeim,0.1,20,27,7,6.40872,4.88e+00,0.00107707,0.00292329,nan
clssopt,0.1,20,27,8,7.32984,5.39e+00,3.34137e-06,0.000618839,1.89097e-05
clsqdeim,0.1,20,27,8,5.14657,4.63e+00,0.00107707,0.00292329,nan
clssopt,0.1,20,27,9,5.53325,5.85e+00,3.53649e-06,0.000647998,1.9931e-05
clsqdeim,0.1,20,27,9,10.5132,8.33e+00,0.00107707,0.00292329,nan
clssopt,0.1,20,27,10,6.59758,5.17e+00,3.34357e-06,0.000627811,1.89751e-05
clsqdeim,0.1,20,27,10,5.77566,4.87e+00,0.00107707,0.00292329,nan
clssopt,0.1,30,18,1,4.24294,4.47e+00,3.45566e-06,0.000312209,2.79822e-05
clsqdeim,0.1,30,18,1,4.43328,4.26e+00,0.00208089,0.00564761,nan
clssopt,0.1,30,18,2,7.07197,5.84e+00,8.22606e-06,0.0012248,2.99944e-05
clsqdeim,0.1,30,18,2,3.02641,3.94e+00,0.00208089,0.00564761,nan
clssopt,0.1,30,18,3,3.44419,4.10e+00,5.67465e-06,0.000519716,1.45433e-05
clsqdeim,0.1,30,18,3,4.1663,4.20e+00,0.00208089,0.00564761,nan
clssopt,0.1,30,18,4,4.89676,4.29e+00,7.0474e-06,0.000927368,2.54809e-05
clsqdeim,0.1,30,18,4,3.5739,4.13e+00,0.00208089,0.00564761,nan
clssopt,0.1,30,18,5,4.76242,4.37e+00,5.7455e-06,0.000523691,1.41222e-05
clsqdeim,0.1,30,18,5,4.16894,4.36e+00,0.00208089,0.00564761,nan
clssopt,0.1,30,18,6,4.83854,4.41e+00,6.04063e-06,0.000627406,1.48945e-05
clsqdeim,0.1,30,18,6,3.73471,3.93e+00,0.00208089,0.00564761,nan
clssopt,0.1,30,18,7,4.18186,3.92e+00,6.44024e-06,0.000953773,3.14327e-05
clsqdeim,0.1,30,18,7,3.93345,4.12e+00,0.00208089,0.00564761,nan
clssopt,0.1,30,18,8,4.41386,4.42e+00,5.9559e-06,0.000758074,2.41941e-05
clsqdeim,0.1,30,18,8,4.64476,5.40e+00,0.00208089,0.00564761,nan
clssopt,0.1,30,18,9,5.04783,5.29e+00,5.46324e-06,0.000716966,2.22172e-05
clsqdeim,0.1,30,18,9,4.41175,4.39e+00,0.00208089,0.00564761,nan
clssopt,0.1,30,18,10,6.16235,5.73e+00,5.43124e-06,0.000694349,2.11405e-05
clsqdeim,0.1,30,18,10,4.74885,4.31e+00,0.00208089,0.00564761,nan
clssopt,0.1,40,14,1,3.16538,3.92e+00,0.00976057,0.839147,0.112219
clsqdeim,0.1,40,14,1,3.10673,4.09e+00,0.00107707,0.00292329,nan
clssopt,0.1,40,14,2,3.90932,4.45e+00,0.00765116,0.633283,0.0958335
clsqdeim,0.1,40,14,2,3.52874,3.87e+00,0.00107707,0.00292329,nan
clssopt,0.1,40,14,3,4.48547,4.23e+00,0.00760985,0.305973,0.12832
clsqdeim,0.1,40,14,3,2.79576,3.92e+00,0.00107707,0.00292329,nan
clssopt,0.1,40,14,4,4.34414,3.99e+00,0.00621624,0.339683,0.0880251
clsqdeim,0.1,40,14,4,3.01008,4.26e+00,0.00107707,0.00292329,nan
clssopt,0.1,40,14,5,5.0236,4.95e+00,0.00715087,0.389181,0.100438
clsqdeim,0.1,40,14,5,4.06038,4.22e+00,0.00107707,0.00292329,nan
clssopt,0.1,40,14,6,4.30446,4.03e+00,0.00703298,0.422612,0.0994695
clsqdeim,0.1,40,14,6,3.2878,3.76e+00,0.00107707,0.00292329,nan
clssopt,0.1,40,14,7,5.00357,4.11e+00,0.00613301,0.377997,0.088108
clsqdeim,0.1,40,14,7,2.87232,3.75e+00,0.00107707,0.00292329,nan
clssopt,0.1,40,14,8,4.05311,3.83e+00,0.00603865,0.372647,0.0851822
clsqdeim,0.1,40,14,8,3.87201,3.88e+00,0.00107707,0.00292329,nan
clssopt,0.1,40,14,9,4.61639,3.89e+00,0.00595175,0.351468,0.0820041
clsqdeim,0.1,40,14,9,3.75353,3.86e+00,0.00107707,0.00292329,nan
clssopt,0.1,40,14,10,5.55793,3.82e+00,0.00612074,0.329609,0.0811484
clsqdeim,0.1,40,14,10,5.35974,4.15e+00,0.00107707,0.00292329,nan
