method,n,energy_frac,rwdim,rrdim,nldim,nsr,time,error
SOPT,0,0.9,4,6,6,121,1.705241694,0.01776345423504149
clsSOPT,0,0.9,4,6,6,121,2.652216995,0.018005069060958
QDEIM,0,0.9,4,6,6,121,3.937186829,0.01768433493324057
clsQDEIM,0,0.9,4,6,6,121,1.358983605,0.01869122894807853
SOPT,0,0.9,4,6,6,126,2.006151772,0.0177632441591169
clsSOPT,0,0.9,4,6,6,126,1.731923319,0.01800499923267495
QDEIM,0,0.9,4,6,6,126,2.246105305,0.01770010799543686
clsQDEIM,0,0.9,4,6,6,126,1.355555839,0.01876091756902082
SOPT,0,0.9,4,6,6,131,1.802676412,0.01776303432428415
clsSOPT,0,0.9,4,6,6,131,1.82526899,0.01800486468579991
QDEIM,0,0.9,4,6,6,131,2.281236266,0.01772398715286475
clsQDEIM,0,0.9,4,6,6,131,1.360047388,0.01882170698945743
SOPT,0,0.9,4,6,6,136,1.872838965,0.01776188836363379
clsSOPT,0,0.9,4,6,6,136,1.854658239,0.01800482421913981
QDEIM,0,0.9,4,6,6,136,2.340385121,0.01778152494370632
clsQDEIM,0,0.9,4,6,6,136,1.411527761,0.01882297882766097
SOPT,0,0.9,4,6,6,141,1.988092324,0.01776192918291174
clsSOPT,0,0.9,4,6,6,141,1.925214251,0.01800480142722373
QDEIM,0,0.9,4,6,6,141,2.408908426,0.01780044980768086
clsQDEIM,0,0.9,4,6,6,141,1.453855055,0.01882384633653279
SOPT,0,0.9,4,6,6,146,1.956566946,0.01776156092375714
clsSOPT,0,0.9,4,6,6,146,1.940641583,0.01800480504050817
QDEIM,0,0.9,4,6,6,146,2.477906868,0.01786590262137243
clsQDEIM,0,0.9,4,6,6,146,1.465204284,0.01882445121744068
SOPT,0,0.9,4,6,6,151,1.993002679,0.01776043103294127
clsSOPT,0,0.9,4,6,6,151,1.991981098,0.01800482085079533
QDEIM,0,0.9,4,6,6,151,2.527555673,0.01792224636269746
clsQDEIM,0,0.9,4,6,6,151,1.459239929,0.01882739242970914
SOPT,0,0.9,4,6,6,156,2.030542937,0.01776020346631576
clsSOPT,0,0.9,4,6,6,156,1.953410491,0.01800485977718973
QDEIM,0,0.9,4,6,6,156,2.614709732,0.01805445009328149
clsQDEIM,0,0.9,4,6,6,156,1.458329935,0.01883681485317912
SOPT,0,0.9,4,6,6,161,2.086313343,0.01775997647403904
clsSOPT,0,0.9,4,6,6,161,2.007200566,0.01800497893401226
QDEIM,0,0.9,4,6,6,161,5.361144341,0.01803553702921407
clsQDEIM,0,0.9,4,6,6,161,1.460645218,0.01885534817467353
SOPT,0,0.9,4,6,6,166,2.121877225,0.01775949279717042
clsSOPT,0,0.9,4,6,6,166,2.049600628,0.01800513777521537
QDEIM,0,0.9,4,6,6,166,2.72671239,0.01801242303701374
clsQDEIM,0,0.9,4,6,6,166,1.486309887,0.01887409124240002
SOPT,0,0.9,4,6,6,171,2.284529644,0.01775893982253225
clsSOPT,0,0.9,4,6,6,171,2.104097814,0.01800532288906576
QDEIM,0,0.9,4,6,6,171,2.777011449,0.01803111090979964
clsQDEIM,0,0.9,4,6,6,171,1.486331094,0.01894487673809488
SOPT,0,0.9,4,6,6,176,2.215897224,0.01775895920067289
clsSOPT,0,0.9,4,6,6,176,2.130811352,0.01800559741022154
QDEIM,0,0.9,4,6,6,176,2.826968351,0.01796885199753252
clsQDEIM,0,0.9,4,6,6,176,1.547329168,0.0189722802990442
SOPT,0,0.9,4,6,6,181,2.275244889,0.01775888500517485
clsSOPT,0,0.9,4,6,6,181,2.258494821,0.0180057539441203
QDEIM,0,0.9,4,6,6,181,2.971036662,0.01798072167825186
clsQDEIM,0,0.9,4,6,6,181,1.571084599,0.01897314412279005
SOPT,0,0.9,4,6,6,186,2.227194085,0.01775874894073575
