method,energy_frac,rwdim,rrdim,nldim,nsr,nqp,time,error
EQP,0.99,9,11,11,540,150,0.823279734,7.714537975827323e-05
EQP,0.99,9,11,11,560,150,0.823734937,7.714537975827323e-05
EQP,0.99,9,11,11,580,150,0.834557931,7.714537975827323e-05
EQP,0.99,9,11,11,600,150,0.823891864,7.714537975827323e-05
EQP,0.99,9,11,11,620,150,0.831377209,7.714537975827323e-05
EQP,0.99,9,11,11,640,150,0.821503862,7.714537975827323e-05
EQP,0.99,9,11,11,660,150,0.823567417,7.714537975827323e-05
EQP,0.99,9,11,11,680,150,0.83100788,7.714537975827323e-05
EQP,0.99,9,11,11,700,150,0.8218936530000001,7.714537975827323e-05
EQP,0.99,9,11,11,720,150,0.827253563,7.714537975827323e-05
EQP,0.99,9,11,11,740,150,0.827711672,7.714537975827323e-05
EQP,0.99,9,11,11,760,150,0.833028204,7.714537975827323e-05
EQP,0.99,9,11,11,780,150,0.8265546459999999,7.714537975827323e-05
EQP,0.99,9,11,11,800,150,0.825647241,7.714537975827323e-05
EQP,0.99,9,11,11,820,150,0.82570444,7.714537975827323e-05
EQP,0.99,9,11,11,840,150,0.833842653,7.714537975827323e-05
EQP,0.99,9,11,11,860,150,0.8373841590000001,7.714537975827323e-05
EQP,0.99,9,11,11,880,150,0.836024476,7.714537975827323e-05
EQP,0.99,9,11,11,900,150,0.8375721110000001,7.714537975827323e-05
EQP,0.99,9,11,11,920,150,0.83424426,7.714537975827323e-05
EQP,0.99,9,11,11,940,150,0.830379432,7.714537975827323e-05
EQP,0.99,9,11,11,960,150,0.826448537,7.714537975827323e-05
EQP,0.99,9,11,11,980,150,0.8263735169999999,7.714537975827323e-05
EQP,0.99,9,11,11,1000,150,0.833812556,7.714537975827323e-05
EQP,0.99,9,11,11,1020,150,0.828370513,7.714537975827323e-05
EQP,0.99,9,11,11,1040,150,0.8353328590000001,7.714537975827323e-05
EQPGlobal,0.999,14,16,16,1040,191,1.769379513,5.056453289884114e-07
EQP,0.999,14,16,16,20,20,0.388692622,0.03160733116710774
EQP,0.999,14,16,16,40,40,0.529762776,0.002035597271722022
EQP,0.999,14,16,16,60,60,0.694167287,0.0002437989308945955
EQP,0.999,14,16,16,80,80,0.870028058,2.784635379894575e-05
EQP,0.999,14,16,16,100,100,1.042883701,9.421499121501027e-06
EQP,0.999,14,16,16,120,120,1.206100172,1.757483502925566e-06
EQP,0.999,14,16,16,140,140,1.382496636,6.99593729054529e-07
EQP,0.999,14,16,16,160,160,1.519666096,5.085002506807533e-07
EQP,0.999,14,16,16,180,180,1.68373224,5.041648072389438e-07
EQP,0.999,14,16,16,200,191,1.784078972,5.056453289884114e-07
EQP,0.999,14,16,16,220,191,1.776152754,5.056453289884114e-07
EQP,0.999,14,16,16,240,191,1.769654046,5.056453289884114e-07
EQP,0.999,14,16,16,260,191,1.782379381,5.056453289884114e-07
EQP,0.999,14,16,16,280,191,1.786568891,5.056453289884114e-07
EQP,0.999,14,16,16,300,191,1.786281159,5.056453289884114e-07
EQP,0.999,14,16,16,320,191,1.783435567,5.056453289884114e-07
EQP,0.999,14,16,16,340,191,1.785075237,5.056453289884114e-07
EQP,0.999,14,16,16,360,191,1.786023702,5.056453289884114e-07
EQP,0.999,14,16,16,380,191,1.78638812,5.056453289884114e-07
EQP,0.999,14,16,16,400,191,1.77044995,5.056453289884114e-07
EQP,0.999,14,16,16,420,191,1.786224024,5.056453289884114e-07
EQP,0.999,14,16,16,440,191,1.769648312,5.056453289884114e-07
EQP,0.999,14,16,16,460,191,1.787268412,5.056453289884114e-07
EQP,0.999,14,16,16,480,191,1.782775484,5.056453289884114e-07
EQP,0.999,14,16,16,500,191,1.774795283,5.056453289884114e-07
EQP,0.999,14,16,16,520,191,1.783864265,5.056453289884114e-07
EQP,0.999,14,16,16,540,191,1.788954369,5.056453289884114e-07
EQP,0.999,14,16,16,560,191,1.78542075,5.056453289884114e-07
EQP,0.999,14,16,16,580,191,1.787292394,5.056453289884114e-07
EQP,0.999,14,16,16,600,191,1.772640886,5.056453289884114e-07
EQP,0.999,14,16,16,620,191,1.785655291,5.056453289884114e-07
EQP,0.999,14,16,16,640,191,1.780354125,5.056453289884114e-07
EQP,0.999,14,16,16,660,191,1.790275563,5.056453289884114e-07
EQP,0.999,14,16,16,680,191,1.786051696,5.056453289884114e-07
EQP,0.999,14,16,16,700,191,1.786806605,5.056453289884114e-07
EQP,0.999,14,16,16,720,191,1.772527047,5.056453289884114e-07
EQP,0.999,14,16,16,740,191,1.760903077,5.056453289884114e-07
EQP,0.999,14,16,16,760,191,1.772974697,5.056453289884114e-07
EQP,0.999,14,16,16,780,191,1.773652038,5.056453289884114e-07
EQP,0.999,14,16,16,800,191,1.759268665,5.056453289884114e-07
EQP,0.999,14,16,16,820,191,1.773966449,5.056453289884114e-07
EQP,0.999,14,16,16,840,191,1.775836421,5.056453289884114e-07
EQP,0.999,14,16,16,860,191,1.772380979,5.056453289884114e-07
EQP,0.999,14,16,16,880,191,1.760619866,5.056453289884114e-07
EQP,0.999,14,16,16,900,191,1.759303791,5.056453289884114e-07
EQP,0.999,14,16,16,920,191,1.761140838,5.056453289884114e-07
EQP,0.999,14,16,16,940,191,1.764279144,5.056453289884114e-07
EQP,0.999,14,16,16,960,191,1.758064001,5.056453289884114e-07
EQP,0.999,14,16,16,980,191,1.759649016,5.056453289884114e-07
EQP,0.999,14,16,16,1000,191,1.771439667,5.056453289884114e-07
EQP,0.999,14,16,16,1020,191,1.771536316,5.056453289884114e-07
EQP,0.999,14,16,16,1040,191,1.764637961,5.056453289884114e-07
EQPGlobal,0.9999,19,21,21,1040,236,3.686253582,1.745889995015925e-08
EQP,0.9999,19,21,21,20,20,0.5370170379999999,0.1011657085289594
EQP,0.9999,19,21,21,40,40,0.8584234550000001,0.001670514389452211
EQP,0.9999,19,21,21,60,60,1.110709084,0.0004574619686722593
EQP,0.9999,19,21,21,80,80,1.398804554,0.0001322372273859135
EQP,0.9999,19,21,21,100,100,1.681672019,4.465374622678332e-05
EQP,0.9999,19,21,21,120,120,1.93638303,1.068501372810741e-05
EQP,0.9999,19,21,21,140,140,2.2104857,2.656483173064616e-06
EQP,0.9999,19,21,21,160,160,2.462940666,5.145308152298029e-07
EQP,0.9999,19,21,21,180,180,2.754644781,1.39027504123309e-07
EQP,0.9999,19,21,21,200,200,3.046472288,2.758820316940916e-08
EQP,0.9999,19,21,21,220,220,3.29294897,1.950680601662592e-08
EQP,0.9999,19,21,21,240,236,3.507531341,1.745889995015925e-08
EQP,0.9999,19,21,21,260,236,3.628926033,1.745889995015925e-08
EQP,0.9999,19,21,21,280,236,3.515828073,1.745889995015925e-08
EQP,0.9999,19,21,21,300,236,3.586464797,1.745889995015925e-08
EQP,0.9999,19,21,21,320,236,3.525605434,1.745889995015925e-08
EQP,0.9999,19,21,21,340,236,3.650606965,1.745889995015925e-08
EQP,0.9999,19,21,21,360,236,3.779444661,1.745889995015925e-08
EQP,0.9999,19,21,21,380,236,3.815096664,1.745889995015925e-08
EQP,0.9999,19,21,21,400,236,3.817793798,1.745889995015925e-08
EQP,0.9999,19,21,21,420,236,3.851178263,1.745889995015925e-08
EQP,0.9999,19,21,21,440,236,3.515299291,1.745889995015925e-08
EQP,0.9999,19,21,21,460,236,3.544337092,1.745889995015925e-08
EQP,0.9999,19,21,21,480,236,3.538727845,1.745889995015925e-08
EQP,0.9999,19,21,21,500,236,3.859738563,1.745889995015925e-08
EQP,0.9999,19,21,21,520,236,3.527978392,1.745889995015925e-08
EQP,0.9999,19,21,21,540,236,3.798683327,1.745889995015925e-08
EQP,0.9999,19,21,21,560,236,3.525945596,1.745889995015925e-08
EQP,0.9999,19,21,21,580,236,3.628461064,1.745889995015925e-08
EQP,0.9999,19,21,21,600,236,3.811441429,1.745889995015925e-08
EQP,0.9999,19,21,21,620,236,3.719002283,1.745889995015925e-08
EQP,0.9999,19,21,21,640,236,3.535874821,1.745889995015925e-08
EQP,0.9999,19,21,21,660,236,3.494719116,1.745889995015925e-08
EQP,0.9999,19,21,21,680,236,3.583030764,1.745889995015925e-08
EQP,0.9999,19,21,21,700,236,3.560195448,1.745889995015925e-08
EQP,0.9999,19,21,21,720,236,3.739028074,1.745889995015925e-08
EQP,0.9999,19,21,21,740,236,3.529854935,1.745889995015925e-08
EQP,0.9999,19,21,21,760,236,3.496808225,1.745889995015925e-08
EQP,0.9999,19,21,21,780,236,3.496017482,1.745889995015925e-08
EQP,0.9999,19,21,21,800,236,3.500326232,1.745889995015925e-08
EQP,0.9999,19,21,21,820,236,3.501394428,1.745889995015925e-08
