EQPglobal,40,27,0.1,0.9999,,6.30135e-09,2.46917e-06,1.00467e-07,3.41675,69,92,120,200,120,200,160,200,160,200,160,200,160,200,160,200,160,160,160,160,160,160,160,200,120,200,120,200,120,200,160,200,120,200,120,200,120,200,120,160,120,160,120,160,120,160,120,160,120,160,160,160,168,168,
EQP,40,27,0.1,0.9999,40,0.0313412,2.77554,0.0666001,1.97862,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,
EQP,40,27,0.1,0.9999,60,0.00595066,4.25288,0.11263,1.99851,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,
EQP,40,27,0.1,0.9999,80,0.00919825,0.736145,0.0349294,2.52125,69,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,
EQP,40,27,0.1,0.9999,100,0.00835786,0.449992,0.0399827,2.32824,69,92,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
EQP,40,27,0.1,0.9999,120,0.00306861,0.266094,0.00991017,2.43973,69,92,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,
EQP,40,27,0.1,0.9999,140,0.000733494,0.0500805,0.00256275,3.24302,69,92,120,140,120,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,120,140,120,140,120,140,140,140,120,140,120,140,120,140,120,140,120,140,120,140,120,140,120,140,120,140,140,140,140,140,
EQP,40,27,0.1,0.9999,160,1.24725e-06,0.00154439,9.68345e-06,2.74981,69,92,120,160,120,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,120,160,120,160,120,160,160,160,120,160,120,160,120,160,120,160,120,160,120,160,120,160,120,160,120,160,160,160,160,160,
EQP,40,27,0.1,0.9999,180,4.17879e-09,2.32624e-06,1.05915e-07,3.15697,69,92,120,180,120,180,160,180,160,180,160,180,160,180,160,180,160,160,160,160,160,160,160,180,120,180,120,180,120,180,160,180,120,180,120,180,120,180,120,160,120,160,120,160,120,160,120,160,120,160,160,160,168,168,
EQP,40,27,0.1,0.9999,200,6.30135e-09,2.46917e-06,1.00467e-07,2.83286,69,92,120,200,120,200,160,200,160,200,160,200,160,200,160,200,160,160,160,160,160,160,160,200,120,200,120,200,120,200,160,200,120,200,120,200,120,200,120,160,120,160,120,160,120,160,120,160,120,160,160,160,168,168,
