method,t,n,ef,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
sopt,0.1,2,0.999,6,6,5,50,5.651327,19.230877,0.172105,0.00127361,0.997145,0.0410346
clssopt,0.1,2,0.999,6,6,5,50,6.142435,78.721126,0.196068,0.00127361,0.997145,0.0410346
sopt,0.1,2,0.999,6,6,5,55,5.819917,26.449593,0.179535,0.00127361,0.997145,0.0410346
clssopt,0.1,2,0.999,6,6,5,55,6.078406,77.310428,0.205667,0.00127361,0.997145,0.0410346
sopt,0.1,2,0.999,6,6,5,60,5.537066,28.027427,0.17757,0.00127361,0.997145,0.0410346
clssopt,0.1,2,0.999,6,6,5,60,6.183678,2721234.296023,0.215545,0.00127361,0.997145,0.0410346
sopt,0.1,2,0.999,6,6,5,65,6.001208,25.776157,0.183998,0.00127361,0.997145,0.0410346
clssopt,0.1,2,0.999,6,6,5,65,6.054450,74.149002,0.230753,0.00127361,0.997145,0.0410346
sopt,0.1,2,0.999,6,6,5,70,5.583943,32.885867,0.195715,0.00127361,0.997145,0.0410346
clssopt,0.1,2,0.999,6,6,5,70,5.962668,77.010211,0.236121,0.00127361,0.997145,0.0410346
sopt,0.1,2,0.999,6,6,5,75,5.902648,38.061039,0.200556,0.00127361,0.997145,0.0410346
clssopt,0.1,2,0.999,6,6,5,75,6.518326,2778140.346781,0.232335,0.00127361,0.997145,0.0410346
sopt,0.1,2,0.999,6,6,5,80,6.739820,27.117406,0.204531,0.00127361,0.997145,0.0410346
clssopt,0.1,2,0.999,6,6,5,80,5.759462,81.451606,0.236614,0.00127361,0.997145,0.0410346
sopt,0.1,2,0.999,6,6,5,85,31.859480,23.141874,0.217293,0.00127361,0.997145,0.0410346
clssopt,0.1,2,0.999,6,6,5,85,5.475488,76.196871,0.241158,0.00127361,0.997145,0.0410346
sopt,0.1,2,0.999,6,6,5,90,24.185036,7744.342062,0.218331,0.00127361,0.997145,0.0410346
clssopt,0.1,2,0.999,6,6,5,90,5.361669,2953736.497362,0.237272,0.00127361,0.997145,0.0410346
sopt,0.1,2,0.999,6,6,5,95,26.535033,24.053771,0.229438,0.00127361,0.997145,0.0410346
clssopt,0.1,2,0.999,6,6,5,95,6.700106,84.533228,0.23742,0.00127361,0.997145,0.0410346
sopt,0.1,2,0.999,6,6,5,100,26.590269,24.344024,0.226786,0.00127361,0.997145,0.0410346
clssopt,0.1,2,0.999,6,6,5,100,6.631677,84.775959,0.242452,0.00127361,0.997145,0.0410346
sopt,0.1,3,0.9999,6,9,9,5,5.465261,7.184579,0.0748497,0.00127361,0.997145,0.0410347
clssopt,0.1,3,0.9999,6,9,9,5,10.453437,9.043437,0.0844416,0.00127361,0.997145,0.0410347
sopt,0.1,3,0.9999,6,9,9,10,3.148803,5.202854,0.086983,0.00127361,0.997145,0.0410347
clssopt,0.1,3,0.9999,6,9,9,10,4.338749,3.273134,0.106403,0.00127361,0.997145,0.0410347
sopt,0.1,3,0.9999,6,9,9,15,3.572826,5.901813,0.108909,0.00127361,0.997145,0.0410347
clssopt,0.1,3,0.9999,6,9,9,15,5.448271,2.915996,0.122625,0.00127361,0.997145,0.0410347
sopt,0.1,3,0.9999,6,9,9,20,3.532717,3.683414,0.124443,0.00127361,0.997145,0.0410347
clssopt,0.1,3,0.9999,6,9,9,20,3.510172,2.672534,0.136452,0.00127361,0.997145,0.0410347
sopt,0.1,3,0.9999,6,9,9,25,3.196326,3.502645,0.128639,0.00127361,0.997145,0.0410347
clssopt,0.1,3,0.9999,6,9,9,25,4.462837,3.218698,0.143353,0.00127361,0.997145,0.0410347
sopt,0.1,3,0.9999,6,9,9,30,4.440115,3.268648,0.159173,0.00127361,0.997145,0.0410347
clssopt,0.1,3,0.9999,6,9,9,30,3.382023,3.462195,0.161377,0.00127361,0.997145,0.0410347
sopt,0.1,3,0.9999,6,9,9,35,4.425785,8.108989,0.167726,0.00127361,0.997145,0.0410347
clssopt,0.1,3,0.9999,6,9,9,35,3.258050,2.849525,0.170145,0.00127361,0.997145,0.0410347
sopt,0.1,3,0.9999,6,9,9,40,4.159059,4.698322,0.180051,0.00127361,0.997145,0.0410347
clssopt,0.1,3,0.9999,6,9,9,40,3.641561,2.040651,0.177082,0.00127361,0.997145,0.0410347
sopt,0.1,3,0.9999,6,9,9,45,4.346849,11.385564,0.194877,0.00127361,0.997145,0.0410346
clssopt,0.1,3,0.9999,6,9,9,45,3.191171,2.206095,0.187804,0.00127361,0.997145,0.0410347
sopt,0.1,3,0.9999,6,9,9,50,4.215240,15.939630,0.420152,0.00127361,0.997145,0.0410346
clssopt,0.1,3,0.9999,6,9,9,50,2.604227,2.108064,0.193749,0.00127361,0.997145,0.0410347
sopt,0.1,3,0.9999,6,9,9,55,4.416478,7.758143,0.218327,0.00127361,0.997145,0.0410346
clssopt,0.1,3,0.9999,6,9,9,55,3.376023,2.799144,0.190945,0.00127361,0.997145,0.0410347
sopt,0.1,3,0.9999,6,9,9,60,3.925432,10.199557,0.224562,0.00127361,0.997145,0.0410346
clssopt,0.1,3,0.9999,6,9,9,60,2.574642,1.963288,0.208624,0.00127361,0.997145,0.0410347
sopt,0.1,3,0.9999,6,9,9,65,3.543915,13.147687,0.243975,0.00127361,0.997145,0.0410347
clssopt,0.1,3,0.9999,6,9,9,65,3.209716,2.068240,0.215144,0.00127361,0.997145,0.0410347
sopt,0.1,3,0.9999,6,9,9,70,3.447609,9.123571,0.24444,0.00127361,0.997145,0.0410347
clssopt,0.1,3,0.9999,6,9,9,70,2.424871,3.103175,0.227968,0.00127361,0.997145,0.0410347
sopt,0.1,3,0.9999,6,9,9,75,3.323189,8.084036,0.254279,0.00127361,0.997145,0.0410347
clssopt,0.1,3,0.9999,6,9,9,75,2.034910,12.938087,0.241179,0.00127361,0.997145,0.0410347
sopt,0.1,3,0.9999,6,9,9,80,3.707294,9.984173,0.258029,0.00127361,0.997145,0.0410347
clssopt,0.1,3,0.9999,6,9,9,80,2.266422,10.523206,0.246884,0.00127361,0.997145,0.0410347
sopt,0.1,3,0.9999,6,9,9,85,3.391227,7.372607,0.25671,0.00127361,0.997145,0.0410347
clssopt,0.1,3,0.9999,6,9,9,85,2.375415,6.071418,0.265373,0.00127361,0.997145,0.0410347
sopt,0.1,3,0.9999,6,9,9,90,3.661849,10.075549,0.279732,0.00127361,0.997145,0.0410347
clssopt,0.1,3,0.9999,6,9,9,90,2.166673,12.025138,0.267609,0.00127361,0.997145,0.0410347
sopt,0.1,3,0.9999,6,9,9,95,3.369488,70.301035,0.280158,0.00127361,0.997145,0.0410347
clssopt,0.1,3,0.9999,6,9,9,95,1.960106,13.657184,0.275431,0.00127361,0.997145,0.0410347
sopt,0.1,3,0.9999,6,9,9,100,3.281709,35.487282,0.28369,0.00127361,0.997145,0.0410347
clssopt,0.1,3,0.9999,6,9,9,100,2.246658,12.929577,0.275097,0.00127361,0.997145,0.0410347
sopt,0.1,4,0.99999,6,14,12,5,6.712922,8.020626,0.0941445,0.00127361,0.997145,0.0410347
clssopt,0.1,4,0.99999,6,14,12,5,7.877689,13.756060,0.116059,0.00127361,0.997145,0.0410347
sopt,0.1,4,0.99999,6,14,12,10,6.467950,9.421168,0.110958,0.00127361,0.997145,0.0410347
clssopt,0.1,4,0.99999,6,14,12,10,5.385130,9.374622,0.122465,0.00127361,0.997145,0.0410347
sopt,0.1,4,0.99999,6,14,12,15,4.836126,5.373005,0.131084,0.00127361,0.997145,0.0410347
clssopt,0.1,4,0.99999,6,14,12,15,4.904303,6.992558,0.127404,0.00127361,0.997145,0.0410347
sopt,0.1,4,0.99999,6,14,12,20,4.030461,4.339190,0.145526,0.00127361,0.997145,0.0410347
clssopt,0.1,4,0.99999,6,14,12,20,3.700187,4.472241,0.143616,0.00127361,0.997145,0.0410347
sopt,0.1,4,0.99999,6,14,12,25,4.405193,3.101749,0.159458,0.00127361,0.997145,0.0410347
clssopt,0.1,4,0.99999,6,14,12,25,3.467519,4.002223,0.154652,0.00127361,0.997145,0.0410347
sopt,0.1,4,0.99999,6,14,12,30,2.947856,3.195143,0.170226,0.00127361,0.997145,0.0410347
clssopt,0.1,4,0.99999,6,14,12,30,2.618898,4.014038,0.165313,0.00127361,0.997145,0.0410347
sopt,0.1,4,0.99999,6,14,12,35,3.324139,2.585698,0.183352,0.00127361,0.997145,0.0410347
clssopt,0.1,4,0.99999,6,14,12,35,2.965251,4.071837,0.173414,0.00127361,0.997145,0.0410347
sopt,0.1,4,0.99999,6,14,12,40,3.168313,3.246197,0.21167,0.00127361,0.997145,0.0410347
clssopt,0.1,4,0.99999,6,14,12,40,2.682424,4.280624,0.19209,0.00127361,0.997145,0.0410347
sopt,0.1,4,0.99999,6,14,12,45,3.275472,2.676837,0.209049,0.00127361,0.997145,0.0410347
clssopt,0.1,4,0.99999,6,14,12,45,2.575748,3.766492,0.200165,0.00127361,0.997145,0.0410347
sopt,0.1,4,0.99999,6,14,12,50,3.112206,2.700818,0.217303,0.00127361,0.997145,0.0410347
clssopt,0.1,4,0.99999,6,14,12,50,2.652434,3.760503,0.209253,0.00127361,0.997145,0.0410347
sopt,0.1,4,0.99999,6,14,12,55,3.227747,2.700939,0.218979,0.00127361,0.997145,0.0410347
clssopt,0.1,4,0.99999,6,14,12,55,3.367212,3.706786,0.215385,0.00127361,0.997145,0.0410347
sopt,0.1,4,0.99999,6,14,12,60,4.394890,2.558346,0.231634,0.00127361,0.997145,0.0410347
clssopt,0.1,4,0.99999,6,14,12,60,2.827108,3.322539,0.222023,0.00127361,0.997145,0.0410347
sopt,0.1,4,0.99999,6,14,12,65,3.613908,2.613610,0.235336,0.00127361,0.997145,0.0410347
clssopt,0.1,4,0.99999,6,14,12,65,2.791285,3.392408,0.228818,0.00127361,0.997145,0.0410347
sopt,0.1,4,0.99999,6,14,12,70,3.352401,2.966123,0.24411,0.00127361,0.997145,0.0410347
clssopt,0.1,4,0.99999,6,14,12,70,3.245784,4.842338,0.245596,0.00127361,0.997145,0.0410347
sopt,0.1,4,0.99999,6,14,12,75,3.857938,2.456638,0.248533,0.00127361,0.997145,0.0410347
clssopt,0.1,4,0.99999,6,14,12,75,3.200726,2.876344,0.250623,0.00127361,0.997145,0.0410347
sopt,0.1,4,0.99999,6,14,12,80,3.506211,2.379033,0.25676,0.00127361,0.997145,0.0410347
clssopt,0.1,4,0.99999,6,14,12,80,3.061032,3.167803,0.256118,0.00127361,0.997145,0.0410347
sopt,0.1,4,0.99999,6,14,12,85,3.778515,2.585804,0.264784,0.00127361,0.997145,0.0410347
clssopt,0.1,4,0.99999,6,14,12,85,2.692483,3.560933,0.266104,0.00127361,0.997145,0.0410347
sopt,0.1,4,0.99999,6,14,12,90,3.112976,2.641501,0.265062,0.00127361,0.997145,0.0410347
clssopt,0.1,4,0.99999,6,14,12,90,2.664148,3.189760,0.270272,0.00127361,0.997145,0.0410347
sopt,0.1,4,0.99999,6,14,12,95,3.308527,2.989034,0.274984,0.00127361,0.997145,0.0410347
clssopt,0.1,4,0.99999,6,14,12,95,2.692124,3.310367,0.265545,0.00127361,0.997145,0.0410347
sopt,0.1,4,0.99999,6,14,12,100,3.027921,2.545476,0.279841,0.00127361,0.997145,0.0410347
clssopt,0.1,4,0.99999,6,14,12,100,2.619827,2.366171,0.272544,0.00127361,0.997145,0.0410347
sopt,0.1,5,0.999999,6,20,18,5,12.150154,22.681085,0.113471,0.00127361,0.997145,0.0410347
clssopt,0.1,5,0.999999,6,20,18,5,14.330920,16.672637,0.117479,0.00127361,0.997145,0.0410347
