method,t,n,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
clsqdeim,0.1,1,6,4,3,55,2.098887,4.519460,0.176057,1.41979e-05,0.010753,0.00139573
clsgnat,0.1,1,6,4,3,55,2.504568,4.113192,0.539712,nan,nan,nan
dopt,0.1,1,6,4,3,55,1.609670,83.216294,0.197618,0.00127367,0.997204,0.0410352
qdeim,0.1,1,6,4,3,55,1.961284,2.023755,0.214494,5.51153e-05,0.02029,0.00116207
gnat,0.1,1,6,4,3,55,2.687204,2.358991,0.254934,3.98298e-05,0.0321612,0.00286392
clsdopt,0.1,1,6,4,3,60,3.828301,70.111763,0.180175,0.00127374,0.997265,0.041036
clsqdeim,0.1,1,6,4,3,60,6.737800,4.638530,0.174695,1.40883e-05,0.0107642,0.00139072
clsgnat,0.1,1,6,4,3,60,2.337727,4.488090,0.462694,nan,nan,nan
dopt,0.1,1,6,4,3,60,2.183831,46575.234681,0.330607,0.00127367,0.997206,0.0410352
qdeim,0.1,1,6,4,3,60,12.464762,4.512555,0.224207,5.5523e-05,0.0201521,0.00116337
gnat,0.1,1,6,4,3,60,2.534005,2.338779,0.272659,3.99262e-05,0.0321793,0.00286512
clsdopt,0.1,1,6,4,3,65,3.822135,75.702625,0.18292,0.00127374,0.997265,0.041036
clsqdeim,0.1,1,6,4,3,65,2.045004,3.664823,0.178947,1.40029e-05,0.0107678,0.00138632
clsgnat,0.1,1,6,4,3,65,2.579139,4.408833,0.43556,nan,nan,nan
dopt,0.1,1,6,4,3,65,1.304942,65.954824,0.205365,0.00127367,0.997206,0.0410352
qdeim,0.1,1,6,4,3,65,2.095752,2.195865,0.23598,5.54725e-05,0.0199656,0.00116067
gnat,0.1,1,6,4,3,65,3.886735,2.388103,0.283468,4.01115e-05,0.0321878,0.00287062
clsdopt,0.1,1,6,4,3,70,3.822050,76.129714,0.192286,0.00127374,0.997265,0.041036
clsqdeim,0.1,1,6,4,3,70,2.143868,3.145210,0.180417,1.71377e-05,0.0103422,0.00119885
clsgnat,0.1,1,6,4,3,70,2.435213,4.407868,0.623399,nan,nan,nan
dopt,0.1,1,6,4,3,70,1.427574,64.559169,0.209812,0.00127367,0.997206,0.0410352
qdeim,0.1,1,6,4,3,70,2.118669,2.349654,0.24872,5.53941e-05,0.0197938,0.00115787
gnat,0.1,1,6,4,3,70,2.771310,2.570457,0.536094,2.57735e-05,0.0229906,0.00170124
clsdopt,0.1,1,6,4,3,75,3.817717,67.844744,0.195864,0.00127374,0.997265,0.041036
clsqdeim,0.1,1,6,4,3,75,7.349725,3.626120,0.194845,2.97335e-05,0.0115302,0.000929808
clsgnat,0.1,1,6,4,3,75,2.208015,4.388158,0.43822,nan,nan,nan
dopt,0.1,1,6,4,3,75,1.564455,61.617971,0.216476,0.00127367,0.997206,0.0410352
qdeim,0.1,1,6,4,3,75,11.559069,2.800423,0.25129,5.53058e-05,0.0196406,0.00115547
gnat,0.1,1,6,4,3,75,2.408142,2.372910,0.552868,2.53198e-05,0.0209431,0.00169877
clsdopt,0.1,1,6,4,3,80,3.818874,34391.564222,0.202223,0.00127374,0.997265,0.041036
clsqdeim,0.1,1,6,4,3,80,2.120344,4.689925,0.208459,4.0174e-05,0.0141551,0.000857168
clsgnat,0.1,1,6,4,3,80,2.435677,4.729683,0.512215,nan,nan,nan
dopt,0.1,1,6,4,3,80,1.531353,32189.640605,0.226567,0.00127367,0.997207,0.0410352
qdeim,0.1,1,6,4,3,80,2.482593,3.311910,0.264742,5.38777e-05,0.0211629,0.00115918
gnat,0.1,1,6,4,3,80,3.176540,2.652627,0.572757,2.4883e-05,0.01975,0.00169713
clsdopt,0.1,1,6,4,3,85,3.976079,59.824978,0.207663,0.00127374,0.997265,0.041036
clsqdeim,0.1,1,6,4,3,85,2.150773,4.073973,0.22086,4.82345e-05,0.0168864,0.000883992
clsgnat,0.1,1,6,4,3,85,2.239300,4.781988,0.454044,nan,nan,nan
dopt,0.1,1,6,4,3,85,1.565945,65.036934,0.231132,0.00127367,0.997207,0.0410352
qdeim,0.1,1,6,4,3,85,2.730988,2.926368,0.283284,5.3176e-05,0.0222054,0.00116498
gnat,0.1,1,6,4,3,85,2.498647,2.494504,0.603832,2.45836e-05,0.0184311,0.00169472
clsdopt,0.1,1,6,4,3,90,3.787496,58.670569,0.216017,0.00127374,0.997265,0.041036
clsqdeim,0.1,1,6,4,3,90,8.031423,5.483868,0.22305,5.26915e-05,0.0185979,0.000926504
clsgnat,0.1,1,6,4,3,90,2.212778,4.802629,0.588819,nan,nan,nan
dopt,0.1,1,6,4,3,90,2.318277,63.492299,0.235769,0.00127367,0.997207,0.0410352
qdeim,0.1,1,6,4,3,90,10.614374,3.449465,0.29845,5.28263e-05,0.0227923,0.00116879
gnat,0.1,1,6,4,3,90,2.265009,2.782252,0.619923,2.43372e-05,0.0174257,0.0016931
clsdopt,0.1,1,6,4,3,95,3.787574,55.820573,0.219918,0.00127374,0.997265,0.041036
clsqdeim,0.1,1,6,4,3,95,2.118117,7.315450,0.225912,5.37812e-05,0.0190161,0.000938962
clsgnat,0.1,1,6,4,3,95,2.420509,4.576990,0.762104,nan,nan,nan
dopt,0.1,1,6,4,3,95,2.332258,54.615512,0.237183,0.00127367,0.997207,0.0410352
qdeim,0.1,1,6,4,3,95,3.428038,3.184088,0.344715,5.31517e-05,0.0229335,0.0011754
gnat,0.1,1,6,4,3,95,2.464614,2.641309,0.626486,2.40787e-05,0.0168456,0.00169262
clsdopt,0.1,1,6,4,3,100,3.785765,41142.712596,0.220022,0.00127374,0.997265,0.041036
clsqdeim,0.1,1,6,4,3,100,2.110726,5.084651,0.23872,5.48966e-05,0.0194512,0.000953231
clsgnat,0.1,1,6,4,3,100,2.181542,4.739459,0.789201,nan,nan,nan
dopt,0.1,1,6,4,3,100,2.334001,34584.337160,0.242886,0.00127367,0.997207,0.0410352
qdeim,0.1,1,6,4,3,100,3.518387,3.337863,0.294954,5.32325e-05,0.0232018,0.00118117
gnat,0.1,1,6,4,3,100,2.460238,2.571517,0.665486,2.38988e-05,0.0161008,0.0016918
clsdopt,0.1,2,6,6,5,5,5.199923,5.347888,0.0742273,0.00127361,0.997144,0.0410346
clsqdeim,0.1,2,6,6,5,5,8.022366,9.186246,0.166775,2.46458e-05,0.00919111,0.00187453
clsgnat,0.1,2,6,6,5,5,14.278026,5.837648,0.125169,0.00127634,,
dopt,0.1,2,6,6,5,5,4.756173,3.956250,0.0676739,0.00127361,0.997146,0.0410346
qdeim,0.1,2,6,6,5,5,5.499452,3.862559,0.135412,2.21979e-05,0.0141562,0.00170291
gnat,0.1,2,6,6,5,5,3.357795,4.284635,0.16488,2.10886e-05,0.0129421,0.00188961
clsdopt,0.1,2,6,6,5,10,5.308096,4.904876,0.0978572,0.00127361,0.997145,0.0410346
clsqdeim,0.1,2,6,6,5,10,76.828476,5.643874,0.183629,1.56644e-05,0.021467,0.00106164
clsgnat,0.1,2,6,6,5,10,6.162124,7.941019,0.15158,0.00127634,,
dopt,0.1,2,6,6,5,10,4.496194,3.224400,0.097928,0.00127361,0.997146,0.0410346
qdeim,0.1,2,6,6,5,10,41.814148,3.189760,0.14889,2.28177e-05,0.0143382,0.00166424
gnat,0.1,2,6,6,5,10,7.647307,3.604855,0.197285,2.10855e-05,0.0129396,0.00188973
clsdopt,0.1,2,6,6,5,15,4.342412,2.443232,0.117586,0.00127361,0.997145,0.0410346
clsqdeim,0.1,2,6,6,5,15,3.810356,11.794343,0.194349,2.47071e-05,0.0115858,0.00143503
clsgnat,0.1,2,6,6,5,15,6.297180,7.768212,0.173001,0.00127634,,
dopt,0.1,2,6,6,5,15,4.322593,2.758528,0.104582,0.00127361,0.997146,0.0410346
qdeim,0.1,2,6,6,5,15,5737.293884,36.252532,0.162359,2.28391e-05,0.0143823,0.00166481
gnat,0.1,2,6,6,5,15,3.357795,3.262424,0.228236,2.10871e-05,0.0129397,0.00188979
clsdopt,0.1,2,6,6,5,20,3.615573,2.641713,0.127711,0.00127361,0.997145,0.0410346
clsqdeim,0.1,2,6,6,5,20,4.478716,7.430522,0.240809,2.42428e-05,0.00750809,0.00184532
clsgnat,0.1,2,6,6,5,20,6.254948,3.680608,0.151733,0.00127634,,
dopt,0.1,2,6,6,5,20,4.000398,9.162214,0.114654,0.00127361,0.997145,0.0410346
qdeim,0.1,2,6,6,5,20,4987.022437,4.170414,0.192974,2.28376e-05,0.0144,0.00166558
gnat,0.1,2,6,6,5,20,9.056004,3.877510,0.246007,2.10614e-05,0.012981,0.00188706
clsdopt,0.1,2,6,6,5,25,3.246272,9.131348,0.144805,0.00127361,0.997145,0.0410346
clsqdeim,0.1,2,6,6,5,25,2.210555,6.388512,0.305304,2.5362e-05,0.0081526,0.00199439
clsgnat,0.1,2,6,6,5,25,7.261214,4.383708,0.191378,0.00127634,,
dopt,0.1,2,6,6,5,25,5.069677,9.574116,0.132748,0.00127361,0.997145,0.0410346
qdeim,0.1,2,6,6,5,25,5518.680564,3.390072,0.205209,2.28249e-05,0.0143969,0.00166671
gnat,0.1,2,6,6,5,25,7.766740,3.419368,0.264549,2.10466e-05,0.0130205,0.00188506
clsdopt,0.1,2,6,6,5,30,3.225203,6.464607,0.161607,0.00127361,0.997145,0.0410346
clsqdeim,0.1,2,6,6,5,30,2.416807,5.379024,0.314363,2.0178e-05,0.00890476,0.00174391
clsgnat,0.1,2,6,6,5,30,9.849724,4.967924,0.246281,0.00127634,,
dopt,0.1,2,6,6,5,30,6.319971,23.374811,0.132651,0.00127361,0.997145,0.0410346
qdeim,0.1,2,6,6,5,30,5087.262244,2877.240190,0.217584,2.27798e-05,0.014371,0.00166667
gnat,0.1,2,6,6,5,30,7.412651,6.782219,0.291867,2.10374e-05,0.0130552,0.00188363
clsdopt,0.1,2,6,6,5,35,3.152978,7.746769,0.162938,0.00127361,0.997145,0.0410346
clsqdeim,0.1,2,6,6,5,35,2.191009,4.811615,0.344417,2.03167e-05,0.00908106,0.00176291
clsgnat,0.1,2,6,6,5,35,100.139916,4.034592,0.23144,0.00127634,,
dopt,0.1,2,6,6,5,35,6.125878,18.793725,0.149008,0.00127361,0.997145,0.0410346
qdeim,0.1,2,6,6,5,35,7.268685,2.895941,0.205689,2.26783e-05,0.0143074,0.00166632
gnat,0.1,2,6,6,5,35,7.236521,3.051761,0.326882,2.10293e-05,0.0130859,0.00188256
clsdopt,0.1,2,6,6,5,40,3.105700,3.759854,0.177251,0.00127361,0.997145,0.0410346
clsqdeim,0.1,2,6,6,5,40,2.227189,5.213601,0.396211,2.03812e-05,0.00919164,0.00179281
clsgnat,0.1,2,6,6,5,40,10.625426,4.994212,0.214203,0.00127634,,
dopt,0.1,2,6,6,5,40,5.445867,19.420614,0.159479,0.00127361,0.997145,0.0410346
qdeim,0.1,2,6,6,5,40,15.577687,7.600410,0.221436,2.26734e-05,0.0143065,0.00166632
gnat,0.1,2,6,6,5,40,5.473177,3.552938,0.375102,2.1014e-05,0.0132811,0.0018766
clsdopt,0.1,2,6,6,5,45,6.673042,92.555759,0.187395,0.00127361,0.997145,0.0410346
