method,window,w,t,q,ErrX,ErrV,ErrE,TT2,nqp
EQPglobal,80,18,0.8,0.999,,1.50787e-07,1.20987e-05,2.65359e-06,3.40243,4,4,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,243,162,243,243,332,249,
EQP,80,18,0.8,0.999,80,0.00566796,0.11569,0.0115731,3.18452,4,4,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,
EQP,80,18,0.8,0.999,120,0.00268889,0.0443981,0.00933374,2.79981,4,4,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,
EQP,80,18,0.8,0.999,160,0.00174994,0.0276486,0.00800256,3.59788,4,4,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,
EQP,80,18,0.8,0.999,200,0.00119381,0.018047,0.00120485,3.82711,4,4,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,200,162,200,200,200,200,
EQP,80,18,0.8,0.999,240,0.000178017,0.0037181,0.00181643,3.28107,4,4,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,240,162,240,240,240,240,
EQP,80,18,0.8,0.999,280,0.000127882,0.00142304,0.000966846,3.42605,4,4,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,243,162,243,243,280,249,
EQP,80,18,0.8,0.999,320,1.04687e-06,1.932e-05,2.41597e-05,4.103,4,4,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,243,162,243,243,320,249,
EQP,80,18,0.8,0.999,360,1.50787e-07,1.20987e-05,2.65359e-06,4.21851,4,4,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,243,162,243,243,332,249,
EQP,80,18,0.8,0.999,400,1.50787e-07,1.20987e-05,2.65359e-06,4.31058,4,4,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,243,162,243,243,332,249,
EQPglobal,80,18,0.8,0.9999,,3.39825e-08,8.85342e-07,4.46964e-07,5.09212,8,8,243,243,243,243,324,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,324,243,324,324,415,332,
EQP,80,18,0.8,0.9999,80,0.0104279,0.222948,0.0394404,3.09236,8,8,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,
EQP,80,18,0.8,0.9999,120,0.00521973,0.111866,0.0163705,3.88476,8,8,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,
EQP,80,18,0.8,0.9999,160,0.00360577,0.079131,0.00872568,4.20567,8,8,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,
EQP,80,18,0.8,0.9999,200,0.00239077,0.0553755,0.00753115,4.78566,8,8,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,200,
EQP,80,18,0.8,0.9999,240,0.00153296,0.0242671,0.00240214,4.83793,8,8,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,240,
EQP,80,18,0.8,0.9999,280,0.00112912,0.0201784,0.00188237,4.20236,8,8,243,243,243,243,280,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,280,243,280,280,280,280,
EQP,80,18,0.8,0.9999,320,0.000226375,0.00399522,0.00333195,4.31587,8,8,243,243,243,243,320,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,320,243,320,320,320,320,
EQP,80,18,0.8,0.9999,360,0.000155517,0.00215604,0.000263748,5.20182,8,8,243,243,243,243,324,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,324,243,324,324,360,332,
EQP,80,18,0.8,0.9999,400,1.53611e-05,0.000259051,0.000114839,5.30733,8,8,243,243,243,243,324,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,324,243,324,324,400,332,
