method,t,n,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
sopt,0.01,1,3,4,8,10,5.342257,3.620383,0.0521272,2.71254e-07,0.000172749,9.72279e-06
qdeim,0.01,1,3,4,8,10,10.210968,1.632397,0.0514825,1.78953e-07,0.000178377,7.22106e-06
sopt,0.01,1,3,4,8,20,3.897965,2.212502,0.0602249,2.42322e-07,0.000164684,8.9757e-06
qdeim,0.01,1,3,4,8,20,5.379812,1.742750,0.0493232,1.85958e-07,0.000180308,8.3963e-06
sopt,0.01,1,3,4,8,30,3.867674,2.055805,0.063072,2.52799e-07,0.000163617,8.16453e-06
qdeim,0.01,1,3,4,8,30,3.801259,1.597497,0.0587384,1.99799e-07,0.000175732,8.77889e-06
sopt,0.01,1,3,4,8,40,2.604811,2.028575,0.0730989,2.41415e-07,0.000163054,7.76697e-06
qdeim,0.01,1,3,4,8,40,6.573103,1.481515,0.0659059,2.49327e-07,0.000193325,8.96149e-06
sopt,0.01,1,3,4,8,50,2.514860,2.508100,0.0804616,2.23641e-07,0.000163087,8.43042e-06
qdeim,0.01,1,3,4,8,50,3.398722,1.783503,0.0650948,2.74566e-07,0.000200092,9.29341e-06
sopt,0.01,1,3,4,8,60,2.802351,1.932270,0.0867152,2.29596e-07,0.000162871,8.78898e-06
qdeim,0.01,1,3,4,8,60,3.911976,2.901270,0.075555,2.77638e-07,0.000201212,9.45157e-06
sopt,0.01,1,3,4,8,70,2.453454,1.639406,0.0913696,2.33307e-07,0.00016418,8.66465e-06
qdeim,0.01,1,3,4,8,70,2.742775,1.982730,0.0821579,2.81578e-07,0.000201666,9.77185e-06
sopt,0.01,1,3,4,8,80,2.817916,1.796053,0.0942056,2.30327e-07,0.000162261,9.25458e-06
qdeim,0.01,1,3,4,8,80,4.435732,3.122271,0.0832549,2.54199e-07,0.000196032,1.05543e-05
sopt,0.01,1,3,4,8,90,2.828473,1.878814,0.102791,2.27757e-07,0.000159697,9.84066e-06
qdeim,0.01,1,3,4,8,90,3.329166,1.347684,0.0812965,2.58063e-07,0.000197162,1.10438e-05
sopt,0.01,1,3,4,8,100,2.513973,1.860009,0.104063,2.27498e-07,0.000159618,1.00583e-05
qdeim,0.01,1,3,4,8,100,3.124293,2.663855,0.0865762,2.43446e-07,0.00018939,9.74681e-06
sopt,0.01,1,3,4,8,110,2.776513,1.780498,0.113661,2.26372e-07,0.0001587,9.87149e-06
qdeim,0.01,1,3,4,8,110,2.715139,1.540710,0.0867606,2.51075e-07,0.000188081,9.18043e-06
sopt,0.01,1,3,4,8,120,3.214144,1.766863,0.120404,2.26172e-07,0.000159734,9.95641e-06
qdeim,0.01,1,3,4,8,120,3.615720,2.639325,0.0888025,2.43899e-07,0.000183858,7.59006e-06
sopt,0.01,1,3,4,8,130,2.791228,1.829334,0.130751,2.25898e-07,0.000160065,1.0312e-05
qdeim,0.01,1,3,4,8,130,2.434929,1.832386,0.0933683,2.45997e-07,0.000181946,7.65554e-06
sopt,0.01,1,3,4,8,140,3.047230,1.775183,0.140417,2.2564e-07,0.0001588,1.03888e-05
qdeim,0.01,1,3,4,8,140,2.383417,2.707923,0.0921755,2.43237e-07,0.000183445,7.76398e-06
sopt,0.01,1,3,4,8,150,2.814000,1.927056,0.150966,2.25496e-07,0.00015878,1.06911e-05
qdeim,0.01,1,3,4,8,150,2.310969,1.645498,0.097744,2.36377e-07,0.00018484,7.8051e-06
sopt,0.01,1,3,4,8,160,3.268582,1.757691,0.159525,2.25793e-07,0.00015821,1.0937e-05
qdeim,0.01,1,3,4,8,160,3.145615,3.089102,0.0988414,2.20182e-07,0.000179226,7.08471e-06
sopt,0.01,1,3,4,8,170,2.794112,1.819335,0.161175,2.25344e-07,0.000157139,1.10961e-05
qdeim,0.01,1,3,4,8,170,2.432021,1.556227,0.105196,2.17278e-07,0.000176956,6.88376e-06
sopt,0.01,1,3,4,8,180,2.614947,1.762278,0.16409,2.25178e-07,0.000156543,1.13337e-05
qdeim,0.01,1,3,4,8,180,2.439698,2.866462,0.102982,2.17118e-07,0.000177113,6.94687e-06
sopt,0.01,1,3,4,8,190,2.477318,1.756215,0.177411,2.24843e-07,0.000155637,1.15637e-05
qdeim,0.01,1,3,4,8,190,2.119047,1.530411,0.107928,2.12509e-07,0.00017639,6.8312e-06
sopt,0.01,1,3,4,8,200,3.183812,1.782460,0.180888,2.25084e-07,0.000155129,1.17411e-05
qdeim,0.01,1,3,4,8,200,2.851429,2.395468,0.109323,2.10276e-07,0.000177788,7.07422e-06
sopt,0.01,2,3,7,11,10,8.423175,13.514494,0.0477004,1.52216e-07,0.000163417,6.74179e-06
qdeim,0.01,2,3,7,11,10,7.419999,8.092618,0.0502285,1.72682e-07,0.000155741,6.46061e-06
sopt,0.01,2,3,7,11,20,5.389718,4.764656,0.0634914,1.50566e-07,0.000162385,6.17814e-06
qdeim,0.01,2,3,7,11,20,5.431158,4.561927,0.0561508,1.73002e-07,0.000157033,6.72465e-06
sopt,0.01,2,3,7,11,30,4.906149,4.927931,0.0654074,1.44194e-07,0.000161132,5.98825e-06
qdeim,0.01,2,3,7,11,30,4.559190,4.277074,0.0693868,1.69682e-07,0.000155604,6.4807e-06
sopt,0.01,2,3,7,11,40,3.454945,3.836316,0.0703206,1.56936e-07,0.000160497,5.80943e-06
qdeim,0.01,2,3,7,11,40,3.376928,3.209098,0.0684404,1.69554e-07,0.000158019,6.3861e-06
sopt,0.01,2,3,7,11,50,3.552747,3.629029,0.071042,1.57762e-07,0.000160862,5.69357e-06
qdeim,0.01,2,3,7,11,50,2.922688,2.385620,0.0774251,1.66854e-07,0.000159836,6.50901e-06
sopt,0.01,2,3,7,11,60,3.028695,3.318641,0.0808641,1.48848e-07,0.000160779,5.77563e-06
qdeim,0.01,2,3,7,11,60,3.226973,2.345045,0.0861233,1.59619e-07,0.000159215,6.56263e-06
sopt,0.01,2,3,7,11,70,2.806478,3.744374,0.0787765,1.54062e-07,0.000161191,5.72146e-06
qdeim,0.01,2,3,7,11,70,3.080112,3.250031,0.0912169,1.53851e-07,0.000158378,6.6492e-06
sopt,0.01,2,3,7,11,80,3.131798,3.177014,0.0894368,1.51699e-07,0.000161484,5.60474e-06
qdeim,0.01,2,3,7,11,80,3.239719,2.124947,0.0980127,1.54107e-07,0.000158996,6.65434e-06
sopt,0.01,2,3,7,11,90,3.244021,3.604265,0.0929159,1.51293e-07,0.000161967,5.49071e-06
qdeim,0.01,2,3,7,11,90,2.995304,1.710796,0.0993543,1.54069e-07,0.0001601,6.33593e-06
sopt,0.01,2,3,7,11,100,3.018888,3.198198,0.103202,1.50726e-07,0.000161578,5.43131e-06
qdeim,0.01,2,3,7,11,100,2.705715,2.339157,0.105832,1.538e-07,0.000159896,5.95581e-06
sopt,0.01,2,3,7,11,110,3.558962,3.454504,0.103804,1.5206e-07,0.000161913,5.33729e-06
qdeim,0.01,2,3,7,11,110,3.629059,2.274553,0.112497,1.52409e-07,0.000164312,6.00519e-06
sopt,0.01,2,3,7,11,120,2.890947,2.872492,0.111744,1.5273e-07,0.000161903,5.32553e-06
qdeim,0.01,2,3,7,11,120,3.023212,1.758638,0.1267,1.51711e-07,0.000165087,6.07052e-06
sopt,0.01,2,3,7,11,130,2.646011,2.719128,0.11898,1.53219e-07,0.000161432,5.38737e-06
qdeim,0.01,2,3,7,11,130,2.676813,2.040405,0.112517,1.5494e-07,0.000166105,5.85301e-06
sopt,0.01,2,3,7,11,140,2.664133,3.040426,0.117287,1.53759e-07,0.000161199,5.35948e-06
qdeim,0.01,2,3,7,11,140,2.959825,3.939393,0.121909,1.53469e-07,0.000165777,5.79699e-06
sopt,0.01,2,3,7,11,150,2.545441,2.975361,0.121939,1.53987e-07,0.000161143,5.35607e-06
qdeim,0.01,2,3,7,11,150,2.617758,1.938098,0.123435,1.5698e-07,0.000166678,5.62178e-06
sopt,0.01,2,3,7,11,160,2.453960,3.046459,0.126771,1.54258e-07,0.000161355,5.328e-06
qdeim,0.01,2,3,7,11,160,2.825900,2.153082,0.125204,1.54485e-07,0.000167413,5.80825e-06
sopt,0.01,2,3,7,11,170,2.607542,2.957297,0.131012,1.54743e-07,0.000161522,5.31103e-06
qdeim,0.01,2,3,7,11,170,2.737617,2.133506,0.129921,1.54675e-07,0.000167141,5.76194e-06
