method,t,n,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
clssopt,0.01,1,3,4,8,10,3.657199,32.045270,0.0471127,3.1908e-06,0.00913642,0.00705378
clsqdeim,0.01,1,3,4,8,10,3.655504,1.661915,0.052524,5.60425e-07,0.000327079,2.95872e-05
clssopt,0.01,1,3,4,8,20,2.832838,2.260923,0.0532488,3.52007e-06,0.00326769,0.00368256
clsqdeim,0.01,1,3,4,8,20,2.542926,2.284335,0.0619455,7.78231e-07,0.000627686,0.00010351
clssopt,0.01,1,3,4,8,30,2.216893,2.122933,0.0623858,4.05454e-06,0.00400381,0.00434593
clsqdeim,0.01,1,3,4,8,30,1.876784,1.462875,0.0693136,2.01745e-06,0.000425863,6.92924e-05
clssopt,0.01,1,3,4,8,40,1.955116,1.000000,0.0726517,5.2102e-06,0.00598655,0.00520977
clsqdeim,0.01,1,3,4,8,40,2.328311,2.038332,0.0817402,3.31174e-06,0.00211258,0.000460332
clssopt,0.01,1,3,4,8,50,1.753702,1.000000,0.0763394,4.34555e-06,0.00517318,0.00432836
clsqdeim,0.01,1,3,4,8,50,1.967783,1.323944,0.0871638,4.43343e-06,0.00233934,0.000438341
clssopt,0.01,1,3,4,8,60,2.188152,1.000000,0.0904406,5.29443e-06,0.00348629,0.00374272
clsqdeim,0.01,1,3,4,8,60,2.022239,1.609496,0.0948182,4.54277e-06,0.00219422,0.000371376
clssopt,0.01,1,3,4,8,70,1.543422,1.000000,0.0958514,4.84114e-06,0.00222093,0.00281893
clsqdeim,0.01,1,3,4,8,70,1.627839,1.447676,0.0931122,5.13598e-06,0.00321776,0.000639092
clssopt,0.01,1,3,4,8,80,1.909658,1.000000,0.098859,4.47641e-06,0.00225319,0.00268294
clsqdeim,0.01,1,3,4,8,80,1.857527,1.787307,0.110012,4.86796e-06,0.00447157,0.000958825
clssopt,0.01,1,3,4,8,90,1.691071,1.000000,0.104535,4.41384e-06,0.00225243,0.00264818
clsqdeim,0.01,1,3,4,8,90,1.535066,1.215553,0.106951,3.38866e-06,0.00304291,0.000620924
clssopt,0.01,1,3,4,8,100,1.753576,1.000000,0.11021,4.4138e-06,0.00225242,0.00264817
clsqdeim,0.01,1,3,4,8,100,1.549021,2.449388,0.11624,2.4672e-06,0.00137254,0.000241736
clssopt,0.01,1,3,4,8,110,2.712201,1.334185,0.115932,4.41378e-06,0.00225242,0.00264816
clsqdeim,0.01,1,3,4,8,110,1.477740,1.148085,0.129148,1.47297e-06,0.000870794,0.00014711
clssopt,0.01,1,3,4,8,120,1.869804,1.322876,0.127717,4.41376e-06,0.00225241,0.00264815
clsqdeim,0.01,1,3,4,8,120,1.681104,1.844588,0.139408,3.18221e-06,0.00242837,0.000493067
clssopt,0.01,1,3,4,8,130,2.008953,1.322876,0.125039,4.41376e-06,0.00225241,0.00264815
clsqdeim,0.01,1,3,4,8,130,1.425416,1.214305,0.13789,4.69041e-06,0.00322127,0.000783692
clssopt,0.01,1,3,4,8,140,1.171336,1.322876,0.126817,4.41376e-06,0.00225241,0.00264815
clsqdeim,0.01,1,3,4,8,140,1.458887,1.841715,0.142005,5.69985e-06,0.0046301,0.00117599
clssopt,0.01,1,3,4,8,150,1.379611,1.322876,0.123019,4.41376e-06,0.00225241,0.00264815
clsqdeim,0.01,1,3,4,8,150,1.471745,1.453564,0.144544,3.59195e-06,0.00204728,0.000487658
clssopt,0.01,1,3,4,8,160,1.884758,2.857778,0.137621,4.41376e-06,0.00225241,0.00264815
clsqdeim,0.01,1,3,4,8,160,1.499901,1.372818,0.149947,2.5869e-06,0.00110256,0.000246743
clssopt,0.01,1,3,4,8,170,2.889494,1.765656,0.126383,4.41373e-06,0.0022524,0.00264814
clsqdeim,0.01,1,3,4,8,170,1.295813,1.172980,0.157766,1.37801e-06,0.00111908,0.000246928
clssopt,0.01,1,3,4,8,180,2.992741,1.322876,0.127599,4.41374e-06,0.0022524,0.00264814
clsqdeim,0.01,1,3,4,8,180,1.367699,1.257997,0.160705,3.56755e-06,0.00111928,0.000275807
clssopt,0.01,1,3,4,8,190,2.580973,1.322876,0.132369,4.41374e-06,0.0022524,0.00264814
clsqdeim,0.01,1,3,4,8,190,1.381743,1.340838,0.167713,3.54914e-06,0.00105018,0.00025104
clssopt,0.01,1,3,4,8,200,6.745586,1.322876,0.131684,4.41374e-06,0.0022524,0.00264814
clsqdeim,0.01,1,3,4,8,200,1.526044,1.470539,0.171063,3.54965e-06,0.000975981,0.000193546
clssopt,0.01,2,3,7,11,10,4.657911,3.596937,0.0843085,2.27547e-07,0.000184314,6.93683e-06
clsqdeim,0.01,2,3,7,11,10,4.066773,2.636840,0.0582373,4.439e-07,0.000677329,3.82789e-05
clssopt,0.01,2,3,7,11,20,3.496226,2.679357,0.0611698,1.5786e-07,0.000174598,4.60237e-06
clsqdeim,0.01,2,3,7,11,20,2.547242,2.688965,0.0644719,2.46109e-07,0.000473017,2.93723e-05
clssopt,0.01,2,3,7,11,30,2.473351,1.361944,0.0700501,1.74855e-07,0.00017537,5.31587e-06
clsqdeim,0.01,2,3,7,11,30,2.264383,1.680909,0.079261,1.6647e-07,0.000251691,8.17411e-05
clssopt,0.01,2,3,7,11,40,2.377460,1.087185,0.0715279,1.78618e-07,0.000174636,5.13291e-06
clsqdeim,0.01,2,3,7,11,40,1.915599,1.652289,0.0860732,2.52465e-07,0.00021585,5.59669e-05
clssopt,0.01,2,3,7,11,50,2.556983,1.817346,0.0834946,1.74345e-07,0.00017395,5.08808e-06
clsqdeim,0.01,2,3,7,11,50,2.157261,1.522359,0.0938333,2.28662e-07,0.000206859,5.88895e-05
clssopt,0.01,2,3,7,11,60,1.770913,3.440710,0.0952074,1.74345e-07,0.00017395,5.08808e-06
clsqdeim,0.01,2,3,7,11,60,2.292998,1.407115,0.10719,1.35727e-07,0.000234486,3.70688e-05
clssopt,0.01,2,3,7,11,70,1.829156,2.016236,0.103051,1.74345e-07,0.00017395,5.08809e-06
clsqdeim,0.01,2,3,7,11,70,1.743389,2.473225,0.112697,2.10238e-07,0.000205993,4.45777e-05
clssopt,0.01,2,3,7,11,80,1.658035,3.750209,0.109663,1.74345e-07,0.00017395,5.08809e-06
clsqdeim,0.01,2,3,7,11,80,1.651194,1.272434,0.129864,2.28451e-07,0.000207234,3.89038e-05
clssopt,0.01,2,3,7,11,90,1.412044,566.864260,0.111424,1.74345e-07,0.00017395,5.08809e-06
clsqdeim,0.01,2,3,7,11,90,1.722950,1.382219,0.134845,2.32033e-07,0.000206206,3.63544e-05
clssopt,0.01,2,3,7,11,100,1.960176,1.547321,0.110479,1.74345e-07,0.00017395,5.08809e-06
clsqdeim,0.01,2,3,7,11,100,1.660109,1.193398,0.138574,2.33543e-07,0.000206494,3.51835e-05
clssopt,0.01,2,3,7,11,110,1.305473,3.721500,0.111646,1.74345e-07,0.00017395,5.08809e-06
clsqdeim,0.01,2,3,7,11,110,2.199927,1.222156,0.146121,2.36265e-07,0.000204168,3.3957e-05
clssopt,0.01,2,3,7,11,120,3.771740,12.648105,0.115735,1.74345e-07,0.00017395,5.08809e-06
clsqdeim,0.01,2,3,7,11,120,1.517000,1.206863,0.150628,2.07719e-07,0.000203087,3.40164e-05
clssopt,0.01,2,3,7,11,130,3.852038,1.587014,0.110475,1.74345e-07,0.00017395,5.08809e-06
clsqdeim,0.01,2,3,7,11,130,1.491958,1.233166,0.157273,2.1783e-07,0.000204111,2.99737e-05
clssopt,0.01,2,3,7,11,140,4.259645,3.517830,0.115203,1.74345e-07,0.00017395,5.08809e-06
clsqdeim,0.01,2,3,7,11,140,1.558809,1.964413,0.166027,1.91759e-07,0.000208956,2.90374e-05
clssopt,0.01,2,3,7,11,150,4.162444,2.044256,0.115167,1.74345e-07,0.00017395,5.08809e-06
clsqdeim,0.01,2,3,7,11,150,1.421526,1.174011,0.171053,1.64825e-07,0.000212852,2.97934e-05
clssopt,0.01,2,3,7,11,160,4.121989,1.581139,0.110399,1.74345e-07,0.00017395,5.08809e-06
clsqdeim,0.01,2,3,7,11,160,1.447128,1.155934,0.173532,1.51899e-07,0.000209248,3.1192e-05
clssopt,0.01,2,3,7,11,170,4.187527,2.584198,0.117681,1.74345e-07,0.00017395,5.0881e-06
clsqdeim,0.01,2,3,7,11,170,1.516083,1.178253,0.179597,1.46182e-07,0.000206058,3.55221e-05
clssopt,0.01,2,3,7,11,180,9.390162,2.179923,0.112034,1.74345e-07,0.00017395,5.0881e-06
clsqdeim,0.01,2,3,7,11,180,1.363188,1.165842,0.189486,1.36225e-07,0.000208499,3.73177e-05
clssopt,0.01,2,3,7,11,190,4.698874,2.005518,0.112027,1.74345e-07,0.00017395,5.0881e-06
clsqdeim,0.01,2,3,7,11,190,1.600111,1.124551,0.19628,1.36311e-07,0.000204134,3.96599e-05
clssopt,0.01,2,3,7,11,200,4.646019,2.257742,0.113769,1.74345e-07,0.00017395,5.0881e-06
clsqdeim,0.01,2,3,7,11,200,1.378143,1.127577,0.198178,1.39218e-07,0.000209864,3.96659e-05
clssopt,0.01,3,3,10,13,10,5.592921,4.617046,0.0574779,1.7315e-07,0.000171811,6.09198e-06
clsqdeim,0.01,3,3,10,13,10,5.613962,3.381204,0.0617581,3.76072e-07,0.000189892,6.43434e-06
clssopt,0.01,3,3,10,13,20,3.270220,2.673555,0.0633132,1.57347e-07,0.000167239,5.09886e-06
