method,t,n,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
qdeim,0.05,2,7,14,33,90,6.783855,2.856445,0.549856,3.16062e-06,0.000818975,8.69988e-05
sopt,0.05,2,7,14,33,100,4.352981,3.048420,0.589254,3.16783e-06,0.000360662,5.18378e-05
qdeim,0.05,2,7,14,33,100,8.631350,2.589010,0.570508,2.8347e-06,0.000718008,9.10156e-05
sopt,0.05,2,7,14,33,110,5.131208,2.960655,0.607728,2.89988e-06,0.000365288,4.9975e-05
qdeim,0.05,2,7,14,33,110,6.638530,2.898137,0.600128,3.62301e-06,0.000762124,9.95979e-05
sopt,0.05,2,7,14,33,120,4.288843,3.059671,0.645526,2.70732e-06,0.000344543,4.55812e-05
qdeim,0.05,2,7,14,33,120,6.285898,2.870493,0.611586,6.6834e-06,0.00141175,0.000218886
sopt,0.05,2,7,14,33,130,4.134137,2.714006,0.66607,2.71893e-06,0.000356624,4.36509e-05
qdeim,0.05,2,7,14,33,130,5.462850,2.574701,0.618223,8.46274e-06,0.00159723,0.00025112
sopt,0.05,2,7,14,33,140,4.039819,3.105222,0.70012,2.48477e-06,0.000354404,4.31876e-05
qdeim,0.05,2,7,14,33,140,5.335805,2.939331,0.655823,1.22934e-05,0.00217122,0.000342796
sopt,0.05,2,7,14,33,150,4.047801,2.716937,0.744185,2.19972e-06,0.000344678,3.81578e-05
qdeim,0.05,2,7,14,33,150,4.912934,2.364241,0.656687,1.25184e-05,0.00218834,0.000363074
sopt,0.05,2,7,14,33,160,3.969273,2.681416,0.766144,1.92191e-06,0.000340057,3.24488e-05
qdeim,0.05,2,7,14,33,160,5.951047,2.323806,0.672555,1.61662e-05,0.00215752,0.000332026
sopt,0.05,2,7,14,33,170,3.831894,2.757177,0.785494,2.23885e-06,0.000344703,3.3458e-05
qdeim,0.05,2,7,14,33,170,4.963718,2.527167,0.678663,8.08553e-06,0.00101389,0.000162901
sopt,0.05,2,7,14,33,180,3.637550,2.513896,0.935183,2.23358e-06,0.00035302,3.36146e-05
qdeim,0.05,2,7,14,33,180,5.004074,2.421993,0.684806,4.76934e-06,0.000782153,0.000103753
sopt,0.05,2,7,14,33,190,3.761601,2.566835,0.813543,2.35428e-06,0.000356335,3.19481e-05
qdeim,0.05,2,7,14,33,190,4.908007,2.568204,0.716584,4.32343e-06,0.00072549,0.000100353
sopt,0.05,2,7,14,33,200,3.416071,2.472682,0.853395,2.53205e-06,0.000367178,3.21521e-05
qdeim,0.05,2,7,14,33,200,4.747317,2.479214,0.727763,4.48251e-06,0.000690659,9.7073e-05
sopt,0.05,3,7,23,43,10,35.485740,14.356260,0.349829,1.02239e-05,0.00280636,0.000430935
qdeim,0.05,3,7,23,43,10,35.353357,16.972391,0.298377,2.28081e-05,0.0138686,0.001522
sopt,0.05,3,7,23,43,20,9.944192,8.789848,0.429035,2.5005e-06,0.000489659,6.85528e-05
qdeim,0.05,3,7,23,43,20,14.247760,13.012838,0.370385,9.66443e-06,0.00251823,0.000284583
sopt,0.05,3,7,23,43,30,12.015815,6.434691,0.460123,2.07521e-06,0.000406823,4.18048e-05
qdeim,0.05,3,7,23,43,30,11.137772,7.698815,0.427652,4.01052e-06,0.000728846,7.00886e-05
sopt,0.05,3,7,23,43,40,10.822394,5.635845,0.50705,2.39067e-06,0.000389353,2.48215e-05
qdeim,0.05,3,7,23,43,40,9.564336,6.711944,0.491476,1.06125e-05,0.00129547,0.000134418
sopt,0.05,3,7,23,43,50,7.617102,5.410926,0.568065,2.01734e-06,0.000374892,2.39596e-05
qdeim,0.05,3,7,23,43,50,10.448576,7.930344,0.494138,9.89692e-06,0.00115532,0.000129723
sopt,0.05,3,7,23,43,60,6.697243,5.289152,0.60401,2.02918e-06,0.000376018,2.42628e-05
qdeim,0.05,3,7,23,43,60,7.941627,6.279667,0.533754,1.01729e-05,0.000934347,0.000119947
sopt,0.05,3,7,23,43,70,6.502984,4.585448,0.625297,1.66085e-06,0.000387838,2.6859e-05
qdeim,0.05,3,7,23,43,70,7.785046,6.552552,0.539627,7.99755e-06,0.00089638,0.000124857
sopt,0.05,3,7,23,43,80,5.124183,4.514044,0.671345,1.78771e-06,0.000391955,3.94644e-05
qdeim,0.05,3,7,23,43,80,7.598742,5.028119,0.582469,6.3146e-06,0.000749839,8.21357e-05
sopt,0.05,3,7,23,43,90,4.888441,4.249389,0.699636,2.04236e-06,0.000392879,3.87014e-05
qdeim,0.05,3,7,23,43,90,7.130923,5.812409,0.606056,5.5696e-06,0.000688903,7.40948e-05
sopt,0.05,3,7,23,43,100,5.128644,4.805023,0.728614,2.12875e-06,0.000374369,3.16648e-05
qdeim,0.05,3,7,23,43,100,6.611590,5.205018,0.616033,6.63559e-06,0.000738795,9.15367e-05
sopt,0.05,3,7,23,43,110,5.752527,4.391307,0.734849,2.06908e-06,0.000365592,2.95497e-05
qdeim,0.05,3,7,23,43,110,6.181440,4.924360,0.652848,5.31654e-06,0.00066864,7.82516e-05
sopt,0.05,3,7,23,43,120,4.859077,5.105953,0.799791,2.42943e-06,0.000373176,2.83912e-05
qdeim,0.05,3,7,23,43,120,5.947261,4.495184,0.67278,4.19185e-06,0.000581551,6.04416e-05
sopt,0.05,3,7,23,43,130,4.620051,5.010526,0.832101,2.1637e-06,0.00037185,3.04847e-05
qdeim,0.05,3,7,23,43,130,5.512638,4.664861,0.707155,3.80602e-06,0.000589589,5.47631e-05
sopt,0.05,3,7,23,43,140,4.413005,4.951104,0.85503,2.17788e-06,0.000366499,2.79745e-05
qdeim,0.05,3,7,23,43,140,5.421290,4.328150,0.726163,3.73026e-06,0.000519868,4.33335e-05
sopt,0.05,3,7,23,43,150,4.626343,5.312098,0.871286,1.87423e-06,0.000363134,2.98181e-05
qdeim,0.05,3,7,23,43,150,5.579318,4.699693,0.74572,2.86799e-06,0.000489885,3.71664e-05
sopt,0.05,3,7,23,43,160,3.988687,5.306258,0.88691,1.83799e-06,0.000359905,2.94727e-05
qdeim,0.05,3,7,23,43,160,5.524884,4.453291,0.775903,2.64785e-06,0.000462007,3.48775e-05
sopt,0.05,3,7,23,43,170,4.464956,5.597349,0.90278,1.89593e-06,0.000360488,2.56412e-05
qdeim,0.05,3,7,23,43,170,5.540973,4.868623,1.04998,2.53147e-06,0.000435504,3.22353e-05
sopt,0.05,3,7,23,43,180,4.216121,5.842089,0.940549,1.9336e-06,0.000360381,2.66258e-05
qdeim,0.05,3,7,23,43,180,4.976239,4.933311,0.826832,2.60327e-06,0.000428707,3.25377e-05
sopt,0.05,3,7,23,43,190,4.232267,5.075801,0.950946,2.03833e-06,0.000358999,2.54641e-05
qdeim,0.05,3,7,23,43,190,5.024739,4.339581,0.831636,2.94736e-06,0.000425267,3.42766e-05
sopt,0.05,3,7,23,43,200,4.099530,5.405150,0.95687,2.01741e-06,0.000358358,2.60357e-05
qdeim,0.05,3,7,23,43,200,5.065713,4.200494,0.848644,2.96928e-06,0.000423362,3.35728e-05
sopt,0.05,4,7,36,53,10,34.282470,22.133130,0.421948,7.71803e-06,0.000584002,4.89802e-05
qdeim,0.05,4,7,36,53,10,27.153996,15.864170,0.366307,6.50788e-06,0.00294308,0.00034416
sopt,0.05,4,7,36,53,20,17.406074,11.230603,0.460157,1.43069e-06,0.000437084,5.97214e-05
qdeim,0.05,4,7,36,53,20,25.702447,21.233020,0.435448,4.28719e-06,0.00125462,0.000160528
sopt,0.05,4,7,36,53,30,10.668986,8.708388,0.499908,1.49572e-06,0.000391813,4.36592e-05
qdeim,0.05,4,7,36,53,30,20.980080,18.797768,0.521002,2.55425e-06,0.000879187,9.2748e-05
sopt,0.05,4,7,36,53,40,10.024349,8.889974,0.526355,1.27743e-06,0.000324981,2.92755e-05
qdeim,0.05,4,7,36,53,40,17.701282,15.954130,0.574437,2.99575e-06,0.00106578,0.000106615
sopt,0.05,4,7,36,53,50,8.698308,6.922582,0.602783,1.65601e-06,0.000339191,2.54779e-05
qdeim,0.05,4,7,36,53,50,16.308752,16.086844,0.622155,1.79128e-06,0.000480601,4.52065e-05
sopt,0.05,4,7,36,53,60,8.390706,9.391796,0.639603,4.86112e-06,0.000564301,5.95467e-05
qdeim,0.05,4,7,36,53,60,13.396303,17.116538,0.656394,2.42945e-06,0.000533072,5.53509e-05
