method,t,n,ef,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
clssopt,0.1,1,0.99,6,4,3,5,1.657534,2.756388,0.163556,0.0637288,5.28881,8.34808
clsqdeim,0.1,1,0.99,6,4,3,5,2.161855,5.142506,0.173495,0.00136241,2.84196,0.0272748
clssopt,0.1,1,0.99,6,4,3,10,218.159465,2.042614,0.20128,0.091313,15.7012,5.99241
clsqdeim,0.1,1,0.99,6,4,3,10,1.940151,1.973260,0.216601,0.00210896,2.20353,0.0525332
clssopt,0.1,1,0.99,6,4,3,15,1.290994,1.306695,0.24735,0.0825491,13.1255,4.52751
clsqdeim,0.1,1,0.99,6,4,3,15,1.066175,2.190970,0.218241,0.00173041,1.97049,0.040131
clssopt,0.1,1,0.99,6,4,3,20,1.291012,1.777122,0.27742,0.0856129,13.8475,4.66219
clsqdeim,0.1,1,0.99,6,4,3,20,1.207603,1.643614,0.273252,0.000827065,0.875321,0.0264321
clssopt,0.1,1,0.99,6,4,3,25,1.290994,2.806891,0.347874,0.0866429,14.1378,4.7946
clsqdeim,0.1,1,0.99,6,4,3,25,1.234311,1.542547,0.436943,0.000443251,0.586758,0.0141859
clssopt,0.1,1,0.99,6,4,3,30,1.290994,1.000000,0.365331,0.135436,6.5421,8.7648
clsqdeim,0.1,1,0.99,6,4,3,30,2.290204,1.528176,0.355132,0.000620022,0.469026,0.0192055
clssopt,0.1,1,0.99,6,4,3,35,1.290994,1.000000,0.433926,0.0622015,8.16261,3.01698
clsqdeim,0.1,1,0.99,6,4,3,35,1.146974,1.504951,0.597533,7.56304e-05,0.423394,0.00656706
clssopt,0.1,1,0.99,6,4,3,40,1.290994,1.000000,0.551872,0.0615089,7.99996,3.00382
clsqdeim,0.1,1,0.99,6,4,3,40,1.214883,2.065149,0.563069,0.000209637,0.234834,0.00811105
clssopt,0.1,1,0.99,6,4,3,45,1.290994,1.000000,0.536796,0.0622352,8.17829,3.04181
clsqdeim,0.1,1,0.99,6,4,3,45,1.455405,1.272712,0.598956,0.000313339,0.201784,0.0109085
clssopt,0.1,1,0.99,6,4,3,50,1.290994,1.000000,0.558027,0.0622352,8.17829,3.04181
clsqdeim,0.1,1,0.99,6,4,3,50,1.151162,1.250282,0.753538,0.000293369,0.209383,0.00945419
clssopt,0.1,1,0.99,6,4,3,55,1.290994,1.000000,0.544044,0.0622352,8.17829,3.04181
clsqdeim,0.1,1,0.99,6,4,3,55,1.098567,1.466414,0.532777,0.000928823,0.680503,0.028432
clssopt,0.1,1,0.99,6,4,3,60,1.290994,1.000000,0.553974,0.0622352,8.17829,3.04181
clsqdeim,0.1,1,0.99,6,4,3,60,1.265518,1.551097,0.645957,0.000600413,0.495005,0.0168992
clssopt,0.1,1,0.99,6,4,3,65,1.290994,1.000000,0.563115,0.0622352,8.17828,3.0418
clsqdeim,0.1,1,0.99,6,4,3,65,1.116880,1.311511,0.920998,0.000169676,0.180092,0.00543173
clssopt,0.1,1,0.99,6,4,3,70,1.290994,1.000000,0.573043,0.0622352,8.17828,3.0418
clsqdeim,0.1,1,0.99,6,4,3,70,1.038104,1.351469,0.847897,0.000462524,0.610584,0.0112153
clssopt,0.1,1,0.99,6,4,3,75,1.290994,1.000000,0.569862,0.0622352,8.17829,3.04181
clsqdeim,0.1,1,0.99,6,4,3,75,1.557848,1.436403,0.843277,0.000462255,0.606963,0.0112461
clssopt,0.1,1,0.99,6,4,3,80,1.290994,1.000000,0.611376,0.0622352,8.17828,3.0418
clsqdeim,0.1,1,0.99,6,4,3,80,1.119096,1.749088,3.16346,0.00914689,20.3665,0.203337
clssopt,0.1,1,0.99,6,4,3,85,1.290994,1.000000,0.571752,0.0622352,8.17829,3.04181
sopt,0.1,3,0.9999,6,9,9,5,15.058693,14.199735,0.253138,0.000101194,0.0466606,0.00976308
clssopt,0.1,3,0.9999,6,9,9,5,5.127189,7.812798,0.333027,0.000124137,0.236163,0.0095579
clsqdeim,0.1,3,0.9999,6,9,9,5,5.303328,5.954654,0.24981,0.00127634,,
qdeim,0.1,3,0.9999,6,9,9,5,10.795193,8.382682,0.218855,1.18909e-05,0.00798714,0.0012361
sopt,0.1,3,0.9999,6,9,9,10,13.480775,9.950094,0.240297,7.06653e-05,0.0401085,0.00650651
clssopt,0.1,3,0.9999,6,9,9,10,5.941716,2.747343,0.460868,3.58523e-05,0.138119,0.00647538
clsqdeim,0.1,3,0.9999,6,9,9,10,3.372504,5.849023,0.297935,0.00127634,,
qdeim,0.1,3,0.9999,6,9,9,10,7.723483,5.300337,0.298891,1.64748e-05,0.0117401,0.00156075
sopt,0.1,3,0.9999,6,9,9,15,7.835917,7.921934,0.274815,1.53681e-05,0.0113699,0.00127101
clssopt,0.1,3,0.9999,6,9,9,15,3.028547,2.654412,0.610717,0.000175599,0.158719,0.0118746
clsqdeim,0.1,3,0.9999,6,9,9,15,2.773298,3.472892,0.347637,0.00127634,,
qdeim,0.1,3,0.9999,6,9,9,15,4.817197,171.716114,0.240148,1.56471e-05,0.0112392,0.00152451
sopt,0.1,3,0.9999,6,9,9,20,15.718597,8.484640,0.319227,1.26351e-05,0.00944487,0.000995244
clssopt,0.1,3,0.9999,6,9,9,20,2.182254,2.987463,0.645557,0.000189114,0.112515,0.0117852
clsqdeim,0.1,3,0.9999,6,9,9,20,2.268302,4.818917,0.424598,0.00127634,,
qdeim,0.1,3,0.9999,6,9,9,20,5.696238,4.383086,0.279634,1.43876e-05,0.0105592,0.00146376
sopt,0.1,3,0.9999,6,9,9,25,8.698142,7.059997,0.315358,3.55035e-05,0.0231129,0.0029992
clssopt,0.1,3,0.9999,6,9,9,25,1.867597,2.256916,0.755644,6.12583e-05,0.0666651,0.00372913
clsqdeim,0.1,3,0.9999,6,9,9,25,2.225639,3.088608,0.430857,0.00127634,,
qdeim,0.1,3,0.9999,6,9,9,25,5.999123,4.513306,0.298069,1.37651e-05,0.0101748,0.00142655
sopt,0.1,3,0.9999,6,9,9,30,6.571759,4.926473,0.473673,6.04207e-05,0.033906,0.00515687
