p,method,n,energy_frac,rwdim,rrdim,nldim,nsr,time,error
0.4,clsthSOPT,3,0.9999,19,21,21,45,5.730878,0.931187921,0.0002599932117201688
0.4,thSOPT,3,0.9999,19,21,21,45,4.571887,0.989915362,9.44275783357345e-05
1,QDEIM,3,0.9999,19,21,21,45,5.822470,0.966162508,0.0004744102678447797
0.4,clsthQDEIM,3,0.9999,19,21,21,45,4.605252,0.897096988,0.0002295109155849499
0.4,thQDEIM,3,0.9999,19,21,21,45,5.330707,0.959991877,0.0007798156910226541
,SOPT,3,0.9999,19,21,21,47,4.794221,1.000579862,8.530622274075963e-05
0.4,clsthSOPT,3,0.9999,19,21,21,47,4.963891,0.961812699,0.000204657580830127
0.4,thSOPT,3,0.9999,19,21,21,47,5.021298,1.016040516,8.530622274077741e-05
1,QDEIM,3,0.9999,19,21,21,47,4.059680,1.009222355,0.0005312979802043036
0.4,clsthQDEIM,3,0.9999,19,21,21,47,5.388242,0.935094065,0.0002740994350522772
0.4,thQDEIM,3,0.9999,19,21,21,47,4.835504,0.986444622,0.0007648885987444682
,SOPT,3,0.9999,19,21,21,49,4.414544,1.01953627,8.479699620476482e-05
0.4,clsthSOPT,3,0.9999,19,21,21,49,4.921220,0.997106723,0.0001083661981696339
0.4,thSOPT,3,0.9999,19,21,21,49,3.652319,1.042146242,8.479699620472935e-05
1,QDEIM,3,0.9999,19,21,21,49,4.639117,1.045292026,0.0004414639108042257
0.4,clsthQDEIM,3,0.9999,19,21,21,49,4.949823,0.939669466,0.0006502195173761146
0.4,thQDEIM,3,0.9999,19,21,21,49,4.181943,1.008244586,0.0007455869282163831
,SOPT,3,0.9999,19,21,21,51,4.994640,1.0583626,0.0001275541314282762
0.4,clsthSOPT,3,0.9999,19,21,21,51,4.100568,1.036839352,0.0001451563131044115
0.4,thSOPT,3,0.9999,19,21,21,51,4.579081,1.063165387,0.0001275541314277395
1,QDEIM,3,0.9999,19,21,21,51,3.749079,1.079680313,0.0005169363837072338
0.4,clsthQDEIM,3,0.9999,19,21,21,51,4.155249,0.975113978,0.0005412558355976077
0.4,thQDEIM,3,0.9999,19,21,21,51,5.675766,1.030256633,0.001071896317762945
,SOPT,3,0.9999,19,21,21,53,3.789632,1.081439794,0.000114058225305585
0.4,clsthSOPT,3,0.9999,19,21,21,53,4.587360,1.064834949,0.0002348981197080407
0.4,thSOPT,3,0.9999,19,21,21,53,4.917190,1.082982402,0.0001140582253050713
1,QDEIM,3,0.9999,19,21,21,53,4.204480,1.107374748,0.0004648533390335263
0.4,clsthQDEIM,3,0.9999,19,21,21,53,5.057002,0.992442636,0.0008644653249397017
0.4,thQDEIM,3,0.9999,19,21,21,53,4.171633,1.060430463,0.001125120336314223
,SOPT,3,0.9999,19,21,21,55,3.898622,1.118957375,0.000114857664840766
0.4,clsthSOPT,3,0.9999,19,21,21,55,4.481924,1.106757566,0.0003070095146473978
0.4,thSOPT,3,0.9999,19,21,21,55,3.844939,1.119138114,0.0001148576648397573
1,QDEIM,3,0.9999,19,21,21,55,3.451419,1.137933069,0.000554140860253944
0.4,clsthQDEIM,3,0.9999,19,21,21,55,4.835306,1.012985972,0.000904550242565637
0.4,thQDEIM,3,0.9999,19,21,21,55,4.019730,1.079523596,0.001176075060506637
,SOPT,3,0.9999,19,21,21,57,3.522781,1.149493155,0.0001477891980345935
0.4,clsthSOPT,3,0.9999,19,21,21,57,4.785612,1.134530539,0.0003564450853450131
0.4,thSOPT,3,0.9999,19,21,21,57,4.390186,1.140764575,0.0001477891980342012
1,QDEIM,3,0.9999,19,21,21,57,5.302892,1.166330321,0.0005802009557243411
0.4,clsthQDEIM,3,0.9999,19,21,21,57,3.925423,1.031466777,0.0008264110839166486
0.4,thQDEIM,3,0.9999,19,21,21,57,4.364764,1.086716516,0.001025800787545716
,SOPT,3,0.9999,19,21,21,59,4.177082,1.19122784,0.0001315263041422445
0.4,clsthSOPT,3,0.9999,19,21,21,59,4.737344,1.165225597,0.0003511545884419397
0.4,thSOPT,3,0.9999,19,21,21,59,4.189568,1.177128849,0.0001315263041420593
1,QDEIM,3,0.9999,19,21,21,59,3.591529,1.202396057,0.0006316712251318711
