method,t,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
gnat,0.05,7,23,43,50,7.041391,3.502408,,0.0122013,3.13633,0.49511
clssopt,0.05,7,23,43,60,4.245588,2.759625,0.738155,2.36567e-06,0.000347529,2.39664e-05
clsqdeim,0.05,7,23,43,60,4.181923,2.946251,0.789282,2.43631e-06,0.00055214,5.40025e-05
clsgnat,0.05,7,23,43,60,5702816.046553,65305245.542617,,3.51279e+47,4.83737e+63,nan
sopt,0.05,7,23,43,60,6.697243,5.289152,0.659001,2.02918e-06,0.000376018,2.42628e-05
qdeim,0.05,7,23,43,60,7.941627,6.279667,0.578254,1.01729e-05,0.000934347,0.000119947
gnat,0.05,7,23,43,60,6.355241,3.352962,,0.0124285,3.3734,0.549604
clssopt,0.05,7,23,43,70,3.823549,3.152876,0.73822,2.68266e-06,0.000414803,3.28189e-05
clsqdeim,0.05,7,23,43,70,3.735272,2.553854,0.826252,5.45344e-06,0.000642027,4.93477e-05
clsgnat,0.05,7,23,43,70,4719227.632887,38175405.462347,3.06117,0.0500529,0.198892,5.45421e-05
sopt,0.05,7,23,43,70,6.502984,4.585448,0.679409,1.66085e-06,0.000387838,2.6859e-05
qdeim,0.05,7,23,43,70,7.785046,6.552552,0.646568,7.99755e-06,0.00089638,0.000124857
gnat,0.05,7,23,43,70,5.716974,2.624744,,0.0120681,15.258,23.2118
clssopt,0.05,7,23,43,80,3.640104,2.514907,0.776477,1.73289e-06,0.000369801,2.44779e-05
clsqdeim,0.05,7,23,43,80,3.693889,2.691607,0.965765,4.29787e-06,0.000567139,3.63445e-05
clsgnat,0.05,7,23,43,80,4609941.556274,5920898.324713,9.20533,0.0500529,0.198892,5.45421e-05
sopt,0.05,7,23,43,80,5.124183,4.514044,0.713428,1.78771e-06,0.000391955,3.94644e-05
qdeim,0.05,7,23,43,80,7.598742,5.028119,0.648261,6.3146e-06,0.000749839,8.21357e-05
gnat,0.05,7,23,43,80,5.217935,2.408925,0.485943,0.000735665,0.761363,0.0932601
clssopt,0.05,7,23,43,90,3.370172,2.281593,0.831982,1.65029e-06,0.000349386,2.25333e-05
clsqdeim,0.05,7,23,43,90,3.297502,2.189749,0.92231,3.53721e-06,0.000552887,2.87025e-05
clsgnat,0.05,7,23,43,90,4326866.352743,6839681.394152,,7.9594e+44,4.70459e+60,nan
sopt,0.05,7,23,43,90,4.888441,4.249389,0.768855,2.04236e-06,0.000392879,3.87014e-05
qdeim,0.05,7,23,43,90,7.130923,5.812409,0.744931,5.5696e-06,0.000688903,7.40948e-05
gnat,0.05,7,23,43,90,4.488339,2.424359,,0.00544796,49.7601,4293.16
clssopt,0.05,7,23,43,100,3.054094,2.120370,0.900683,1.76667e-06,0.000356734,2.30783e-05
clsqdeim,0.05,7,23,43,100,2.992184,2.232248,0.998232,2.97817e-06,0.000541845,3.06505e-05
clsgnat,0.05,7,23,43,100,3415423.867628,8516463.654944,,nan,nan,nan
sopt,0.05,7,23,43,100,5.128644,4.805023,0.923273,2.12875e-06,0.000374369,3.16648e-05
qdeim,0.05,7,23,43,100,6.611590,5.205018,0.708633,6.63559e-06,0.000738795,9.15367e-05
gnat,0.05,7,23,43,100,4.722534,2.472929,0.610928,0.00109542,1.0868,0.105619
clssopt,0.05,7,23,43,110,2.958499,2.134676,0.886286,1.72186e-06,0.000365398,2.49692e-05
clsqdeim,0.05,7,23,43,110,2.973668,2.342873,0.989931,3.16597e-06,0.000561547,3.02773e-05
clsgnat,0.05,7,23,43,110,3648226.369173,7801271.155365,3.06864,0.0500529,0.198892,5.45421e-05
sopt,0.05,7,23,43,110,5.752527,4.391307,0.83373,2.06908e-06,0.000365592,2.95497e-05
qdeim,0.05,7,23,43,110,6.181440,4.924360,0.70451,5.31654e-06,0.00066864,7.82516e-05
gnat,0.05,7,23,43,110,4.545763,2.403454,0.542415,0.000800873,0.50634,0.0461128
clssopt,0.05,7,23,43,120,2.823987,2.041199,0.966074,1.65516e-06,0.000360129,2.15371e-05
clsqdeim,0.05,7,23,43,120,2.910499,2.164516,1.01287,3.52871e-06,0.000572123,3.31451e-05
clsgnat,0.05,7,23,43,120,3173025.644201,9147018.772163,1.69784,0.0500529,0.198892,5.45421e-05
sopt,0.05,7,23,43,120,4.859077,5.105953,0.87492,2.42943e-06,0.000373176,2.83912e-05
qdeim,0.05,7,23,43,120,5.947261,4.495184,0.7288,4.19185e-06,0.000581551,6.04416e-05
gnat,0.05,7,23,43,120,4.069052,2.475243,0.54894,6.3535e-05,0.0178471,0.00238051
clssopt,0.05,7,23,43,130,2.789410,2.126827,0.930373,1.86342e-06,0.000373706,2.05324e-05
clsqdeim,0.05,7,23,43,130,2.654075,1.946873,1.04954,4.07069e-06,0.000609382,3.71916e-05
clsgnat,0.05,7,23,43,130,4440044.691470,5908525.042763,,4.99871e+57,5.62404e+73,nan
sopt,0.05,7,23,43,130,4.620051,5.010526,0.866374,2.1637e-06,0.00037185,3.04847e-05
qdeim,0.05,7,23,43,130,5.512638,4.664861,0.79426,3.80602e-06,0.000589589,5.47631e-05
gnat,0.05,7,23,43,130,4.100581,2.325331,,0.0191971,28.1415,1.07168
clssopt,0.05,7,23,43,140,2.630282,1.815889,1.00048,1.59853e-06,0.000370311,1.91847e-05
clsqdeim,0.05,7,23,43,140,2.848482,1.863944,1.06506,3.53197e-06,0.000593647,2.97722e-05
clsgnat,0.05,7,23,43,140,3817218.476798,12817106.103099,3.53746,0.0500529,0.198892,5.45421e-05
sopt,0.05,7,23,43,140,4.413005,4.951104,1.00763,2.17788e-06,0.000366499,2.79745e-05
qdeim,0.05,7,23,43,140,5.421290,4.328150,0.859156,3.73026e-06,0.000519868,4.33335e-05
gnat,0.05,7,23,43,140,3.751882,2.537902,0.604008,2.29798e-06,0.000576761,7.09351e-05
clssopt,0.05,7,23,43,150,2.677291,1.987107,0.999737,1.49011e-06,0.000367759,1.9012e-05
clsqdeim,0.05,7,23,43,150,2.709087,2.198266,1.09798,3.15325e-06,0.000582399,2.86663e-05
clsgnat,0.05,7,23,43,150,4665034.134660,5735239.886677,,nan,nan,nan
sopt,0.05,7,23,43,150,4.626343,5.312098,0.945697,1.87423e-06,0.000363134,2.98181e-05
qdeim,0.05,7,23,43,150,5.579318,4.699693,0.889392,2.86799e-06,0.000489885,3.71664e-05
gnat,0.05,7,23,43,150,4.425196,2.104570,0.571285,6.05176e-05,0.0170246,0.00203244
clssopt,0.05,7,23,43,160,2.472111,1.886742,1.02784,1.52078e-06,0.000364554,1.75189e-05
clsqdeim,0.05,7,23,43,160,2.443722,1.943112,1.1168,2.72656e-06,0.000567888,2.53227e-05
clsgnat,0.05,7,23,43,160,3883455.799945,6926937.071471,,nan,nan,nan
sopt,0.05,7,23,43,160,3.988687,5.306258,0.941095,1.83799e-06,0.000359905,2.94727e-05
qdeim,0.05,7,23,43,160,5.524884,4.453291,0.910958,2.64785e-06,0.000462007,3.48775e-05
gnat,0.05,7,23,43,160,3.568855,2.069170,0.617396,2.67738e-06,0.000651207,8.10846e-05
clssopt,0.05,7,23,43,170,2.337306,1.939939,1.04557,1.53863e-06,0.00035533,1.78844e-05
clsqdeim,0.05,7,23,43,170,2.326870,1.950074,1.16781,2.90527e-06,0.000560528,3.04513e-05
clsgnat,0.05,7,23,43,170,3876107.188315,5582603.214664,,2.88636e+66,3.60644e+81,nan
sopt,0.05,7,23,43,170,4.464956,5.597349,0.956225,1.89593e-06,0.000360488,2.56412e-05
qdeim,0.05,7,23,43,170,5.540973,4.868623,0.840246,2.53147e-06,0.000435504,3.22353e-05
gnat,0.05,7,23,43,170,3.513930,2.011556,0.600142,3.62535e-06,0.000584843,5.36832e-05
clssopt,0.05,7,23,43,180,2.277480,1.756997,1.07549,1.5642e-06,0.000351757,1.70831e-05
clsqdeim,0.05,7,23,43,180,2.448341,1.798066,1.2416,3.20374e-06,0.000556245,2.38522e-05
clsgnat,0.05,7,23,43,180,4059888.411221,4959595.219745,2.06533,0.0500529,0.198892,5.45421e-05
sopt,0.05,7,23,43,180,4.216121,5.842089,1.01253,1.9336e-06,0.000360381,2.66258e-05
qdeim,0.05,7,23,43,180,4.976239,4.933311,0.888101,2.60327e-06,0.000428707,3.25377e-05
gnat,0.05,7,23,43,180,3.429971,2.110213,0.577703,3.44476e-06,0.00156777,0.000224934
clssopt,0.05,7,23,43,190,2.169755,1.777630,1.08799,1.69078e-06,0.000356007,1.72128e-05
clsqdeim,0.05,7,23,43,190,2.542624,1.971963,1.43522,5.49305e-06,0.000641984,2.82715e-05
clsgnat,0.05,7,23,43,190,4139292.700315,6288144.845241,,nan,nan,nan
sopt,0.05,7,23,43,190,4.232267,5.075801,0.994048,2.03833e-06,0.000358999,2.54641e-05
qdeim,0.05,7,23,43,190,5.024739,4.339581,0.890055,2.94736e-06,0.000425267,3.42766e-05
gnat,0.05,7,23,43,190,3.560349,2.326850,0.602426,3.66235e-06,0.000496597,4.20493e-05
clssopt,0.05,7,23,43,200,2.328980,1.695008,1.10825,1.84122e-06,0.000360671,1.75184e-05
clsqdeim,0.05,7,23,43,200,2.311366,1.624470,1.23067,5.02124e-06,0.00064942,3.15534e-05
clsgnat,0.05,7,23,43,200,3641579.384492,5424350.543134,23.3063,0.0500529,5864.67,1.94671e+06
sopt,0.05,7,23,43,200,4.099530,5.405150,1.02625,2.01741e-06,0.000358358,2.60357e-05
qdeim,0.05,7,23,43,200,5.065713,4.200494,1.13692,2.96928e-06,0.000423362,3.35728e-05
gnat,0.05,7,23,43,200,3.257414,2.158103,0.825778,1.57811e-06,0.000391707,3.06092e-05
clssopt,0.05,7,36,53,10,18.783649,11.196393,,0.00232686,1.22584,0.101699
clsqdeim,0.05,7,36,53,10,15.811206,17.084953,,0.019964,1.20132,0.19742
clsgnat,0.05,7,36,53,10,52992709.780736,137927730.820876,,nan,nan,nan
sopt,0.05,7,36,53,10,34.282470,22.133130,0.50755,7.71803e-06,0.000584002,4.89802e-05
qdeim,0.05,7,36,53,10,27.153996,15.864170,0.429108,6.50788e-06,0.00294308,0.00034416
gnat,0.05,7,36,53,10,20.279597,15.486943,,0.00630969,3.36068,0.461569
clssopt,0.05,7,36,53,20,8.985285,8.371809,0.691944,0.000346321,0.11028,0.0175107
clsqdeim,0.05,7,36,53,20,11.517775,8.859943,0.920531,0.00336974,0.990354,0.353567
clsgnat,0.05,7,36,53,20,56711284.530892,45757928.880400,,6.67613e+16,1.47792e+33,9.22745e+64
sopt,0.05,7,36,53,20,17.406074,11.230603,0.527538,1.43069e-06,0.000437084,5.97214e-05
qdeim,0.05,7,36,53,20,25.702447,21.233020,0.497947,4.28719e-06,0.00125462,0.000160528
gnat,0.05,7,36,53,20,14.143716,9.026980,,0.00628091,3.4543,0.484154
clssopt,0.05,7,36,53,30,8.196160,6.044420,0.824955,0.00274934,0.816423,0.0636295
clsqdeim,0.05,7,36,53,30,7.599295,7.611229,,0.0179779,7.14802,1.05377
clsgnat,0.05,7,36,53,30,22090840.516748,87967669.860991,3.90777,0.0500529,0.198892,5.45421e-05
sopt,0.05,7,36,53,30,10.668986,8.708388,0.667668,1.49572e-06,0.000391813,4.36592e-05
qdeim,0.05,7,36,53,30,20.980080,18.797768,0.567262,2.55425e-06,0.000879187,9.2748e-05
gnat,0.05,7,36,53,30,11.355227,7.045293,,0.00632947,3.46905,0.489988
clssopt,0.05,7,36,53,40,6.884966,4.919081,0.77165,0.000116481,0.0236922,0.00315576
clsqdeim,0.05,7,36,53,40,6.760512,5.739656,,0.0174225,2.55649,0.440738
clsgnat,0.05,7,36,53,40,10969255.279717,214291551.718056,1.15873,0.0500529,0.198892,5.45421e-05
sopt,0.05,7,36,53,40,10.024349,8.889974,0.721317,1.27743e-06,0.000324981,2.92755e-05
qdeim,0.05,7,36,53,40,17.701282,15.954130,0.617652,2.99575e-06,0.00106578,0.000106615
gnat,0.05,7,36,53,40,7.572209,5.650050,,0.00641843,3.47721,0.49036
clssopt,0.05,7,36,53,50,5.780701,3.907674,0.801176,1.48019e-05,0.00849574,0.00135867
clsqdeim,0.05,7,36,53,50,5.482863,4.446539,,0.0083214,4.96976,1.5007
clsgnat,0.05,7,36,53,50,7849984.228511,32163497.582433,,nan,nan,nan
sopt,0.05,7,36,53,50,8.698308,6.922582,0.645231,1.65601e-06,0.000339191,2.54779e-05
qdeim,0.05,7,36,53,50,16.308752,16.086844,0.792049,1.79128e-06,0.000480601,4.52065e-05
gnat,0.05,7,36,53,50,7.807077,4.345284,,0.00647623,3.37511,0.477292
clssopt,0.05,7,36,53,60,5.093455,4.729743,0.854149,5.55937e-06,0.00133931,0.000150583
clsqdeim,0.05,7,36,53,60,4.417883,4.744084,0.874255,4.17531e-05,0.0729823,0.0415956
clsgnat,0.05,7,36,53,60,8320392.480767,440978236.814437,3.63773,0.0500529,0.198892,5.45421e-05
sopt,0.05,7,36,53,60,8.390706,9.391796,0.715133,4.86112e-06,0.000564301,5.95467e-05
qdeim,0.05,7,36,53,60,13.396303,17.116538,0.700744,2.42945e-06,0.000533072,5.53509e-05
gnat,0.05,7,36,53,60,6.919322,6.639514,,0.00641447,3.40566,0.47646
clssopt,0.05,7,36,53,70,4.206397,3.453835,0.916838,6.96262e-06,0.00144398,0.000165695
clsqdeim,0.05,7,36,53,70,4.482833,3.317429,,0.0030703,1.31208,0.138241
clsgnat,0.05,7,36,53,70,7525012.150706,53991481.839717,3.73908,0.0500529,0.198892,5.45421e-05
sopt,0.05,7,36,53,70,7.108662,5.944742,0.748367,3.44598e-06,0.00043317,3.57208e-05
qdeim,0.05,7,36,53,70,14.495340,9.984968,0.742148,3.76852e-06,0.00058081,5.43381e-05
gnat,0.05,7,36,53,70,,,,,
