method,t,n,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
sopt,0.5,1,9,5,4,10,4.369687,5.862102,1.20417,0.000251328,0.0188233,0.00340227
qdeim,0.5,1,9,5,4,10,2.331285,4.381916,1.10575,0.000222941,0.0191928,0.00175413
sopt,0.5,1,9,5,4,20,2.558229,3.332908,1.59918,0.000302325,0.0191006,0.0040438
qdeim,0.5,1,9,5,4,20,2.548465,4.292943,1.4024,0.000215154,0.0193816,0.00344718
sopt,0.5,1,9,5,4,30,2.936751,2.568927,1.73964,0.000306151,0.0192263,0.00369475
qdeim,0.5,1,9,5,4,30,1.884320,4.737961,1.77275,0.000194175,0.0192941,0.00254172
sopt,0.5,1,9,5,4,40,2.468280,2.651850,2.03098,0.000311302,0.0191094,0.00363529
qdeim,0.5,1,9,5,4,40,2.484003,4.519451,2.04921,0.000194266,0.0192828,0.00252869
sopt,0.5,1,9,5,4,50,2.090339,3.272837,2.47026,0.000316061,0.0192187,0.00386652
qdeim,0.5,1,9,5,4,50,1.896019,4.089495,2.26603,0.000186562,0.0193347,0.00252607
sopt,0.5,1,9,5,4,60,2.138859,3.712141,2.7057,0.000305865,0.0190567,0.00374106
qdeim,0.5,1,9,5,4,60,5.074950,3.645904,2.52987,0.000182231,0.0194585,0.00259515
sopt,0.5,1,9,5,4,70,2.037944,5.924050,3.1419,0.000301718,0.0189509,0.00362795
qdeim,0.5,1,9,5,4,70,1.981158,3.189089,2.68534,0.000215429,0.019547,0.00223723
sopt,0.5,1,9,5,4,80,1.745615,4.122180,3.34907,0.000301654,0.0189301,0.00362495
qdeim,0.5,1,9,5,4,80,4.035771,4.830732,2.96098,0.00022454,0.0197803,0.00314727
sopt,0.5,1,9,5,4,90,2.503870,219.856306,3.37458,0.000297137,0.0188618,0.00361054
qdeim,0.5,1,9,5,4,90,2.280037,5.604785,3.21465,0.000230945,0.020119,0.00355491
sopt,0.5,1,9,5,4,100,2.887758,198.079242,3.51582,0.000290513,0.0186907,0.00347406
qdeim,0.5,1,9,5,4,100,3.066220,5.529438,3.4058,0.000240581,0.0203778,0.00388473
sopt,0.5,1,9,5,4,110,2.954958,192.427086,3.71879,0.000288457,0.018656,0.00348393
qdeim,0.5,1,9,5,4,110,2.149945,5.689433,3.64618,0.000175827,0.0201728,0.00469893
sopt,0.5,1,9,5,4,120,3.540140,128.845068,4.02154,0.000287477,0.0186616,0.00349999
qdeim,0.5,1,9,5,4,120,3.477768,5.163566,3.89026,0.000145982,0.0202454,0.00398552
sopt,0.5,1,9,5,4,130,4.122170,114.285551,4.16757,0.000288003,0.0187213,0.00348181
qdeim,0.5,1,9,5,4,130,2.298180,4.873073,3.99742,0.000140801,0.0202138,0.00393812
sopt,0.5,1,9,5,4,140,3.971995,111.118555,4.23062,0.000286564,0.0186898,0.00345012
qdeim,0.5,1,9,5,4,140,3.400351,3.447683,4.06089,0.000138843,0.0201942,0.00392248
sopt,0.5,1,9,5,4,150,4.135496,104.587158,4.19425,0.000286553,0.0187021,0.00344514
qdeim,0.5,1,9,5,4,150,2.299334,3.268935,4.04136,0.00013756,0.0201918,0.00390583
sopt,0.5,1,9,5,4,160,3.969950,873.254515,4.32546,0.000286525,0.0187064,0.0034546
qdeim,0.5,1,9,5,4,160,3.803976,3.530390,4.06758,0.000136849,0.0201933,0.00389607
sopt,0.5,1,9,5,4,170,4.129435,437.009949,4.78064,0.000286009,0.0187027,0.00344317
qdeim,0.5,1,9,5,4,170,2.442279,4.339405,4.06543,0.00013565,0.0201939,0.00386104
sopt,0.5,1,9,5,4,180,3.339606,332.780312,4.77879,0.00028602,0.0187045,0.00344213
qdeim,0.5,1,9,5,4,180,4.442100,3.165470,3.98498,0.000137251,0.0202151,0.00381789
sopt,0.5,1,9,5,4,190,3.315898,293.718588,4.92701,0.000285758,0.0186959,0.00343975
