method,t,n,ef,rxdim,rvdim,nsr,time,errx,errv
SOPT,0.01,0,0.9,2,4,5,10,6.192503,0.0344253,0.00151577,0.241848
gappy-POD,0.01,0,0.9,2,4,5,10,1.264874,0.021929,0.00168853,0.266292
QDEIM,0.01,0,0.9,2,4,5,10,4.482987,0.024273,0.00170951,0.269064
clsSOPT,0.01,0,0.9,2,4,5,10,6.192503,0.0359262,0.00159368,0.252197
clsgappy-POD,0.01,0,0.9,2,4,5,10,2.770966,0.0261338,0.00170254,0.254973
clsQDEIM,0.01,0,0.9,2,4,5,10,2.883331,0.0264136,0.00166923,0.265022
SOPT,0.01,0,0.9,2,4,5,15,4.967723,0.055022,0.00127292,0.207666
gappy-POD,0.01,0,0.9,2,4,5,15,2.472812,0.0313771,0.00164094,0.259749
QDEIM,0.01,0,0.9,2,4,5,15,2.261559,0.0388966,0.00169343,0.267093
clsSOPT,0.01,0,0.9,2,4,5,15,4.967723,0.0521132,0.00146816,0.234007
clsgappy-POD,0.01,0,0.9,2,4,5,15,3.881905,0.0399184,0.0016331,0.237554
clsQDEIM,0.01,0,0.9,2,4,5,15,2.425547,0.0329589,0.00162929,0.259912
SOPT,0.01,0,0.9,2,4,5,20,9.219907,0.0843331,0.0011699,0.193741
gappy-POD,0.01,0,0.9,2,4,5,20,16.885869,0.038701,0.0016303,0.258217
QDEIM,0.01,0,0.9,2,4,5,20,1.909135,0.0483831,0.00156775,0.249884
clsSOPT,0.01,0,0.9,2,4,5,20,9.219907,0.0708448,0.00129205,0.208829
clsgappy-POD,0.01,0,0.9,2,4,5,20,14.952974,0.0518557,0.00160986,0.234264
clsQDEIM,0.01,0,0.9,2,4,5,20,2.973169,0.0397034,0.00161375,0.258049
SOPT,0.01,0,0.9,2,4,5,25,8.083570,0.0977544,0.00107016,0.179726
gappy-POD,0.01,0,0.9,2,4,5,25,1.644589,0.0479275,0.0015619,0.249266
QDEIM,0.01,0,0.9,2,4,5,25,1.859151,0.0574279,0.00144348,0.2327
clsSOPT,0.01,0,0.9,2,4,5,25,8.083570,0.0870629,0.00119726,0.195534
clsgappy-POD,0.01,0,0.9,2,4,5,25,4.765657,0.0631008,0.00153846,0.221987
clsQDEIM,0.01,0,0.9,2,4,5,25,2.498465,0.0490606,0.00153505,0.247656
SOPT,0.01,0,0.9,2,4,5,30,7.323832,0.109383,0.00104582,0.176951
gappy-POD,0.01,0,0.9,2,4,5,30,1.550194,0.0549663,0.00153466,0.245896
QDEIM,0.01,0,0.9,2,4,5,30,2.095228,0.0667627,0.00138518,0.224917
clsSOPT,0.01,0,0.9,2,4,5,30,7.323832,0.108398,0.00104415,0.174475
clsgappy-POD,0.01,0,0.9,2,4,5,30,4.255910,0.074998,0.0015018,0.216242
clsQDEIM,0.01,0,0.9,2,4,5,30,2.456145,0.0559509,0.00144275,0.235192
SOPT,0.01,0,0.9,2,4,5,35,8.908958,0.121045,0.000939895,0.16206
gappy-POD,0.01,0,0.9,2,4,5,35,1.286963,0.0640492,0.00148402,0.238637
QDEIM,0.01,0,0.9,2,4,5,35,1.774477,0.073931,0.00135844,0.221293
clsSOPT,0.01,0,0.9,2,4,5,35,8.908958,0.121614,0.000998733,0.16787
clsgappy-POD,0.01,0,0.9,2,4,5,35,4.165954,0.0836583,0.00145761,0.209081
clsQDEIM,0.01,0,0.9,2,4,5,35,3.055099,0.0658094,0.0013753,0.225929
SOPT,0.01,0,0.9,2,4,5,40,9.882639,0.133468,0.000897936,0.155973
gappy-POD,0.01,0,0.9,2,4,5,40,1.351914,0.0714017,0.00146512,0.235835
QDEIM,0.01,0,0.9,2,4,5,40,1.913491,0.0806975,0.00130672,0.21398
clsSOPT,0.01,0,0.9,2,4,5,40,9.882639,0.134808,0.00095566,0.161284
clsgappy-POD,0.01,0,0.9,2,4,5,40,4.427929,0.0952664,0.00142194,0.205455
clsQDEIM,0.01,0,0.9,2,4,5,40,4.104405,0.0737458,0.00129295,0.214772
SOPT,0.01,0,0.9,2,4,5,45,6.893495,0.142186,0.000869737,0.152311
gappy-POD,0.01,0,0.9,2,4,5,45,1.774462,0.0761892,0.00144467,0.232475
QDEIM,0.01,0,0.9,2,4,5,45,1.798745,0.0927563,0.00127673,0.210249
clsSOPT,0.01,0,0.9,2,4,5,45,6.893495,0.146397,0.000837078,0.144588
clsgappy-POD,0.01,0,0.9,2,4,5,45,4.202400,0.109451,0.00139021,0.196805
clsQDEIM,0.01,0,0.9,2,4,5,45,2.862082,0.0850808,0.00122772,0.20614
SOPT,0.01,0,0.9,2,4,5,50,7.722936,0.146472,0.0008645,0.151689
gappy-POD,0.01,0,0.9,2,4,5,50,1.579353,0.0828237,0.00141287,0.227996
QDEIM,0.01,0,0.9,2,4,5,50,1.555936,0.10633,0.00123457,0.205228
clsSOPT,0.01,0,0.9,2,4,5,50,7.722936,0.167613,0.000736603,0.130211
clsgappy-POD,0.01,0,0.9,2,4,5,50,4.201778,0.116225,0.00138173,0.195481
clsQDEIM,0.01,0,0.9,2,4,5,50,2.199902,0.0926602,0.00119944,0.202253
SOPT,0.01,0,0.9,2,4,5,55,7.806923,0.163992,0.000743089,0.134966
gappy-POD,0.01,0,0.9,2,4,5,55,1.540036,0.0926912,0.00139004,0.22529
QDEIM,0.01,0,0.9,2,4,5,55,1.957897,0.114201,0.00121687,0.203011
clsSOPT,0.01,0,0.9,2,4,5,55,7.806923,0.180726,0.000693221,0.12429
clsgappy-POD,0.01,0,0.9,2,4,5,55,3.263432,0.120754,0.00137383,0.193261
clsQDEIM,0.01,0,0.9,2,4,5,55,2.151370,0.0989458,0.0011648,0.19759
SOPT,0.01,0,0.9,2,4,5,60,5.669752,0.17252,0.00068723,0.126452
gappy-POD,0.01,0,0.9,2,4,5,60,1.277776,0.100731,0.00137642,0.22362
QDEIM,0.01,0,0.9,2,4,5,60,1.691402,0.121799,0.00117727,0.196773
clsSOPT,0.01,0,0.9,2,4,5,60,5.669752,0.195913,0.000635766,0.116031
clsgappy-POD,0.01,0,0.9,2,4,5,60,2.630121,0.13068,0.00133521,0.184354
clsQDEIM,0.01,0,0.9,2,4,5,60,2.277493,0.101652,0.00116479,0.197611
SOPT,0.01,0,0.9,2,4,5,65,5.578535,0.177494,0.000643109,0.119865
gappy-POD,0.01,0,0.9,2,4,5,65,1.786898,0.11047,0.00127464,0.209356
QDEIM,0.01,0,0.9,2,4,5,65,1.852417,0.129631,0.0011603,0.194801
clsSOPT,0.01,0,0.9,2,4,5,65,5.578535,0.206299,0.000621506,0.114161
clsgappy-POD,0.01,0,0.9,2,4,5,65,3.180502,0.139691,0.00123723,0.165457
clsQDEIM,0.01,0,0.9,2,4,5,65,2.347444,0.107511,0.00112456,0.192196
SOPT,0.01,0,0.9,2,4,5,70,5.165909,0.181254,0.000640143,0.118663
gappy-POD,0.01,0,0.9,2,4,5,70,1.488001,0.118425,0.00117494,0.19512
QDEIM,0.01,0,0.9,2,4,5,70,1.594028,0.135482,0.00114019,0.192468
clsSOPT,0.01,0,0.9,2,4,5,70,5.165909,0.235814,0.000578366,0.108475
clsgappy-POD,0.01,0,0.9,2,4,5,70,2.671206,0.147673,0.00115654,0.150224
clsQDEIM,0.01,0,0.9,2,4,5,70,2.055171,0.119383,0.00110433,0.190238
SOPT,0.01,0,0.9,2,4,5,75,6.232930,0.18946,0.000631386,0.117082
gappy-POD,0.01,0,0.9,2,4,5,75,1.348131,0.131457,0.00108075,0.182075
QDEIM,0.01,0,0.9,2,4,5,75,1.438265,0.146758,0.0011099,0.188472
clsSOPT,0.01,0,0.9,2,4,5,75,6.232930,0.24121,0.000569501,0.107051
clsgappy-POD,0.01,0,0.9,2,4,5,75,2.497126,0.152524,0.00113993,0.145359
clsQDEIM,0.01,0,0.9,2,4,5,75,2.191151,0.131451,0.00102176,0.178658
SOPT,0.01,0,0.9,2,4,5,80,118.180481,0.191787,0.000609052,0.114579
gappy-POD,0.01,0,0.9,2,4,5,80,1.783332,0.143824,0.000997159,0.170221
QDEIM,0.01,0,0.9,2,4,5,80,1.436053,0.152035,0.0010921,0.185586
clsSOPT,0.01,0,0.9,2,4,5,80,118.180481,0.254498,0.000468055,0.0916534
clsgappy-POD,0.01,0,0.9,2,4,5,80,2.552891,0.161734,0.00108723,0.13433
clsQDEIM,0.01,0,0.9,2,4,5,80,2.227445,0.145188,0.000935594,0.167354
SOPT,0.01,0,0.9,2,4,5,85,143.668871,0.201387,0.000582585,0.110301
gappy-POD,0.01,0,0.9,2,4,5,85,1.992486,0.152913,0.000946099,0.163667
QDEIM,0.01,0,0.9,2,4,5,85,1.832125,0.158558,0.00107723,0.183877
clsSOPT,0.01,0,0.9,2,4,5,85,143.668871,0.25813,0.000460494,0.0903746
clsgappy-POD,0.01,0,0.9,2,4,5,85,3.392238,0.168593,0.00105222,0.127801
clsQDEIM,0.01,0,0.9,2,4,5,85,2.250254,0.154573,0.00091687,0.164699
SOPT,0.01,0,0.9,2,4,5,90,129.436483,0.197913,0.000582585,0.110301
gappy-POD,0.01,0,0.9,2,4,5,90,1.681399,0.16083,0.000880758,0.155154
QDEIM,0.01,0,0.9,2,4,5,90,1.804302,0.168887,0.00102197,0.176906
clsSOPT,0.01,0,0.9,2,4,5,90,129.436483,0.261918,0.000449166,0.0885812
clsgappy-POD,0.01,0,0.9,2,4,5,90,3.145686,0.177751,0.00100834,0.117112
clsQDEIM,0.01,0,0.9,2,4,5,90,1.950763,0.170341,0.000861663,0.156597
SOPT,0.01,0,0.9,2,4,5,95,167.494792,0.201324,0.000582585,0.110301
gappy-POD,0.01,0,0.9,2,4,5,95,1.498695,0.172565,0.000818862,0.145611
QDEIM,0.01,0,0.9,2,4,5,95,1.624681,0.176004,0.000966333,0.168382
clsSOPT,0.01,0,0.9,2,4,5,95,167.494792,0.268451,0.000449258,0.088176
clsgappy-POD,0.01,0,0.9,2,4,5,95,2.901290,0.182595,0.000987814,0.112523
clsQDEIM,0.01,0,0.9,2,4,5,95,2.150376,0.180657,0.000847402,0.154538
SOPT,0.01,0,0.9,2,4,5,100,138.189563,0.198792,0.000582585,0.110301
gappy-POD,0.01,0,0.9,2,4,5,100,1.370527,0.177517,0.000775044,0.139064
QDEIM,0.01,0,0.9,2,4,5,100,1.584878,0.177139,0.000951436,0.166291
clsSOPT,0.01,0,0.9,2,4,5,100,138.189563,0.280966,0.000409872,0.0828852
clsgappy-POD,0.01,0,0.9,2,4,5,100,3.200016,0.185218,0.000987735,0.113233
clsQDEIM,0.01,0,0.9,2,4,5,100,2.036126,0.193534,0.000762893,0.142061
SOPT,0.01,0,0.9,2,4,5,105,173.791017,0.202641,0.000582585,0.110301
gappy-POD,0.01,0,0.9,2,4,5,105,1.508205,0.184781,0.000754355,0.137687
QDEIM,0.01,0,0.9,2,4,5,105,1.454701,0.184703,0.0009278,0.163322
clsSOPT,0.01,0,0.9,2,4,5,105,173.791017,0.289627,0.000352691,0.073524
clsgappy-POD,0.01,0,0.9,2,4,5,105,2.930778,0.192225,0.000946535,0.105697
clsQDEIM,0.01,0,0.9,2,4,5,105,1.929071,0.206291,0.000678665,0.129946
SOPT,0.01,0,0.9,2,4,5,110,154.431076,0.205777,0.000535241,0.103054
gappy-POD,0.01,0,0.9,2,4,5,110,1.284346,0.19437,0.00070891,0.130981
QDEIM,0.01,0,0.9,2,4,5,110,1.435749,0.181896,0.000927808,0.16322
clsSOPT,0.01,0,0.9,2,4,5,110,154.431076,0.291623,0.000352691,0.073524
clsgappy-POD,0.01,0,0.9,2,4,5,110,2.815768,0.202667,0.000915809,0.100603
clsQDEIM,0.01,0,0.9,2,4,5,110,1.908945,0.217403,0.000646741,0.124211
SOPT,0.01,0,0.9,2,4,5,115,129.292447,0.207148,0.000535241,0.103054
gappy-POD,0.01,0,0.9,2,4,5,115,1.377281,0.206499,0.000675321,0.126948
QDEIM,0.01,0,0.9,2,4,5,115,1.482882,0.187498,0.000894331,0.158027
clsSOPT,0.01,0,0.9,2,4,5,115,129.292447,0.294504,0.000352691,0.073524
clsgappy-POD,0.01,0,0.9,2,4,5,115,2.722145,0.211462,0.000861686,0.0888441
clsQDEIM,0.01,0,0.9,2,4,5,115,2.157048,0.232998,0.000627973,0.121548
SOPT,0.01,0,0.9,2,4,5,120,127.172918,0.206455,0.000535241,0.103054
gappy-POD,0.01,0,0.9,2,4,5,120,1.457599,0.216719,0.000650701,0.12397
QDEIM,0.01,0,0.9,2,4,5,120,1.434699,0.193129,0.000820515,0.146979
clsSOPT,0.01,0,0.9,2,4,5,120,127.172918,0.296598,0.000352691,0.073524
clsgappy-POD,0.01,0,0.9,2,4,5,120,2.724782,0.215898,0.000861251,0.0882632
clsQDEIM,0.01,0,0.9,2,4,5,120,1.991830,0.248259,0.000607459,0.118359
SOPT,0.01,1,0.99,4,8,11,16,12.206098,0.0530515,0.00129919,0.196592
gappy-POD,0.01,1,0.99,4,8,11,16,6.312988,0.0369111,0.00159636,0.438549
QDEIM,0.01,1,0.99,4,8,11,16,5.524122,0.0341057,0.00153223,0.277052
clsSOPT,0.01,1,0.99,4,8,11,16,12.206098,0.0629055,0.00142027,0.215103
clsgappy-POD,0.01,1,0.99,4,8,11,16,22.872241,0.0457344,0.00152418,0.590043
clsQDEIM,0.01,1,0.99,4,8,11,16,22.691257,0.047883,0.00152193,0.267401
SOPT,0.01,1,0.99,4,8,11,21,7.499683,0.0671428,0.00125742,0.250775
gappy-POD,0.01,1,0.99,4,8,11,21,6.033010,0.0463101,0.00155259,0.445748
QDEIM,0.01,1,0.99,4,8,11,21,7.924099,0.045851,0.00144194,0.357344
clsSOPT,0.01,1,0.99,4,8,11,21,7.499683,0.0880488,0.00126528,0.362841
clsgappy-POD,0.01,1,0.99,4,8,11,21,9.777195,0.0606858,0.0014084,0.455743
clsQDEIM,0.01,1,0.99,4,8,11,21,4.511630,0.057161,0.00146127,0.257994
SOPT,0.01,1,0.99,4,8,11,26,5.457777,0.0815421,0.00119829,0.271708
gappy-POD,0.01,1,0.99,4,8,11,26,3.399193,0.0531849,0.00153829,0.444932
QDEIM,0.01,1,0.99,4,8,11,26,3.610514,0.0531325,0.00140012,0.342657
clsSOPT,0.01,1,0.99,4,8,11,26,5.457777,0.105935,0.00116648,0.299562
clsgappy-POD,0.01,1,0.99,4,8,11,26,6.857962,0.0580299,0.00155345,0.604365
clsQDEIM,0.01,1,0.99,4,8,11,26,7.165410,0.0684457,0.00137186,0.331286
SOPT,0.01,1,0.99,4,8,11,31,4.492029,0.0880588,0.00114813,0.290687
gappy-POD,0.01,1,0.99,4,8,11,31,4.785522,0.0553733,0.00152182,0.428512
QDEIM,0.01,1,0.99,4,8,11,31,4.746519,0.0675583,0.00134237,0.320526
clsSOPT,0.01,1,0.99,4,8,11,31,4.492029,0.112919,0.00112561,0.278229
clsgappy-POD,0.01,1,0.99,4,8,11,31,5.857982,0.0635979,0.00155098,0.637767
clsQDEIM,0.01,1,0.99,4,8,11,31,6.667917,0.0864733,0.00120071,0.286225
SOPT,0.01,1,0.99,4,8,11,36,4.808141,0.11092,0.000964398,0.198579
gappy-POD,0.01,1,0.99,4,8,11,36,3.248035,0.0643242,0.00147088,0.395818
QDEIM,0.01,1,0.99,4,8,11,36,4.651117,0.0853638,0.00128974,0.314943
clsSOPT,0.01,1,0.99,4,8,11,36,4.808141,0.129056,0.000925967,0.236124
