EQPglobal,40,27,0.1,0.999,,3.17558e-07,0.000562983,1.03968e-05,4.14205,50,75,84,168,126,126,126,168,126,168,126,168,126,126,126,126,126,126,126,126,126,126,84,126,84,126,84,126,84,126,126,168,126,168,84,168,84,126,84,126,84,126,84,126,84,126,84,126,84,126,126,126,126,126,
EQP,40,27,0.1,0.999,40,0.00409034,0.753809,0.056101,2.71275,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,
EQP,40,27,0.1,0.999,60,0.000132445,0.282464,0.0303837,3.33244,50,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,
EQP,40,27,0.1,0.999,80,0.00050575,0.0587211,0.00974715,3.37504,50,75,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,
EQP,40,27,0.1,0.999,100,5.4787e-05,0.14794,0.00363003,3.66991,50,75,84,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,84,100,84,100,84,100,84,100,100,100,100,100,84,100,84,100,84,100,84,100,84,100,84,100,84,100,84,100,100,100,100,100,
EQP,40,27,0.1,0.999,120,5.86342e-06,0.00237262,6.48435e-05,4.14368,50,75,84,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,84,120,84,120,84,120,84,120,120,120,120,120,84,120,84,120,84,120,84,120,84,120,84,120,84,120,84,120,120,120,120,120,
EQP,40,27,0.1,0.999,140,3.1725e-07,0.000563635,1.04555e-05,4.21307,50,75,84,140,126,126,126,140,126,140,126,140,126,126,126,126,126,126,126,126,126,126,84,126,84,126,84,126,84,126,126,140,126,140,84,140,84,126,84,126,84,126,84,126,84,126,84,126,84,126,126,126,126,126,
EQP,40,27,0.1,0.999,160,3.17557e-07,0.000562997,1.03982e-05,4.23718,50,75,84,160,126,126,126,160,126,160,126,160,126,126,126,126,126,126,126,126,126,126,84,126,84,126,84,126,84,126,126,160,126,160,84,160,84,126,84,126,84,126,84,126,84,126,84,126,84,126,126,126,126,126,
EQP,40,27,0.1,0.999,180,3.17558e-07,0.000562983,1.03968e-05,4.27757,50,75,84,168,126,126,126,168,126,168,126,168,126,126,126,126,126,126,126,126,126,126,84,126,84,126,84,126,84,126,126,168,126,168,84,168,84,126,84,126,84,126,84,126,84,126,84,126,84,126,126,126,126,126,
EQP,40,27,0.1,0.999,200,3.17558e-07,0.000562983,1.03968e-05,4.29639,50,75,84,168,126,126,126,168,126,168,126,168,126,126,126,126,126,126,126,126,126,126,84,126,84,126,84,126,84,126,126,168,126,168,84,168,84,126,84,126,84,126,84,126,84,126,84,126,84,126,126,126,126,126,
