method,window,w,t,q,ErrX,ErrV,ErrE,TT2,nqp
EQPglobal,40,59,0.3,0.999,,2.66201e-05,0.0181218,0.000355661,13.0006,93,155,129,215,129,215,129,258,129,258,129,215,129,258,129,258,129,215,129,258,129,215,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,215,129,215,129,258,129,258,129,258,129,215,129,215,129,215,172,215,
EQP,40,59,0.3,0.999,100,0.00344248,3.97461,0.132627,9.58481,93,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
EQP,40,59,0.3,0.999,200,2.70113e-05,0.0184488,0.000395948,12.5635,93,155,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,129,200,172,200,
EQP,40,59,0.3,0.999,300,2.66201e-05,0.0181218,0.000355661,12.0431,93,155,129,215,129,215,129,258,129,258,129,215,129,258,129,258,129,215,129,258,129,215,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,215,129,215,129,258,129,258,129,258,129,215,129,215,129,215,172,215,
EQP,40,59,0.3,0.999,400,2.66201e-05,0.0181218,0.000355661,12.7211,93,155,129,215,129,215,129,258,129,258,129,215,129,258,129,258,129,215,129,258,129,215,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,215,129,215,129,258,129,258,129,258,129,215,129,215,129,215,172,215,
EQP,40,59,0.3,0.999,500,2.66201e-05,0.0181218,0.000355661,13.0018,93,155,129,215,129,215,129,258,129,258,129,215,129,258,129,258,129,215,129,258,129,215,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,215,129,215,129,258,129,258,129,258,129,215,129,215,129,215,172,215,
EQP,40,59,0.3,0.999,600,2.66201e-05,0.0181218,0.000355661,13.1548,93,155,129,215,129,215,129,258,129,258,129,215,129,258,129,258,129,215,129,258,129,215,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,215,129,215,129,258,129,258,129,258,129,215,129,215,129,215,172,215,
EQP,40,59,0.3,0.999,700,2.66201e-05,0.0181218,0.000355661,14.9823,93,155,129,215,129,215,129,258,129,258,129,215,129,258,129,258,129,215,129,258,129,215,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,215,129,215,129,258,129,258,129,258,129,215,129,215,129,215,172,215,
EQP,40,59,0.3,0.999,800,2.66201e-05,0.0181218,0.000355661,13.6278,93,155,129,215,129,215,129,258,129,258,129,215,129,258,129,258,129,215,129,258,129,215,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,258,129,215,129,215,129,258,129,258,129,258,129,215,129,215,129,215,172,215,
EQP,40,59,0.3,0.999,40,0.0218937,11.2451,0.0319997,10.4695,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,
