method,t,n,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
clsdopt,0.1,1,10,10,31,5,30.112016,5.834777,0.503687,0.0206404,0.408191,6.60311e-05
clsqdeim,0.1,1,10,10,31,5,26.928133,9.813961,,0.0518609,1.81771,0.201152
clsgnat,0.1,1,10,10,31,5,42.912781,10.324526,,0.0949432,7.2326,0.63201
dopt,0.1,1,10,10,31,5,17.719141,5.858896,0.543995,0.0206469,0.408525,6.54543e-05
qdeim,0.1,1,10,10,31,5,21.058779,7.999560,,0.0395473,1.73664,0.11631
gnat,0.1,1,10,10,31,5,43.621082,7.261993,,0.0577327,1.92073,0.192562
clsdopt,0.1,1,10,10,31,10,16.324362,4.841530,0.568573,0.0206414,0.408269,6.60664e-05
clsqdeim,0.1,1,10,10,31,10,18.507061,8.502661,,0.0513283,1.21678,0.113844
clsgnat,0.1,1,10,10,31,10,35.906626,9.109872,,0.094841,7.23445,0.646239
dopt,0.1,1,10,10,31,10,10.432632,6.489143,0.58449,0.0206462,0.408492,6.53963e-05
qdeim,0.1,1,10,10,31,10,17.384318,8.205289,,0.00977605,1.72358,0.156109
gnat,0.1,1,10,10,31,10,13.894708,6.036811,,0.0575998,1.94283,0.19678
clsdopt,0.1,1,10,10,31,15,10.949481,3.837506,0.651477,0.0206412,0.408267,6.59964e-05
clsqdeim,0.1,1,10,10,31,15,13.207563,8.055296,,0.0572096,1.6616,0.142025
clsgnat,0.1,1,10,10,31,15,18.060310,6.410725,,0.094865,7.3343,0.675737
dopt,0.1,1,10,10,31,15,9.625832,4.599756,0.623072,0.0206451,0.408492,6.52049e-05
qdeim,0.1,1,10,10,31,15,14.871040,5.230750,,0.0342538,1.43945,0.7677
gnat,0.1,1,10,10,31,15,7.631985,4.180156,,0.0573181,1.90966,0.186945
clsdopt,0.1,1,10,10,31,20,11.765036,4.097214,0.648767,0.0206417,0.408268,6.56707e-05
clsqdeim,0.1,1,10,10,31,20,14.876014,12.635809,,0.0542918,1.17105,0.0760578
clsgnat,0.1,1,10,10,31,20,20.796925,6.471890,,0.0947451,7.35739,0.687539
dopt,0.1,1,10,10,31,20,8.182535,7.783404,0.627049,0.0206451,0.408488,6.51809e-05
qdeim,0.1,1,10,10,31,20,16.230790,10.477374,,0.0372069,1.69923,1.41536
gnat,0.1,1,10,10,31,20,6.390994,4.412373,,0.0573555,1.92052,0.194993
clsdopt,0.1,1,10,10,31,25,7.728568,4.152940,0.7173,0.0206418,0.40827,6.56685e-05
clsqdeim,0.1,1,10,10,31,25,11.488775,5.092841,,0.0331973,1.23555,0.0825108
clsgnat,0.1,1,10,10,31,25,18.613137,6.880309,,0.0947586,7.46428,0.732063
dopt,0.1,1,10,10,31,25,6.597712,3.711612,0.689776,0.0206454,0.408493,6.50205e-05
qdeim,0.1,1,10,10,31,25,10.442216,6.388306,,0.0283368,1.60894,1.10396
gnat,0.1,1,10,10,31,25,7.065245,2.600066,,0.0571316,1.91351,0.189865
clsdopt,0.1,1,10,10,31,30,6.343579,4.560846,1.43102,0.0206425,0.4083,6.56039e-05
clsqdeim,0.1,1,10,10,31,30,12.907251,6.003454,,0.0345392,1.6889,0.37892
clsgnat,0.1,1,10,10,31,30,14.381213,6.433017,,0.0946249,7.62084,0.776734
dopt,0.1,1,10,10,31,30,6.470635,7.279752,1.1692,0.0206449,0.408491,6.50785e-05
qdeim,0.1,1,10,10,31,30,11.834342,9.938774,,0.00886128,4.19481,0.0885865
gnat,0.1,1,10,10,31,30,4.911280,4.908012,,0.0572969,2.20574,0.199794
clsdopt,0.1,1,10,10,31,35,6.280875,4.073118,0.794448,0.0206431,0.408318,6.55694e-05
clsqdeim,0.1,1,10,10,31,35,8.439934,3.310641,,0.0228143,2.08813,0.146786
clsgnat,0.1,1,10,10,31,35,10.748088,4.825103,,0.0916348,4.40256,0.62489
dopt,0.1,1,10,10,31,35,5.563154,3.368441,0.735927,0.0206448,0.408488,6.50281e-05
qdeim,0.1,1,10,10,31,35,10.108176,4.866832,0.68945,0.000312799,0.0449103,0.0055624
gnat,0.1,1,10,10,31,35,5.061619,2.941875,,0.0391966,1.70042,0.0954599
clsdopt,0.1,1,10,10,31,40,5.288464,3.548182,0.819402,0.0206426,0.408328,6.55382e-05
clsqdeim,0.1,1,10,10,31,40,10.722150,4.356103,,0.0200967,1.04549,0.104037
clsgnat,0.1,1,10,10,31,40,11.279113,4.858891,,0.0921839,805.361,
dopt,0.1,1,10,10,31,40,5.170659,4.669192,0.797801,0.0206449,0.408484,6.49529e-05
qdeim,0.1,1,10,10,31,40,10.238421,6.726769,0.878803,0.00223548,0.561814,0.0563072
gnat,0.1,1,10,10,31,40,4.228529,3.910083,,0.037138,1.69015,0.0762892
clsdopt,0.1,1,10,10,31,45,4.865544,2.991536,0.909851,0.0206426,0.408326,6.54595e-05
clsqdeim,0.1,1,10,10,31,45,7.329704,3.117282,,0.0363519,0.963298,0.0468667
clsgnat,0.1,1,10,10,31,45,10.429410,2.708691,,0.0928193,6.07291,0.465949
dopt,0.1,1,10,10,31,45,4.501006,2.485736,0.78471,0.0206449,0.408483,6.49604e-05
qdeim,0.1,1,10,10,31,45,8.522802,4.040456,0.873102,0.00144348,0.371319,0.042693
gnat,0.1,1,10,10,31,45,4.995516,3.447759,,0.0348158,1.90002,0.133007
clsdopt,0.1,1,10,10,31,50,5.632252,2.768935,0.95773,0.0206422,0.408344,6.54432e-05
clsqdeim,0.1,1,10,10,31,50,10.049787,3.893670,,0.0362361,1.1196,0.0522384
clsgnat,0.1,1,10,10,31,50,9.509795,2.787463,,0.0926104,19.7222,2.56619
dopt,0.1,1,10,10,31,50,4.054812,2.828999,0.882605,0.0206447,0.408481,6.4953e-05
qdeim,0.1,1,10,10,31,50,8.752482,6.338745,0.917411,0.00184143,0.501206,0.0555031
gnat,0.1,1,10,10,31,50,4.151333,2.307191,,0.0359385,2.2541,0.15185
clsdopt,0.1,1,10,10,31,55,4.018036,3.153550,0.968389,0.0206427,0.408363,6.5416e-05
clsqdeim,0.1,1,10,10,31,55,7.602928,3.289828,0.894392,0.0046839,0.389036,0.0272932
clsgnat,0.1,1,10,10,31,55,11.340004,3.256370,,0.0929778,33.0824,7.44146
dopt,0.1,1,10,10,31,55,4.830952,2.832263,0.873645,0.0206447,0.408478,6.49737e-05
qdeim,0.1,1,10,10,31,55,9.284223,4.443984,0.827638,0.00107743,0.215523,0.0250027
gnat,0.1,1,10,10,31,55,3.929326,2.995599,,0.0366328,1.31065,0.0954047
clsdopt,0.1,1,10,10,31,60,4.333421,2.642784,1.00166,0.0206432,0.40838,6.54312e-05
clsqdeim,0.1,1,10,10,31,60,7.903405,3.086525,0.854427,0.000929426,0.0672779,0.00328023
clsgnat,0.1,1,10,10,31,60,8.420169,2.708913,,0.0929952,21.677,3.23618
dopt,0.1,1,10,10,31,60,4.535230,2.892978,0.873211,0.0206447,0.408481,6.49898e-05
qdeim,0.1,1,10,10,31,60,8.343027,5.469419,0.877244,0.000177495,0.0381136,0.00420409
gnat,0.1,1,10,10,31,60,3.816652,2.222925,,0.0410943,21.3042,0.118641
clsdopt,0.1,1,10,10,31,65,4.041821,2.805483,1.04509,0.0206437,0.408383,6.54037e-05
clsqdeim,0.1,1,10,10,31,65,6.747800,2.245670,0.980614,0.000713873,0.0623729,0.00448627
clsgnat,0.1,1,10,10,31,65,8.891517,2.880453,,0.0930514,26.5064,4.92246
dopt,0.1,1,10,10,31,65,3.909092,2.358939,0.976821,0.0206447,0.40848,6.49261e-05
qdeim,0.1,1,10,10,31,65,6.987699,4.463088,0.869497,0.000187051,0.0277354,0.00306624
gnat,0.1,1,10,10,31,65,3.758782,2.489348,,0.0378831,2.21816,0.144977
clsdopt,0.1,1,10,10,31,70,4.024980,3.146920,1.09556,0.0206437,0.408383,6.53894e-05
