method,t,n,ef,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
sopt,0.1,3,0.9999,10,32,72,90,6.054288,3.554056,1.909,0.000431161,0.112767,0.0157013
clssopt,0.1,3,0.9999,10,32,72,95,6.459919,4.145847,3.56559,0.000117409,0.0243063,0.00372014
sopt,0.1,3,0.9999,10,32,72,95,7.094307,3.688274,1.96732,0.000375966,0.0947645,0.0135803
clssopt,0.1,3,0.9999,10,32,72,100,6.511326,5.026515,2.01655,8.15551e-05,0.0133143,0.00184984
sopt,0.1,3,0.9999,10,32,72,100,6.698825,3.598286,2.06876,0.000326902,0.0753792,0.0106706
clsqdeim,0.1,3,0.9999,10,32,72,5,107.377390,7.894428,,0.0589764,1.8928,0.271768
qdeim,0.1,3,0.9999,10,32,72,5,63.481037,8.055198,,0.0370227,3.57773,0.26483
clsqdeim,0.1,3,0.9999,10,32,72,10,42.308515,7.894428,,0.0500085,1.4197,0.140717
qdeim,0.1,3,0.9999,10,32,72,10,41.507119,8.055198,,0.0285851,3.29758,0.26896
clsqdeim,0.1,3,0.9999,10,32,72,15,36.709279,7.894428,,0.0437268,4.62757,1.03231
qdeim,0.1,3,0.9999,10,32,72,15,24.644292,8.055198,,0.0307591,2.80218,0.224183
clsqdeim,0.1,3,0.9999,10,32,72,20,36.542068,7.894428,,0.0375004,2.22983,0.381832
qdeim,0.1,3,0.9999,10,32,72,20,23.995097,8.055198,,0.040659,2.93584,0.286915
clsqdeim,0.1,3,0.9999,10,32,72,25,42.761046,7.894428,,0.0383934,2.08278,0.337083
qdeim,0.1,3,0.9999,10,32,72,25,19.133390,8.055198,,0.0377063,1.88696,0.214996
clsqdeim,0.1,3,0.9999,10,32,72,30,35.184808,7.894428,,0.0438074,1.53616,0.207928
qdeim,0.1,3,0.9999,10,32,72,30,22.286343,8.055198,,0.0362526,1.99024,0.226012
clsqdeim,0.1,3,0.9999,10,32,72,35,28.457800,7.894428,,0.0416936,1.80314,0.220509
qdeim,0.1,3,0.9999,10,32,72,35,22.571066,8.055198,,0.034879,2.44114,0.285166
clsqdeim,0.1,3,0.9999,10,32,72,40,25.818349,7.894428,,0.0413873,1.71813,0.232421
qdeim,0.1,3,0.9999,10,32,72,40,23.552119,8.055198,,0.0319398,2.36625,0.279329
clsqdeim,0.1,3,0.9999,10,32,72,45,24.544554,7.894428,,0.0440759,1.67635,0.253648
qdeim,0.1,3,0.9999,10,32,72,45,26.658410,8.055198,,0.0325203,2.29273,0.271608
clsqdeim,0.1,3,0.9999,10,32,72,50,21.773158,7.894428,,0.0452695,2.15203,0.354572
qdeim,0.1,3,0.9999,10,32,72,50,17.954616,8.055198,,0.0310744,2.5152,0.298566
clsqdeim,0.1,3,0.9999,10,32,72,55,22.695797,7.894428,,0.0442313,1.98799,0.31996
qdeim,0.1,3,0.9999,10,32,72,55,16.371435,8.055198,,0.027685,2.95124,0.357249
clsqdeim,0.1,3,0.9999,10,32,72,60,30.591073,7.894428,,0.0394344,2.00354,0.33942
qdeim,0.1,3,0.9999,10,32,72,60,18.755975,8.055198,,0.0314849,2.71626,0.339168
clsqdeim,0.1,3,0.9999,10,32,72,65,20.199250,7.894428,,0.0377388,1.99703,0.323022
qdeim,0.1,3,0.9999,10,32,72,65,15.421354,8.055198,,0.032186,2.60728,0.339342
clsqdeim,0.1,3,0.9999,10,32,72,70,17.516246,7.894428,,0.0392065,1.96699,0.318743
qdeim,0.1,3,0.9999,10,32,72,70,16.588133,8.055198,,0.0292952,3.84524,0.445676
clsqdeim,0.1,3,0.9999,10,32,72,75,19.888998,7.894428,,0.0368902,1.96558,0.319659
qdeim,0.1,3,0.9999,10,32,72,75,13.792819,8.055198,,0.0290353,3.84258,0.456714
clsqdeim,0.1,3,0.9999,10,32,72,80,17.745760,7.894428,,0.0393182,1.91203,0.31103
qdeim,0.1,3,0.9999,10,32,72,80,16.907581,8.055198,,0.027782,4.02356,0.471269
clsqdeim,0.1,3,0.9999,10,32,72,85,16.237089,7.894428,,0.0383707,2.19314,0.361184
qdeim,0.1,3,0.9999,10,32,72,85,11.280003,8.055198,,0.021182,4.41608,0.564242
clsqdeim,0.1,3,0.9999,10,32,72,90,16.037129,7.894428,,0.0365885,2.16761,0.356321
qdeim,0.1,3,0.9999,10,32,72,90,12.522534,8.055198,,0.0120937,3.53138,0.333676
clsqdeim,0.1,3,0.9999,10,32,72,95,18.015662,7.894428,,0.0350569,2.25179,0.418117
qdeim,0.1,3,0.9999,10,32,72,95,11.874602,8.055198,2.27591,0.00319244,2.31095,0.206778
clsqdeim,0.1,3,0.9999,10,32,72,100,17.067652,7.894428,,0.0351934,2.31606,0.474234
qdeim,0.1,3,0.9999,10,32,72,100,11.367835,8.055198,1.91476,0.00132238,0.409108,0.0487909
clssopt,0.1,4,0.99999,10,54,90,5,74.638466,30.112099,,0.0522938,2.92529,0.102838
sopt,0.1,4,0.99999,10,54,90,5,70.407945,22.948781,,0.045666,4.06272,0.433031
clssopt,0.1,4,0.99999,10,54,90,10,52.534253,13.514082,,0.0488849,2.01192,0.33373
sopt,0.1,4,0.99999,10,54,90,10,40.753789,15.150639,,0.0159654,1.61865,0.176182
clssopt,0.1,4,0.99999,10,54,90,15,39.047197,14.455896,,0.0342622,3.13744,0.342181
sopt,0.1,4,0.99999,10,54,90,15,30.770245,13.496090,,0.0150921,389.371,
clssopt,0.1,4,0.99999,10,54,90,20,29.637933,9.085955,,0.033247,2.24454,0.280754
sopt,0.1,4,0.99999,10,54,90,20,23.110168,7.570951,1.39213,0.000534494,0.0951731,0.0098366
clssopt,0.1,4,0.99999,10,54,90,25,20.373751,8.295697,,0.0147319,8.72963,2.04679
sopt,0.1,4,0.99999,10,54,90,25,18.254548,7.213859,1.51055,0.000230134,0.0761561,0.0099363
clssopt,0.1,4,0.99999,10,54,90,30,22.566581,9.709510,,0.0053008,1.22314,0.134725
sopt,0.1,4,0.99999,10,54,90,30,19.620942,6.887971,1.51901,0.000224033,0.0753294,0.0105701
clssopt,0.1,4,0.99999,10,54,90,35,17.901344,6.291723,,0.00270064,1.54795,0.167817
sopt,0.1,4,0.99999,10,54,90,35,23.074645,5.821079,1.60088,9.49195e-05,0.00876881,0.00119534
clssopt,0.1,4,0.99999,10,54,90,40,13.693450,6.835630,1.7417,0.00132341,0.654901,0.076163
sopt,0.1,4,0.99999,10,54,90,40,12.422098,5.241193,1.68049,7.83978e-05,0.0124101,0.00152074
clssopt,0.1,4,0.99999,10,54,90,45,16.948861,11.104321,1.685,0.000230513,0.0432959,0.00493158
sopt,0.1,4,0.99999,10,54,90,45,13.176681,8.145255,1.70863,8.60464e-05,0.014213,0.00233027
clssopt,0.1,4,0.99999,10,54,90,50,15.329919,5.451651,1.74267,0.000208546,0.0457223,0.00628855
sopt,0.1,4,0.99999,10,54,90,50,12.264064,5.287711,1.82977,3.80999e-05,0.00453186,0.000829025
clssopt,0.1,4,0.99999,10,54,90,55,14.623411,5.049573,1.8059,0.000229951,0.0351636,0.00431055
sopt,0.1,4,0.99999,10,54,90,55,11.585954,4.915318,1.7989,4.09609e-05,0.00644074,0.00109291
clssopt,0.1,4,0.99999,10,54,90,60,15.673588,7.250141,1.90108,7.39386e-05,0.0173669,0.00220175
sopt,0.1,4,0.99999,10,54,90,60,10.648188,5.169376,1.84173,2.85271e-05,0.00520801,0.000734213
clssopt,0.1,4,0.99999,10,54,90,65,9.662234,5.822207,1.87688,7.68044e-05,0.0152628,0.00200872
sopt,0.1,4,0.99999,10,54,90,65,9.600399,4.381461,3.3649,3.49087e-05,0.00490108,0.000568544
clssopt,0.1,4,0.99999,10,54,90,70,10.384348,5.597904,1.90464,7.17999e-05,0.0167081,0.00219362
sopt,0.1,4,0.99999,10,54,90,70,10.205605,4.390847,1.96578,2.67373e-05,0.00382246,0.000470245
clssopt,0.1,4,0.99999,10,54,90,75,12.859332,7.167139,1.9613,6.5154e-05,0.0121833,0.00165399
sopt,0.1,4,0.99999,10,54,90,75,8.393321,4.968586,1.97715,2.02196e-05,0.00322146,0.000389002
clssopt,0.1,4,0.99999,10,54,90,80,10.198193,6.075230,1.98901,5.85412e-05,0.00954263,0.00154232
sopt,0.1,4,0.99999,10,54,90,80,8.515240,4.205769,2.09251,1.86562e-05,0.00284391,0.000403216
clssopt,0.1,4,0.99999,10,54,90,85,9.726280,5.998896,2.11991,5.66804e-05,0.00701398,0.00116277
sopt,0.1,4,0.99999,10,54,90,85,8.592640,4.256481,2.46435,1.91439e-05,0.00316788,0.000452569
clssopt,0.1,4,0.99999,10,54,90,90,10.385490,9.205370,2.07567,3.43403e-05,0.00536197,0.000930327
sopt,0.1,4,0.99999,10,54,90,90,8.538124,6.228066,2.08373,2.09417e-05,0.00291494,0.000407486
clssopt,0.1,4,0.99999,10,54,90,95,8.439426,5.763343,2.11546,4.09249e-05,0.00542176,0.000899173
sopt,0.1,4,0.99999,10,54,90,95,8.225423,4.479964,2.1549,2.44193e-05,0.00250109,0.000362531
