method,t,n,ef,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
sopt,0.1,2,0.999,10,22,52,40,7.434795,4.587443,0.973025,0.0206459,0.408544,6.51436e-05
clssopt,0.1,2,0.999,10,22,52,45,6.914287,3.529262,1.06432,0.0206471,0.408526,6.50593e-05
sopt,0.1,2,0.999,10,22,52,45,7.629565,5.150631,1.0188,0.0206457,0.408537,6.51698e-05
clssopt,0.1,2,0.999,10,22,52,50,6.652193,4.056956,1.13972,0.0206471,0.408529,6.50843e-05
sopt,0.1,2,0.999,10,22,52,50,7.093598,4.378313,1.06494,0.0206459,0.408535,6.50742e-05
clssopt,0.1,2,0.999,10,22,52,55,5.957540,3.514917,1.11268,0.0206472,0.408529,6.50662e-05
sopt,0.1,2,0.999,10,22,52,55,7.292789,3.996177,1.12057,0.0206459,0.408533,6.50343e-05
clssopt,0.1,2,0.999,10,22,52,60,6.675768,3.966905,1.17732,0.0206474,0.408529,6.51008e-05
sopt,0.1,2,0.999,10,22,52,60,5.491450,3.979943,1.1867,0.0206461,0.408531,6.50084e-05
clssopt,0.1,2,0.999,10,22,52,65,6.774514,3.344126,1.21419,0.0206473,0.408526,6.50724e-05
sopt,0.1,2,0.999,10,22,52,65,6.421933,3.831326,1.16263,0.0206461,0.408531,6.50398e-05
clssopt,0.1,2,0.999,10,22,52,70,5.480078,3.348131,1.26311,0.0206475,0.408525,6.50749e-05
sopt,0.1,2,0.999,10,22,52,70,5.143176,3.549690,1.22158,0.0206464,0.408531,6.50749e-05
clssopt,0.1,2,0.999,10,22,52,75,5.291102,3.389467,1.25335,0.0206476,0.408526,6.50738e-05
sopt,0.1,2,0.999,10,22,52,75,5.250452,3.120562,1.27875,0.0206465,0.40853,6.51463e-05
clssopt,0.1,2,0.999,10,22,52,80,5.031798,3.108838,1.3527,0.0206482,0.408529,6.50846e-05
sopt,0.1,2,0.999,10,22,52,80,5.260996,3.517594,1.2615,0.0206465,0.408529,6.51876e-05
clssopt,0.1,2,0.999,10,22,52,85,4.457009,3.294575,1.35351,0.020648,0.408529,6.51174e-05
sopt,0.1,2,0.999,10,22,52,85,5.276243,4.000447,1.32768,0.0206466,0.40853,6.52145e-05
clssopt,0.1,2,0.999,10,22,52,90,4.686985,2.827397,1.40738,0.0206481,0.40853,6.51185e-05
sopt,0.1,2,0.999,10,22,52,90,4.820743,2.980246,1.35225,0.0206466,0.408531,6.52078e-05
clssopt,0.1,2,0.999,10,22,52,95,4.605343,3.012150,1.46901,0.0206485,0.408529,6.51341e-05
sopt,0.1,2,0.999,10,22,52,95,4.760467,3.059335,1.46478,0.0206467,0.408531,6.52376e-05
clssopt,0.1,2,0.999,10,22,52,100,5.055341,2.999269,1.52399,0.0206483,0.408527,6.51227e-05
sopt,0.1,2,0.999,10,22,52,100,4.512107,3.043031,1.49721,0.0206465,0.408529,6.51887e-05
clssopt,0.1,3,0.9999,10,32,72,5,57.983390,30.920001,0.968007,0.0206461,0.408549,6.63353e-05
sopt,0.1,3,0.9999,10,32,72,5,43.120444,26.819968,0.8385,0.0206469,0.408544,6.63064e-05
clssopt,0.1,3,0.9999,10,32,72,10,37.408124,14.842681,1.0387,0.0206461,0.408541,6.63042e-05
sopt,0.1,3,0.9999,10,32,72,10,31.463033,13.070508,0.906412,0.020647,0.408535,6.63077e-05
clssopt,0.1,3,0.9999,10,32,72,15,23.683679,11.399663,1.06876,0.0206462,0.408541,6.63144e-05
sopt,0.1,3,0.9999,10,32,72,15,25.293225,9.763352,0.959308,0.0206471,0.408534,6.63179e-05
clssopt,0.1,3,0.9999,10,32,72,20,17.128976,8.727943,1.12253,0.0206454,0.408545,6.63316e-05
sopt,0.1,3,0.9999,10,32,72,20,19.292133,7.598869,1.04544,0.0206471,0.408535,6.63469e-05
clssopt,0.1,3,0.9999,10,32,72,25,17.026244,8.704628,1.1479,0.0206453,0.408547,6.63064e-05
sopt,0.1,3,0.9999,10,32,72,25,14.082234,8.227660,1.07874,0.0206469,0.40853,6.63384e-05
clssopt,0.1,3,0.9999,10,32,72,30,11.906274,7.739247,1.24194,0.0206455,0.408551,6.6307e-05
sopt,0.1,3,0.9999,10,32,72,30,14.314592,7.192086,1.13496,0.0206469,0.408532,6.63365e-05
clssopt,0.1,3,0.9999,10,32,72,35,13.039805,6.057522,1.26888,0.0206455,0.408546,6.6306e-05
sopt,0.1,3,0.9999,10,32,72,35,10.318272,6.404784,1.19101,0.0206468,0.40853,6.63308e-05
clssopt,0.1,3,0.9999,10,32,72,40,11.295382,5.786745,1.32763,0.0206455,0.408541,6.62948e-05
sopt,0.1,3,0.9999,10,32,72,40,10.412744,5.706589,1.24856,0.0206468,0.408528,6.63462e-05
clssopt,0.1,3,0.9999,10,32,72,45,9.587641,5.566276,1.36236,0.0206456,0.408544,6.6297e-05
sopt,0.1,3,0.9999,10,32,72,45,10.107205,5.524477,1.28708,0.0206468,0.408529,6.6325e-05
clssopt,0.1,3,0.9999,10,32,72,50,7.804436,4.580012,1.44667,0.0206456,0.408541,6.63038e-05
sopt,0.1,3,0.9999,10,32,72,50,8.664492,4.829721,1.32196,0.0206468,0.408529,6.6322e-05
clssopt,0.1,3,0.9999,10,32,72,55,8.011683,4.994293,1.48869,0.0206456,0.40854,6.63072e-05
sopt,0.1,3,0.9999,10,32,72,55,8.345480,4.672123,1.33543,0.0206468,0.408528,6.63207e-05
clssopt,0.1,3,0.9999,10,32,72,60,8.195041,4.263579,1.60594,0.0206457,0.408538,6.6319e-05
sopt,0.1,3,0.9999,10,32,72,60,7.680132,4.672834,1.43356,0.0206468,0.40853,6.6329e-05
clssopt,0.1,3,0.9999,10,32,72,65,8.455183,4.739036,1.5666,0.0206458,0.408537,6.63137e-05
sopt,0.1,3,0.9999,10,32,72,65,8.472973,4.168117,1.41315,0.0206469,0.408527,6.63147e-05
clssopt,0.1,3,0.9999,10,32,72,70,6.998291,4.374907,1.60832,0.0206457,0.408534,6.63149e-05
sopt,0.1,3,0.9999,10,32,72,70,6.722112,4.665777,1.51083,0.0206469,0.40853,6.6304e-05
clssopt,0.1,3,0.9999,10,32,72,75,7.171135,5.081257,1.63761,0.0206458,0.408533,6.6317e-05
sopt,0.1,3,0.9999,10,32,72,75,6.875330,4.195399,1.5572,0.0206468,0.40853,6.63038e-05
clssopt,0.1,3,0.9999,10,32,72,80,6.970322,3.792837,1.70497,0.0206459,0.408533,6.63253e-05
sopt,0.1,3,0.9999,10,32,72,80,6.393149,3.684961,1.58258,0.0206465,0.408528,6.6302e-05
clssopt,0.1,3,0.9999,10,32,72,85,6.093053,3.996904,1.72662,0.0206459,0.408534,6.63218e-05
sopt,0.1,3,0.9999,10,32,72,85,6.149348,3.712244,1.61634,0.0206466,0.408528,6.62972e-05
clssopt,0.1,3,0.9999,10,32,72,90,6.884756,3.945723,1.70523,0.0206459,0.408533,6.63123e-05
sopt,0.1,3,0.9999,10,32,72,90,6.149601,4.015075,1.67659,0.0206467,0.408528,6.62909e-05
clssopt,0.1,3,0.9999,10,32,72,95,5.873016,3.929956,1.73555,0.020646,0.408532,6.63099e-05
sopt,0.1,3,0.9999,10,32,72,95,5.743331,3.625527,1.69852,0.0206467,0.408527,6.62823e-05
clssopt,0.1,3,0.9999,10,32,72,100,5.480214,3.604483,1.79994,0.0206463,0.408531,6.6315e-05
sopt,0.1,3,0.9999,10,32,72,100,5.733864,4.513629,1.69309,0.0206467,0.408527,6.6276e-05
clssopt,0.1,4,0.99999,10,54,90,5,84.037967,34.821698,1.19231,0.0206456,0.408518,6.63515e-05
sopt,0.1,4,0.99999,10,54,90,5,209.083537,40.208996,1.05106,0.0206457,0.408513,6.64562e-05
clssopt,0.1,4,0.99999,10,54,90,10,37.054999,20.539354,1.20661,0.0206458,0.408527,6.62209e-05
sopt,0.1,4,0.99999,10,54,90,10,33.003652,21.440618,1.1041,0.0206459,0.408517,6.64334e-05
clssopt,0.1,4,0.99999,10,54,90,15,41.292368,18.343457,1.26323,0.0206458,0.408529,6.62358e-05
sopt,0.1,4,0.99999,10,54,90,15,24.341868,15.729756,1.11734,0.0206459,0.408522,6.63953e-05
clssopt,0.1,4,0.99999,10,54,90,20,27.456358,16.154622,1.3373,0.0206458,0.408535,6.62359e-05
sopt,0.1,4,0.99999,10,54,90,20,18.678834,15.156478,1.2003,0.020646,0.408516,6.63688e-05
clssopt,0.1,4,0.99999,10,54,90,25,23.054498,12.803757,1.47194,0.0206458,0.408542,6.62227e-05
sopt,0.1,4,0.99999,10,54,90,25,13.382369,11.122270,1.24466,0.0206461,0.408518,6.63719e-05
clssopt,0.1,4,0.99999,10,54,90,30,16.539529,11.138085,1.54947,0.0206458,0.408537,6.62314e-05
sopt,0.1,4,0.99999,10,54,90,30,14.886968,11.348085,1.26618,0.0206459,0.408519,6.63736e-05
clssopt,0.1,4,0.99999,10,54,90,35,16.092505,11.306226,1.5774,0.0206456,0.408533,6.62407e-05
sopt,0.1,4,0.99999,10,54,90,35,11.470066,10.104928,1.33687,0.0206463,0.408523,6.63677e-05
clssopt,0.1,4,0.99999,10,54,90,40,12.070300,11.829407,1.62314,0.0206455,0.408532,6.62402e-05
sopt,0.1,4,0.99999,10,54,90,40,14.040164,7.837211,1.40743,0.0206463,0.408522,6.6378e-05
clssopt,0.1,4,0.99999,10,54,90,45,13.721490,9.061851,1.66418,0.0206455,0.40853,6.62481e-05
sopt,0.1,4,0.99999,10,54,90,45,10.335334,6.561138,1.45953,0.0206462,0.408519,6.63477e-05
clssopt,0.1,4,0.99999,10,54,90,50,12.031544,9.027037,1.73012,0.0206455,0.40853,6.62428e-05
sopt,0.1,4,0.99999,10,54,90,50,9.781771,6.917325,1.46705,0.0206462,0.408522,6.63475e-05
clssopt,0.1,4,0.99999,10,54,90,55,10.583741,9.193978,1.77222,0.0206457,0.408529,6.62466e-05
sopt,0.1,4,0.99999,10,54,90,55,9.924614,7.428028,1.58514,0.0206462,0.408525,6.63487e-05
clssopt,0.1,4,0.99999,10,54,90,60,10.620735,7.229514,1.78161,0.0206459,0.408528,6.62394e-05
sopt,0.1,4,0.99999,10,54,90,60,8.457328,7.171574,1.63101,0.0206462,0.408523,6.6351e-05
clssopt,0.1,4,0.99999,10,54,90,65,9.277667,6.685554,1.85288,0.0206459,0.408528,6.62528e-05
sopt,0.1,4,0.99999,10,54,90,65,9.106046,6.005654,1.63581,0.0206462,0.408523,6.63517e-05
clssopt,0.1,4,0.99999,10,54,90,70,9.386463,7.816970,1.96354,0.020646,0.408528,6.6259e-05
sopt,0.1,4,0.99999,10,54,90,70,8.384324,6.354759,1.71702,0.0206461,0.408524,6.63487e-05
clssopt,0.1,4,0.99999,10,54,90,75,8.392119,7.547054,1.93685,0.020646,0.408529,6.62594e-05
sopt,0.1,4,0.99999,10,54,90,75,7.940921,5.803125,1.77149,0.0206463,0.408523,6.63487e-05
clssopt,0.1,4,0.99999,10,54,90,80,7.648345,6.081162,1.91582,0.0206458,0.408523,6.62605e-05
sopt,0.1,4,0.99999,10,54,90,80,8.076590,5.840257,1.79717,0.0206462,0.408523,6.63502e-05
clssopt,0.1,4,0.99999,10,54,90,85,7.432806,7.305736,1.98526,0.0206456,0.408523,6.6261e-05
sopt,0.1,4,0.99999,10,54,90,85,7.445676,5.961686,1.83588,0.0206462,0.408523,6.63436e-05
clssopt,0.1,4,0.99999,10,54,90,90,8.032949,6.006338,1.99146,0.0206456,0.408523,6.62547e-05
sopt,0.1,4,0.99999,10,54,90,90,6.537868,4.895481,1.89624,0.0206468,0.408522,6.63389e-05
clssopt,0.1,4,0.99999,10,54,90,95,7.618415,5.987818,2.07311,0.0206456,0.408524,6.62539e-05
sopt,0.1,4,0.99999,10,54,90,95,6.696383,5.772802,1.91685,0.020647,0.408522,6.63343e-05
clssopt,0.1,4,0.99999,10,54,90,100,6.981732,5.936458,2.11744,0.0206458,0.408523,6.62552e-05
sopt,0.1,4,0.99999,10,54,90,100,6.136515,5.254928,1.9669,0.0206472,0.408522,6.63216e-05
clssopt,0.1,5,0.999999,10,73,110,5,68.463595,49.971404,1.43555,0.020646,0.4085,6.63557e-05
sopt,0.1,5,0.999999,10,73,110,5,62.960508,59.093299,1.2478,0.0206457,0.408487,6.6322e-05
clssopt,0.1,5,0.999999,10,73,110,10,46.253142,27.605964,1.54454,0.0206465,0.408529,6.6306e-05
sopt,0.1,5,0.999999,10,73,110,10,36.260133,24.015955,1.32242,0.0206457,0.408488,6.63746e-05
clssopt,0.1,5,0.999999,10,73,110,15,32.213606,28.926767,1.58497,0.0206465,0.408529,6.62813e-05
sopt,0.1,5,0.999999,10,73,110,15,26.688263,22.402957,1.40374,0.0206461,0.4085,6.63927e-05
clssopt,0.1,5,0.999999,10,73,110,20,30.159819,19.489124,1.69738,0.0206464,0.408529,6.62984e-05
sopt,0.1,5,0.999999,10,73,110,20,21.167525,16.804725,1.46387,0.0206461,0.408506,6.64117e-05
clssopt,0.1,5,0.999999,10,73,110,25,22.932662,16.696317,1.81167,0.0206463,0.408529,6.63114e-05
sopt,0.1,5,0.999999,10,73,110,25,18.409364,16.532200,1.47873,0.0206457,0.408503,6.64191e-05
clssopt,0.1,5,0.999999,10,73,110,30,18.771356,13.051860,1.83175,0.0206466,0.408531,6.63028e-05
sopt,0.1,5,0.999999,10,73,110,30,17.351803,11.710358,1.53702,0.0206459,0.408508,6.63928e-05
clssopt,0.1,5,0.999999,10,73,110,35,16.518112,18.711592,1.87426,0.0206466,0.408531,6.63104e-05
sopt,0.1,5,0.999999,10,73,110,35,13.379593,9.845640,1.62893,0.020646,0.408512,6.63924e-05
clssopt,0.1,5,0.999999,10,73,110,40,14.809783,12.790929,1.97932,0.0206466,0.408529,6.63126e-05
sopt,0.1,5,0.999999,10,73,110,40,13.402785,9.410865,1.62005,0.0206461,0.40851,6.63825e-05
clssopt,0.1,5,0.999999,10,73,110,45,13.320564,11.373894,1.94288,0.0206465,0.408528,6.63073e-05
sopt,0.1,5,0.999999,10,73,110,45,12.606984,10.291745,1.73467,0.0206457,0.408509,6.63824e-05
clssopt,0.1,5,0.999999,10,73,110,50,14.114878,10.714536,2.04823,0.0206465,0.408528,6.63116e-05
sopt,0.1,5,0.999999,10,73,110,50,11.315421,10.010377,1.77618,0.0206455,0.40851,6.63702e-05
clssopt,0.1,5,0.999999,10,73,110,55,13.907721,11.133038,2.09026,0.0206466,0.408529,6.62894e-05
sopt,0.1,5,0.999999,10,73,110,55,13.025940,8.291464,1.81838,0.0206462,0.408511,6.63572e-05
clssopt,0.1,5,0.999999,10,73,110,60,12.348929,9.313226,2.12449,0.0206464,0.408523,6.62955e-05
sopt,0.1,5,0.999999,10,73,110,60,10.616372,7.072716,1.85917,0.0206462,0.408512,6.63599e-05
clssopt,0.1,5,0.999999,10,73,110,65,11.176353,8.876371,2.14856,0.0206465,0.408524,6.62952e-05
sopt,0.1,5,0.999999,10,73,110,65,8.621997,8.043272,1.92125,0.0206464,0.408517,6.63556e-05
clssopt,0.1,5,0.999999,10,73,110,70,10.656901,8.477505,2.20572,0.0206465,0.408524,6.62966e-05
sopt,0.1,5,0.999999,10,73,110,70,8.962416,7.268268,1.89005,0.0206465,0.408517,6.63496e-05
clssopt,0.1,5,0.999999,10,73,110,75,10.916784,8.621622,2.21236,0.0206464,0.408517,6.63025e-05
sopt,0.1,5,0.999999,10,73,110,75,9.265482,7.287521,1.94438,0.0206465,0.408516,6.63539e-05
clssopt,0.1,5,0.999999,10,73,110,80,9.330180,7.906705,2.28092,0.0206464,0.408518,6.62972e-05
sopt,0.1,5,0.999999,10,73,110,80,9.323058,6.467016,2.07669,0.0206466,0.408518,6.63473e-05
clssopt,0.1,5,0.999999,10,73,110,85,9.042288,7.013252,2.38506,0.0206465,0.408518,6.62953e-05
sopt,0.1,5,0.999999,10,73,110,85,9.158493,6.532331,2.08979,0.0206465,0.408518,6.63295e-05
