method,window,t,ws,w,q,TT3,TT4,ErrX,ErrV,ErrE
sopt,0.1,20,9,1,1.38091,2.65e+00,6.71089e-06,0.001852,0.00021978
clssopt,0.1,20,9,1,1.28745,2.26e+00,2.33583e-05,0.00470371,0.00068971
qdeim,0.1,20,9,1,1.31894,2.71e+00,3.11823e-06,8.81591e-05,7.62542e-06
clsqdeim,0.1,20,9,1,1.46173,2.44e+00,9.963e-05,0.0123394,0.000944011
sopt,0.1,20,9,2,1.17437,2.39e+00,7.35812e-06,0.00205963,0.00025131
clssopt,0.1,20,9,2,1.42154,2.41e+00,2.6896e-05,0.000928708,0.000157196
qdeim,0.1,20,9,2,1.338,2.44e+00,8.10833e-07,5.55442e-05,1.45086e-05
clsqdeim,0.1,20,9,2,1.89715,2.37e+00,4.04393e-05,0.00428669,0.00026702
sopt,0.1,20,9,3,1.62547,2.39e+00,3.11054e-06,0.000891294,0.000110625
clssopt,0.1,20,9,3,1.71137,3.30e+00,5.84294e-06,0.00059419,4.40777e-05
qdeim,0.1,20,9,3,1.2419,2.46e+00,1.49949e-06,7.70729e-05,1.77369e-05
clsqdeim,0.1,20,9,3,1.49031,3.05e+00,3.29657e-05,0.00119591,0.000118166
sopt,0.1,20,9,4,1.36441,2.33e+00,4.36372e-06,0.000701446,0.000121592
clssopt,0.1,20,9,4,1.55459,2.50e+00,7.90636e-06,0.000508929,4.50219e-05
qdeim,0.1,20,9,4,1.41259,3.05e+00,1.56747e-06,7.58536e-05,1.61354e-05
clsqdeim,0.1,20,9,4,1.24805,2.26e+00,8.10304e-05,0.003507,0.000263089
sopt,0.1,20,9,5,1.37748,2.90e+00,6.00586e-06,0.000699138,9.43396e-05
clssopt,0.1,20,9,5,1.73731,2.32e+00,9.38107e-06,0.00037538,4.01588e-05
qdeim,0.1,20,9,5,1.20247,2.58e+00,9.95984e-07,6.29951e-05,1.36624e-05
clsqdeim,0.1,20,9,5,1.49473,2.37e+00,5.33928e-05,0.00147648,0.000185805
sopt,0.1,20,9,6,1.21067,2.32e+00,6.48556e-06,0.000487652,7.52495e-05
clssopt,0.1,20,9,6,1.71146,2.88e+00,9.45773e-06,0.000422239,4.18802e-05
qdeim,0.1,20,9,6,1.58378,2.41e+00,1.29912e-06,0.00010242,1.79986e-05
clsqdeim,0.1,20,9,6,1.73421,2.77e+00,4.10756e-05,0.00105196,0.000194094
sopt,0.1,20,9,7,1.35719,2.35e+00,6.3689e-06,0.000455991,6.7548e-05
clssopt,0.1,20,9,7,1.61571,2.48e+00,1.08378e-05,0.000433095,4.6789e-05
qdeim,0.1,20,9,7,1.40048,2.40e+00,1.66552e-06,9.5115e-05,1.66759e-05
clsqdeim,0.1,20,9,7,1.56501,2.37e+00,5.56699e-05,0.00148337,0.000205427
sopt,0.1,20,9,8,1.90526,2.92e+00,3.39671e-06,0.000200018,2.26483e-05
clssopt,0.1,20,9,8,1.34324,2.29e+00,8.91307e-06,0.000317479,3.69263e-05
qdeim,0.1,20,9,8,1.37074,2.39e+00,1.63215e-06,9.37035e-05,1.53512e-05
clsqdeim,0.1,20,9,8,1.72748,2.31e+00,7.23763e-05,0.00217025,0.000293746
sopt,0.1,20,9,9,1.53606,2.40e+00,3.16883e-06,0.000214589,2.48919e-05
clssopt,0.1,20,9,9,1.62365,2.58e+00,5.44442e-06,0.000177947,1.70223e-05
qdeim,0.1,20,9,9,1.51615,2.31e+00,1.87238e-06,0.000117805,1.7329e-05
clsqdeim,0.1,20,9,9,1.57861,2.37e+00,5.8136e-05,0.0017838,0.000241262
sopt,0.1,20,9,10,2.00344,2.88e+00,3.28551e-06,0.000226538,2.57504e-05
clssopt,0.1,20,9,10,1.54906,2.34e+00,4.44442e-06,0.00015155,1.30343e-05
qdeim,0.1,20,9,10,1.45991,2.79e+00,1.85302e-06,0.000118522,1.69127e-05
clsqdeim,0.1,20,9,10,1.58061,2.39e+00,7.00485e-05,0.00184777,0.000232673
sopt,0.1,30,6,1,,9.83e-01,0.0947297,6.84241,0.644944
clssopt,0.1,30,6,1,1.01434,2.09e+00,0.000523853,0.114462,0.0129982
qdeim,0.1,30,6,1,1.05895,2.09e+00,1.24253e-05,0.000971952,0.000191266
clsqdeim,0.1,30,6,1,1.19395,2.78e+00,0.000181269,0.00927324,0.00127451
sopt,0.1,30,6,2,,1.09e+00,3.36622,36.5673,3.33261
clssopt,0.1,30,6,2,1.10057,2.13e+00,0.000196192,0.0249754,0.0045889
qdeim,0.1,30,6,2,0.904608,2.54e+00,4.83416e-06,0.000419591,4.1884e-05
clsqdeim,0.1,30,6,2,1.14319,2.17e+00,0.000228736,0.0114428,0.00158398
sopt,0.1,30,6,3,,1.04e+00,0.220619,0.907147,0.415448
clssopt,0.1,30,6,3,1.04008,2.06e+00,2.00974e-05,0.00323834,0.000619567
qdeim,0.1,30,6,3,1.07383,2.10e+00,1.88033e-06,0.000232219,1.74867e-05
clsqdeim,0.1,30,6,3,1.19698,2.08e+00,0.000210055,0.00985047,0.00138682
sopt,0.1,30,6,4,1.23419,2.15e+00,0.00133522,0.228732,0.0542157
clssopt,0.1,30,6,4,1.3408,2.43e+00,2.78319e-05,0.00566469,0.000994083
qdeim,0.1,30,6,4,1.06247,2.17e+00,2.3021e-06,0.000476576,3.78279e-05
clsqdeim,0.1,30,6,4,1.22463,2.21e+00,6.73094e-05,0.00294987,0.000473349
sopt,0.1,30,6,5,1.17634,2.88e+00,0.00028552,0.0653127,0.00504322
clssopt,0.1,30,6,5,1.1988,2.85e+00,2.42886e-05,0.00543494,0.000948878
qdeim,0.1,30,6,5,0.958742,2.07e+00,1.23211e-06,3.68675e-05,2.4125e-05
clsqdeim,0.1,30,6,5,1.15444,2.12e+00,8.34511e-05,0.00362483,0.000591559
sopt,0.1,30,6,6,1.22825,2.78e+00,8.63414e-05,0.0100533,0.00231388
